DateTime,AddedIPs,RemovedIPs
1542255618,7,3
1542257573,13,12
1542259473,6,15
1542261376,96,4
1542263321,14,9
1542265248,15,8
1542267153,11,496
1542269095,15,216
1542271225,12,58
1542273146,14,4
1542275063,23,29
1542277039,18,7
1542278909,11,10
1542280816,91,7
1542282735,14,15
1542284671,10,8
1542286571,9,6
1542288513,10,8
1542290439,7,5
1542292356,8,6
1542294529,32,10
1542296455,94,12
1542298653,5,10
1542300782,37,70
1542302890,21,8
1542305079,15,12
1542306969,362,18
1542308925,16,5
1542310842,41,10
1542312761,5,7
1542314666,5,17
1542316836,13,13
1542318762,14,18
1542320898,17,14
1542323084,11,10
1542324988,7,4
1542326914,27,7
1542328831,8,8
1542330767,16,4
1542332656,61,5
1542334587,12,9
1542336515,14,10
1542338437,13,221
1542340340,12,10
1542342258,5,4
1542344176,10,13
1542346357,18,14
1542348285,432,97
1542350175,38,12
1542352202,7,18
1542354037,15,19
1542355946,6,15
1542357762,4,10
1542359796,11,17
1542361700,9,27
1542363643,6,19
1542365542,10,11
1542367457,10,88
1542369389,7,16
1542371297,5,15
1542373230,8,12
1542375159,22,11
1542377060,342,12
1542378983,537,61
1542380917,32,35
1542382815,6,121
1542385127,7,467
1542387392,10,666
1542389292,3,11
1542391269,7,12
1542393162,7,204
1542395075,8,138
1542396974,6,42
1542398923,3,10
1542400839,11,3
1542402746,5,11
1542404680,17,8
1542406663,9,10
1542408498,9,9
1542410432,10,13
1542412376,15,7
1542414257,46,8
1542416175,61,6
1542418110,15,63
1542420039,111,16
1542421950,24,13
1542423876,6,11
1542425803,3,12
1542427702,8,12
1542429618,10,9
1542431540,68,16
1542433476,29,16
1542435387,7,499
1542437298,6,64
1542439214,6,29
1542441137,4,16
1542443071,4,5
1542444991,2,9
1542446893,30,4
1542448860,29,11
1542450757,22,6
1542452662,3,7
1542454590,11,7
1542456500,6,7
1542458415,27,6
1542460344,956,8
1542462259,738,180
1542464190,24,327
1542466098,25,435
1542468016,20,4
1542469936,22,6
1542471873,21,9
1542473937,9,11
1542475944,15,4
1542477888,17,7
1542479772,14,8
1542481716,22,6
1542483619,116,5
1542485538,222,6
1542487462,22,4
1542489634,16,12
1542491562,15,28
1542493486,15,13
1542495393,8,19
1542497567,15,17
1542499459,17,39
1542501370,10,87
1542503310,9,22
1542505229,7,14
1542507154,8,5
1542509072,8,12
1542511005,9,2
1542512909,5,7
1542514835,3,11
1542516757,5,16
1542518668,4,177
1542520891,106,10
1542523002,23,8
1542524937,4,116
1542526837,9,2
1542528757,5,22
1542530663,6,4
1542532601,84,8
1542534498,4,9
1542536427,12,16
1542538366,4,10
1542540255,10,10
1542542195,13,18
1542544093,10,8
1542546054,9,580
1542547961,22,893
1542549865,6,143
1542551773,49,14
1542553734,32,11
1542555632,108,12
1542557596,92,14
1542559472,33,5
1542561548,27,12
1542563528,74,15
1542565467,11,12
1542567675,9,15
1542569535,17,54
1542571455,33,11
1542573378,27,18
1542575308,36,18
1542577222,67,12
1542579387,23,71
1542581298,32,12
1542583213,21,8
1542585144,16,22
1542587111,1286,7
1542588986,995,323
1542590889,1060,10
1542593782,736,9
1542595696,240,10
1542597623,20,8
1542599535,18,7
1542601490,22,7
1542603377,19,8
1542605288,14,107
1542607235,101,4
1542609138,67,8
1542611054,6,3
1542612997,2,7
1542614918,17,8
1542616829,23,4
1542618738,37,65
1542620672,12,4
1542622583,6,8
1542624510,7,5
1542626425,7,8
1542628593,4,12
1542630492,17,7
1542632445,1,10
1542634337,14,9
1542636276,3,3
1542638195,9,13
1542640180,5,8
1542642077,5,111
1542643976,5,72
1542645865,4,46
1542647798,3,20
1542649934,7,18
1542651859,6,6
1542653782,5,14
1542655945,10,20
1542657865,3,52
1542659779,1037,27
1542661727,391,32
1542663619,134,50
1542665607,11,24
1542667472,7,33
1542669399,20,26
1542671314,9,19
1542673237,8,1119
1542675147,7,1084
1542677063,12,1142
1542678981,8,184
1542680894,13,788
1542682849,23,23
1542684741,4,24
1542686664,14,19
1542688577,18,28
1542690510,4,18
1542692417,95,95
1542694338,37,16
1542696259,19,10
1542698185,38,8
1542700097,46,5
1542702257,91,32
1542704169,38,19
1542706093,36,20
1542708043,30,19
1542709968,27,11
1542711878,26,10
1542713787,13,10
1542715911,14,14
1542717864,12,20
1542719776,10,13
1542721708,6,15
1542723622,16,7
1542725526,6,51
