DateTime,AddedIPs,RemovedIPs
1541384202,2,1
1541388033,1,1
1541391862,2,0
1541393809,0,3
1541395712,0,3
1541397630,2,0
1541401470,1,2
1541403392,1,1
1541405322,0,2
1541407224,1,0
1541411054,1,2
1541415147,0,1
1541417078,1,0
1541418989,0,1
1541420900,0,2
1541425719,0,1
1541427624,0,3
1541429543,0,3
1541431468,0,2
1541433381,1,2
1541435300,0,1
1541437253,0,1
1541439145,0,1
1541441067,0,1
1541442986,0,3
1541444907,0,1
1541446816,0,4
1541448751,0,1
1541450665,0,2
1541454504,0,1
1541456418,0,1
1541462520,0,1
1541470129,0,2
1541473972,0,1
1541477789,0,1
1541479707,0,1
1541483548,0,2
1541487415,0,1
1541489322,0,1
1541493405,0,1
1541495339,1,0
1541497247,0,1
1541502996,1,1
1541518834,1,0
1541520790,0,1
1541551374,1,0
1541567085,1,0
1541578816,1,0
1541580738,0,1
1541589389,0,1
1541591299,1,0
1541605000,0,1
1541634257,1,0
1541636185,0,1
1541638097,1,0
1541649653,1,0
1541653484,0,1
1541657323,1,0
1541669059,1,0
1541677962,0,1
1541720892,0,1
1541724763,0,1
1541735299,1,0
1541737231,0,1
1541739397,1,0
1541745140,0,1
1541747082,2,0
1541755477,0,1
1541759319,1,0
1541783065,1,0
1541790767,1,0
1541796522,1,0
1541798440,1,0
1541822691,0,1
1541824827,0,2
1541834650,0,1
1541840481,1,0
1541844531,0,1
1541848366,1,0
1541852209,0,1
1541859877,5,0
1541863967,1,0
1541869730,0,1
1541877635,0,1
1541883676,1,1
1541885806,1,1
1541887714,1,0
1541926342,0,1
1541932338,1,0
1541934253,0,1
1541940017,1,0
1541943869,1,0
1541945806,0,5
1541947980,1,0
1541950115,0,1
1541952030,1,0
1541955861,4,0
1541965460,1,0
1541969320,0,1
1541973374,0,2
1541975297,1,0
1541978171,1,0
1541986345,4,0
1541992115,1,0
1541997875,1,0
1542026659,0,1
1542030496,0,1
1542032417,1,0
1542034345,0,1
1542040096,1,0
1542042068,0,4
1542047786,1,1
1542053543,0,1
1542059299,1,0
1542061231,0,1
1542063155,0,1
1542069142,1,0
1542071072,1,4
1542084496,0,1
1542092194,0,1
1542101788,4,0
1542111388,0,1
1542113549,2,0
1542115480,1,0
1542119296,0,1
1542123141,1,0
1542127234,0,1
1542133006,1,0
1542135130,1,0
1542144762,1,0
1542146669,0,1
1542150517,0,1
1542152490,1,0
1542154363,0,1
1542158198,0,1
1542160332,2,0
1542168289,3,0
1542170175,1,0
1542179790,1,0
1542189852,0,4
1542199694,0,1
1542203546,1,0
1542207383,0,1
1542209296,1,1
1542212445,1,0
1542216517,1,1
1542219390,2,1
1542221554,0,1
1542229490,1,0
1542231404,0,1
1542235467,1,0
1542239794,0,1
1542247481,0,2
1542249619,1,0
1542251553,1,0
1542255619,0,3
1542257574,0,1
1542261377,1,0
1542263322,1,0
1542267154,1,1
1542278909,1,0
1542288514,0,1
1542295476,0,1
1542297650,1,0
1542299839,1,1
1542304121,0,1
1542306039,1,2
1542315904,0,1
1542322124,0,1
1542337696,0,2
1542348286,0,2
1542350176,1,0
1542352207,2,1
1542355958,1,0
1542365543,1,1
1542375160,1,0
1542382817,3,0
1542385127,0,2
1542387393,1,0
1542393163,1,1
1542398923,1,0
1542402747,1,0
1542404682,1,0
1542410433,1,0
1542412377,1,0
1542414257,1,0
1542416176,1,0
1542420086,2,0
1542421951,2,0
1542423877,1,0
1542429618,1,0
1542431541,1,0
1542437299,1,2
1542439217,0,1
1542441138,2,0
1542443072,0,1
1542444992,1,0
1542448883,1,0
1542450758,1,0
1542452664,1,1
1542456501,1,0
1542458416,1,0
1542460344,3,0
1542462270,1,1
1542466098,1,0
1542468016,1,1
1542469937,0,1
1542471874,0,1
1542475944,1,0
1542477889,1,0
1542479772,0,1
1542483620,0,1
1542487463,1,0
1542489635,1,1
1542491562,3,1
1542493487,1,0
1542495394,1,1
1542497568,1,0
1542501371,1,1
1542503311,1,0
1542505230,1,0
1542507155,1,2
1542511006,1,0
1542512910,1,0
1542514836,0,1
1542518669,0,1
1542520893,1,1
1542523003,0,1
1542526838,0,1
1542528757,0,1
1542530664,0,1
1542532602,1,1
1542534499,0,1
1542538366,0,1
1542540256,1,0
1542544094,1,2
1542546072,1,2
1542547962,0,3
1542549866,1,1
1542551773,1,1
1542553737,2,0
1542555633,2,1
1542557597,1,0
1542559473,1,0
1542561549,1,1
1542563529,0,1
1542565468,2,0
1542569536,1,0
1542573379,3,2
1542575308,2,0
1542577223,0,3
1542579388,1,2
1542583214,1,2
1542587112,1,1
1542590889,1,1
1542593783,0,2
1542595697,1,0
1542597624,0,2
1542599536,0,2
1542609138,2,0
1542612998,1,0
1542618739,0,1
1542624511,1,0
1542626426,1,1
1542630493,1,1
1542632456,1,0
1542636276,0,2
1542638195,1,1
1542640180,0,2
1542642077,0,2
1542643977,0,1
1542645866,0,1
1542647799,2,1
1542649934,1,0
1542651859,0,2
1542655945,1,1
1542659779,0,2
1542661728,0,3
1542663620,1,0
1542665608,0,1
1542667472,1,0
1542669400,0,1
1542671315,1,0
1542675148,1,0
1542677064,0,2
1542680895,1,0
1542686664,2,0
1542688578,1,0
1542690512,1,0
1542696260,0,1
1542698186,1,0
1542700098,0,1
1542702258,1,0
1542708061,1,0
1542709968,0,1
1542711880,1,1
1542717865,0,2
1542723623,1,0
1542725527,1,2
1542727450,1,0
1542731294,1,0
1542733271,0,1
1542735134,3,1
1542737082,0,1
1542741393,2,1
1542747366,1,1
1542749429,1,1
1542751485,1,0
1542753378,0,1
1542757226,1,0
1542761083,0,1
1542763009,1,0
1542766818,1,1
1542770902,0,1
1542772875,1,2
1542774761,0,1
1542776664,2,1
1542778593,1,0
1542782438,1,0
1542784363,0,1
1542786385,2,0
1542788233,0,1
1542790155,1,0
1542795857,1,1
1542797792,1,1
1542799712,2,1
1542810270,0,1
1542812169,1,1
1542814108,0,1
1542817954,1,1
1542821771,1,3
1542823878,1,0
1542827773,0,2
1542829693,2,0
1542831883,2,0
1542833776,1,1
1542835702,1,1
1542837651,1,1
1542843387,2,1
1542845564,1,0
1542847471,1,0
1542849405,1,1
1542851293,1,0
1542853229,0,1
1542857072,1,0
1542858973,1,1
1542860909,3,0
1542862836,0,2
1542864755,2,1
1542866681,1,0
1542868828,0,1
1542870768,1,0
1542874581,1,1
1542876497,2,1
1542882257,0,1
1542884193,0,1
1542886350,0,2
1542888276,2,0
1542890176,2,0
1542892098,1,0
1542895943,1,0
1542897878,2,0
1542900062,0,1
1542901936,2,0
1542903922,0,1
1542907688,1,0
1542909680,1,2
1542915638,1,2
1542917547,0,1
1542919454,4,2
1542921393,3,1
1542923314,2,0
1542925217,1,1
1542927166,0,1
1542929060,1,1
1542930989,2,1
1542933146,3,1
1542935069,0,2
1542936970,3,1
1542938907,2,0
1542940818,3,0
1542942735,2,0
1542944673,1,1
1542946600,1,3
1542948735,0,1
