DateTime,AddedIPs,RemovedIPs
1542195862,3,2
1542197801,1,2
1542199694,0,2
1542201630,6,3
1542203546,0,1
1542209296,0,1
1542211249,0,3
1542213402,3,2
1542215340,3,0
1542217481,4,1
1542219390,3,1
1542221554,2,1
1542223452,0,4
1542225367,0,2
1542227554,1,2
1542229490,0,2
1542231404,1,1
1542233332,3,3
1542235467,1,2
1542237657,2,2
1542239794,1,1
1542241699,1,0
1542245549,1,1
1542247482,4,1
1542249619,4,0
1542251554,1,0
1542253488,0,2
1542255620,1,0
1542257574,2,2
1542259474,3,1
1542261377,0,1
1542263322,2,1
1542265257,1,1
1542267154,3,0
1542269097,1,1
1542271226,1,1
1542273148,2,0
1542275063,0,1
1542277040,0,4
1542278909,1,3
1542280817,1,0
1542282735,1,3
1542284672,2,1
1542286572,3,1
1542288514,0,5
1542290463,1,0
1542292357,1,0
1542294531,2,0
1542296456,2,0
1542298654,1,3
1542300783,1,2
1542302891,1,4
1542305080,0,3
1542306970,2,2
1542308926,0,1
1542312762,3,1
1542314667,2,0
1542316852,1,1
1542318763,1,1
1542320899,1,3
1542323085,1,1
1542324989,2,1
1542326915,0,1
1542328831,0,1
1542330768,1,0
1542332657,2,2
1542336516,2,5
1542338438,0,1
1542340340,4,0
1542342259,1,1
1542344177,0,1
1542346358,0,3
1542348287,2,2
1542352207,5,1
1542354039,2,1
1542355958,1,1
1542357764,3,2
1542359797,4,1
1542361701,1,0
1542363644,2,0
1542365544,0,1
1542367458,0,1
1542369390,0,1
1542371298,0,1
1542373255,0,3
1542377061,3,1
1542378984,2,1
1542380918,3,2
1542382817,1,2
1542385128,9,1
1542387393,0,1
1542389293,1,1
1542393163,2,2
1542395076,1,0
1542396975,2,0
1542398924,0,2
1542400840,2,2
1542402747,3,1
1542404682,0,1
1542406664,0,2
1542408500,2,2
1542410433,0,2
1542412377,1,1
1542414258,2,0
1542416176,1,0
1542418111,1,1
1542420099,3,1
1542421951,1,1
1542423877,0,1
1542425804,2,1
1542427703,2,4
1542429619,2,1
1542431541,2,0
1542433477,2,1
1542435388,0,1
1542437300,4,1
1542439217,2,6
1542441138,1,0
1542443073,0,1
1542444992,1,6
1542446894,0,2
1542448886,3,1
1542450759,4,1
1542452664,1,0
1542454591,1,0
1542456501,2,0
1542458417,2,0
1542460345,4,0
1542462271,1,1
1542464192,2,4
1542466099,1,4
1542468017,1,1
1542469937,3,3
1542471874,2,7
1542473938,1,0
1542475945,2,1
1542477889,1,0
1542479773,0,2
1542481717,0,1
1542483621,2,2
1542485540,1,0
1542487464,2,2
1542489636,0,3
1542491563,2,0
1542495394,2,2
1542497569,0,2
1542499460,1,0
1542501372,3,3
1542503311,5,2
1542505230,4,0
1542507155,4,4
1542511006,1,1
1542512910,1,2
1542514837,2,2
1542516758,1,2
1542518669,1,1
1542520893,1,2
1542523003,3,3
1542524938,2,3
1542526838,1,0
1542528757,6,1
1542530664,2,1
1542532602,1,0
1542534499,1,0
1542536428,0,4
1542538367,1,2
1542540256,0,1
1542542196,3,2
1542544094,1,3
1542546082,0,3
1542547962,7,2
1542549866,0,2
1542551773,1,0
1542553738,1,2
1542555633,3,2
1542557597,4,1
1542559473,1,0
1542561549,0,2
1542563529,1,2
1542567686,2,0
1542569536,1,1
1542571456,2,1
1542573379,2,3
1542575309,1,0
1542577223,2,1
1542579389,3,2
1542581299,3,2
1542585152,5,1
1542587112,2,1
1542588987,3,5
1542590889,1,5
1542593784,3,4
1542597624,3,1
1542599536,2,1
1542601491,3,1
1542603379,0,1
1542605289,2,1
1542607274,7,1
1542609139,3,2
1542611055,0,3
1542612998,2,1
1542614921,1,6
1542616830,3,2
1542618739,3,1
1542620674,1,1
1542622584,4,0
1542624511,2,1
1542628594,0,3
1542630493,2,1
1542632476,5,0
1542634338,4,6
1542636277,3,0
1542638196,4,1
1542640180,1,1
1542642078,4,1
1542643977,3,4
1542645866,0,1
1542649934,2,1
1542653782,1,1
1542655945,2,0
1542657865,2,3
1542659779,1,2
1542661728,3,1
1542663631,1,2
1542665608,1,3
1542667473,0,2
1542669401,4,1
1542671316,2,1
1542673257,2,2
1542675148,0,3
1542677064,1,2
1542678982,1,3
1542680896,1,1
1542682890,1,1
1542684742,2,4
1542686665,1,3
1542688578,1,1
1542690512,1,0
1542692418,2,4
1542694339,1,6
1542696260,2,1
1542698186,2,1
1542700098,1,1
1542702259,5,7
1542704170,2,2
1542706094,1,4
1542709969,1,5
1542711880,2,1
1542713788,2,0
1542715912,1,1
1542717866,1,4
1542719786,4,4
1542721709,2,4
1542723623,2,5
1542725528,1,1
1542727450,3,1
1542729383,1,6
1542731294,0,1
1542733276,2,0
1542735135,0,1
1542737082,0,1
1542739521,1,0
1542741394,3,1
1542743291,1,3
1542745459,2,1
1542747367,2,3
1542749430,1,2
1542751485,0,1
1542753379,2,0
1542755342,2,4
1542757227,3,0
1542759163,3,2
1542761085,0,1
1542763010,0,1
1542764912,3,1
1542768749,2,2
1542770903,1,2
1542772882,0,1
1542774761,1,1
1542776664,1,1
1542778593,1,2
1542780527,0,1
1542782438,1,2
1542784363,1,2
1542786385,2,1
1542788233,0,5
1542790156,4,2
1542792032,1,1
1542793949,1,1
1542795857,1,1
1542797792,1,3
1542799712,2,1
1542802599,1,2
1542804496,0,2
1542806430,1,3
1542808337,0,2
1542810271,0,2
1542812169,0,2
1542814108,4,2
1542816052,1,1
1542817955,2,0
1542819881,2,2
1542823878,2,0
1542825854,1,1
1542827773,3,3
1542829693,2,1
1542831884,1,2
1542833777,1,1
1542835703,3,4
1542838589,3,2
1542840501,2,2
1542842442,2,1
1542844399,2,2
1542846512,2,3
1542848442,2,0
1542850352,3,2
1542852260,0,1
1542854196,2,2
1542856125,0,1
1542858032,1,0
1542859939,4,0
1542861871,1,1
1542863792,1,2
1542865699,3,1
1542867608,1,0
1542869544,2,1
1542871710,3,1
1542873635,2,2
1542875562,1,2
1542877467,2,2
1542879409,0,2
1542881308,1,1
1542883219,2,0
1542885161,1,2
1542887050,3,1
1542888996,2,1
1542893083,0,1
1542894975,1,0
1542896892,1,0
1542900753,0,4
1542902566,1,1
1542904603,1,2
1542906759,2,3
1542910584,2,2
1542912755,5,3
1542914671,0,1
1542916576,2,1
1542918509,0,1
1542920453,2,2
1542922371,0,3
1542924261,2,1
1542926201,1,3
1542928106,2,0
1542930028,2,2
1542932065,2,2
1542934357,1,2
1542936261,1,1
1542938196,1,2
1542940094,4,1
1542942052,1,1
1542944195,1,0
1542946109,1,4
1542948017,1,1
1542949943,0,1
1542951874,3,3
1542955699,1,2
1542957654,1,4
1542961473,0,3
1542963375,2,2
1542967254,1,0
1542969147,1,2
1542971070,0,1
1542972988,2,3
1542974901,1,2
1542978743,1,0
1542980667,1,2
