DateTime,AddedIPs,RemovedIPs
1542251552,6,0
1542253487,2,1
1542255619,3,4
1542257573,3,3
1542259473,5,2
1542261377,5,3
1542263321,5,3
1542266198,4,3
1542268095,5,2
1542270015,4,1
1542272185,3,2
1542274093,3,0
1542276025,5,2
1542277941,1,5
1542279868,3,5
1542282083,1,4
1542284227,5,4
1542286099,5,0
1542288019,1,7
1542289957,2,1
1542291848,4,0
1542293788,1,3
1542296455,5,4
1542298653,3,6
1542300782,4,4
1542302891,4,7
1542305079,2,4
1542306969,8,4
1542308925,0,2
1542310842,4,2
1542312762,4,2
1542314666,5,0
1542316837,2,7
1542318763,3,1
1542320899,2,5
1542323084,2,4
1542324988,2,2
1542326915,2,4
1542328831,3,1
1542330768,1,4
1542332656,5,5
1542334587,1,1
1542336515,4,7
1542338437,2,7
1542340340,5,3
1542342258,2,2
1542344177,1,1
1542346358,1,8
1542348286,5,6
1542350176,2,3
1542352204,17,2
1542354038,9,3
1542355946,2,2
1542357763,8,4
1542359797,5,4
1542361701,5,5
1542363644,5,1
1542365543,4,3
1542367457,0,3
1542369390,4,3
1542371297,2,2
1542373234,1,4
1542375160,7,0
1542377061,6,3
1542378983,7,3
1542380918,8,2
1542382816,8,4
1542385127,15,3
1542387392,7,6
1542389292,9,3
1542391280,5,1
1542393162,13,8
1542395075,7,0
1542396974,6,4
1542398923,4,3
1542400839,4,5
1542402746,8,1
1542404681,6,3
1542406663,4,4
1542408499,5,2
1542410432,5,3
1542412377,9,2
1542414257,5,1
1542416175,6,2
1542418111,3,1
1542420053,6,4
1542421950,4,2
1542423876,3,3
1542425803,5,2
1542427702,3,4
1542429618,3,2
1542431540,4,1
1542433477,4,2
1542435388,0,3
1542437299,6,6
1542439216,5,14
1542441137,6,4
1542443072,1,2
1542444991,2,13
1542446893,0,2
1542448868,6,8
1542450758,8,4
1542452664,4,2
1542454590,2,1
1542456500,4,5
1542458416,4,0
1542460344,9,4
1542462260,2,6
1542464191,2,9
1542466098,7,9
1542468016,3,6
1542469936,5,10
1542471873,5,13
1542473937,3,5
1542475944,5,11
1542477888,6,6
1542479772,1,11
1542481716,0,9
1542483620,2,5
1542485539,3,3
1542487463,5,4
1542489635,4,10
1542491562,9,4
1542493487,3,4
1542495393,7,11
1542497568,1,5
1542499459,2,6
1542501371,3,6
1542503310,5,5
1542505230,8,2
1542507154,6,6
1542509072,2,3
1542511005,2,4
1542512909,3,4
1542514835,3,3
1542516757,2,2
1542518669,2,3
1542520892,4,6
1542523003,4,5
1542524937,2,4
1542526837,2,5
1542528757,8,3
1542530663,2,2
1542532602,2,1
1542534498,2,2
1542536428,3,7
1542538366,3,7
1542540255,2,1
1542542195,3,4
1542544093,4,5
1542546062,1,6
1542547961,8,6
1542549866,2,3
1542551773,6,4
1542553736,5,2
1542555633,7,6
1542557596,9,4
1542559472,4,0
1542561549,7,5
1542563529,4,5
1542565467,3,5
1542567682,3,1
1542569536,3,1
1542571456,4,1
1542573378,11,7
1542575308,6,3
1542577223,3,7
1542579388,6,7
1542581299,4,4
1542583214,2,5
1542585145,7,2
1542587111,5,2
1542588986,5,5
1542590889,4,7
1542593783,9,10
1542595696,2,1
1542597623,7,3
1542599535,4,5
1542601490,6,3
1542603378,0,2
1542605288,2,2
1542607241,8,3
1542609138,5,3
1542611055,8,3
1542612998,4,2
1542614919,2,6
1542616829,5,2
1542618738,6,1
1542620673,3,2
1542622583,5,3
1542624510,4,3
1542626426,4,2
1542628593,2,4
1542630492,6,3
1542633409,11,6
1542635297,9,3
1542637240,8,5
1542639150,1,4
1542641068,1,8
1542642969,11,6
1542644917,4,9
1542646859,3,3
1542648915,4,3
1542650908,3,4
1542653078,4,2
1542654981,5,2
1542656898,3,3
1542658826,4,6
1542660738,3,9
1542662658,6,8
1542664591,6,3
1542666527,3,3
1542669400,8,5
1542671315,4,3
1542673257,3,4
1542675147,1,5
1542677063,2,6
1542678981,1,7
1542680895,2,3
1542682860,3,5
1542684742,3,6
1542686664,4,5
1542688577,3,2
1542690511,3,0
1542692417,3,5
1542694338,3,6
1542696260,2,7
1542698186,5,5
1542700098,4,4
1542702258,9,7
1542704170,3,3
1542706093,5,5
1542708047,4,2
1542709968,5,7
1542711879,5,3
1542713787,5,2
1542715911,3,4
1542717865,3,8
1542719776,4,6
1542721708,8,9
1542723622,6,7
1542725527,4,5
1542727449,5,1
1542729382,2,10
1542731293,3,3
1542733254,8,4
1542735133,7,3
1542737082,6,3
1542739520,3,5
1542741393,7,5
1542743291,5,6
1542745458,9,5
1542747366,4,5
1542749429,4,6
1542751484,3,5
1542753378,4,4
1542755336,3,5
1542757226,7,2
1542759162,3,3
1542761082,1,2
1542763009,5,1
1542764911,5,2
1542766817,5,1
1542768748,5,3
1542770902,3,5
1542772853,1,3
1542774760,5,4
1542776663,5,4
1542778592,3,4
1542780525,2,3
1542782437,4,2
1542784363,4,5
1542786384,5,2
1542788232,3,8
1542790155,6,5
1542792031,4,2
1542793948,1,7
1542795856,4,6
1542797792,5,6
1542799711,3,4
1542802599,2,5
1542804495,2,3
1542806429,2,5
1542808337,2,8
1542810270,0,7
1542812168,3,3
1542814108,6,4
1542816040,3,2
1542817954,5,4
1542819880,8,7
1542821770,7,9
1542823878,6,4
1542825853,1,3
1542827772,3,7
1542829692,8,5
1542831883,5,8
1542833776,5,4
1542835702,7,7
1542837640,5,5
1542839541,2,4
1542841463,5,3
1542843387,13,5
1542845563,5,4
1542847471,7,1
1542849404,4,4
1542851292,4,4
1542853228,6,4
1542855147,1,5
1542857071,3,2
1542858972,5,2
1542860908,11,4
1542862830,4,3
1542864754,4,6
1542866680,4,2
1542868828,2,4
1542870757,6,4
1542872671,6,3
1542874581,4,4
1542876496,14,6
1542878431,2,4
1542880358,5,1
1542882257,6,4
1542884192,4,5
1542886349,4,4
1542888276,4,2
1542890175,1,1
1542892098,2,5
1542894015,4,1
1542895942,5,2
1542897878,4,1
1542900062,1,6
1542901936,5,4
1542903921,4,4
1542905793,5,6
1542907687,5,8
1542909664,6,9
1542911800,4,1
1542913727,4,4
1542915637,3,6
1542917547,1,0
1542919453,8,4
1542921392,6,10
1542923314,4,2
1542925217,5,5
1542927165,3,4
1542929059,6,7
1542930988,7,3
1542933145,4,9
1542935069,3,5
1542936969,6,4
1542938906,6,3
1542940817,8,4
1542942734,5,0
1542944673,3,3
1542946599,1,10
1542948735,2,4
1542950653,4,4
1542953786,6,5
1542955699,8,4
1542957654,3,6
1542959540,1,4
1542961472,4,9
1542963374,5,11
1542965297,4,2
1542967249,6,2
1542969146,10,7
1542971070,1,2
1542972988,3,4
1542974901,5,5
1542976828,3,1
1542978742,5,2
1542980667,3,5
1542982592,0,7
1542984490,3,2
1542986697,6,0
1542988578,1,6
1542990503,3,2
1542992473,4,8
1542994362,3,4
1542996374,9,5
1542998179,2,5
1543000119,7,5
1543002019,4,4
1543003951,5,1
1543005877,4,5
1543007792,3,5
1543009699,7,5
1543011628,7,3
1543013865,10,2
1543015968,4,7
1543017858,4,7
1543019803,20,6
1543021725,1,4
1543023641,3,6
1543025569,5,6
1543027483,0,6
1543029401,5,3
1543031314,6,2
1543033243,2,2
1543035164,2,5
1543037073,3,2
1543038975,3,5
1543040911,6,3
1543042874,4,8
1543044867,4,2
1543047165,3,3
1543049063,6,7
1543050995,6,4
1543052900,9,7
1543054818,5,10
1543056889,4,4
1543058898,6,2
1543060880,7,5
1543062760,7,1
1543064665,6,6
1543066823,3,3
1543068744,3,2
1543070677,3,2
1543072579,8,6
1543074496,3,3
1543076416,2,1
1543078339,9,5
1543080260,12,7
1543082174,7,1
1543084098,9,5
1543086186,11,3
1543088175,2,5
1543090116,6,2
1543092039,2,5
1543093941,7,3
1543095880,4,7
1543097777,9,6
1543099704,6,11
1543101622,9,5
1543103541,6,3
1543105456,7,24
1543107371,4,3
1543109311,8,2
1543111231,3,6
1543113388,4,1
1543115323,5,4
1543117217,4,6
1543119144,7,3
1543121080,3,2
1543122992,4,2
1543124912,3,4
1543126817,5,5
1543128733,2,5
1543130667,2,4
1543132576,1,3
1543134740,5,3
1543136679,7,5
1543138603,1,8
1543140521,5,7
1543142435,6,5
1543144352,6,5
1543146276,6,8
1543148187,5,3
1543150093,4,9
1543152042,9,6
1543153937,7,2
1543155892,5,1
1543157790,10,5
1543159696,9,6
1543162630,12,4
1543164493,4,11
1543166429,4,9
1543168346,2,5
1543170268,6,10
1543172167,4,9
1543174364,5,3
1543176264,8,5
1543178199,8,3
1543180120,4,7
1543182031,6,4
1543183941,3,10
1543185852,6,7
1543188036,7,8
1543189936,8,4
1543191873,4,8
1543193891,5,10
1543195711,4,5
1543197671,3,3
1543199554,2,5
1543201456,4,2
1543203381,8,7
1543205320,7,6
1543207257,3,5
1543209156,1,5
1543211055,5,3
1543212989,4,3
1543214896,5,3
1543217087,3,2
1543218990,5,2
1543221141,6,5
1543223052,1,8
1543224967,4,2
1543226907,2,5
1543228814,1,6
1543230630,3,6
