DateTime,Entries,UniqueIPs
1542251552,147,147
1542253487,148,148
1542255619,147,147
1542257573,147,147
1542259473,150,150
1542261377,152,152
1542263321,154,154
1542266198,155,155
1542268095,158,158
1542270015,161,161
1542272185,162,162
1542274093,165,165
1542276025,168,168
1542277941,164,164
1542279868,162,162
1542282083,159,159
1542284227,160,160
1542286099,165,165
1542288019,159,159
1542289957,160,160
1542291848,164,164
1542293788,162,162
1542296455,163,163
1542298653,160,160
1542300782,160,160
1542302891,157,157
1542305079,155,155
1542306969,159,159
1542308925,157,157
1542310842,159,159
1542312762,161,161
1542314666,166,166
1542316837,161,161
1542318763,163,163
1542320899,160,160
1542323084,158,158
1542324988,158,158
1542326915,156,156
1542328831,158,158
1542330768,155,155
1542332656,155,155
1542334587,155,155
1542336515,152,152
1542338437,147,147
1542340340,149,149
1542342258,149,149
1542344177,149,149
1542346358,142,142
1542348286,141,141
1542350176,140,140
1542352204,155,155
1542354038,161,161
1542355946,161,161
1542357763,165,165
1542359797,166,166
1542361701,166,166
1542363644,170,170
1542365543,171,171
1542367457,168,168
1542369390,169,169
1542371297,169,169
1542373234,166,166
1542375160,173,173
1542377061,176,176
1542378983,180,180
1542380918,186,186
1542382816,190,190
1542385127,202,202
1542387392,203,203
1542389292,209,209
1542391280,213,213
1542393162,218,218
1542395075,225,225
1542396974,227,227
1542398923,228,228
1542400839,227,227
1542402746,234,234
1542404681,237,237
1542406663,237,237
1542408499,240,240
1542410432,242,242
1542412377,249,249
1542414257,253,253
1542416175,257,257
1542418111,259,259
1542420053,261,261
1542421950,263,263
1542423876,263,263
1542425803,266,266
1542427702,265,265
1542429618,266,266
1542431540,269,269
1542433477,271,271
1542435388,268,268
1542437299,268,268
1542439216,259,259
1542441137,261,261
1542443072,260,260
1542444991,249,249
1542446893,247,247
1542448868,245,245
1542450758,249,249
1542452664,251,251
1542454590,252,252
1542456500,251,251
1542458416,255,255
1542460344,260,260
1542462260,256,256
1542464191,249,249
1542466098,247,247
1542468016,244,244
1542469936,239,239
1542471873,231,231
1542473937,229,229
1542475944,223,223
1542477888,223,223
1542479772,213,213
1542481716,204,204
1542483620,201,201
1542485539,201,201
1542487463,202,202
1542489635,196,196
1542491562,201,201
1542493487,200,200
1542495393,196,196
1542497568,192,192
1542499459,188,188
1542501371,185,185
1542503310,185,185
1542505230,191,191
1542507154,191,191
1542509072,190,190
1542511005,188,188
1542512909,187,187
1542514835,187,187
1542516757,187,187
1542518669,186,186
1542520892,184,184
1542523003,183,183
1542524937,181,181
1542526837,178,178
1542528757,183,183
1542530663,183,183
1542532602,184,184
1542534498,184,184
1542536428,180,180
1542538366,176,176
1542540255,177,177
1542542195,176,176
1542544093,175,175
1542546062,170,170
1542547961,172,172
1542549866,171,171
1542551773,173,173
1542553736,176,176
1542555633,177,177
1542557596,182,182
1542559472,186,186
1542561549,188,188
1542563529,187,187
1542565467,185,185
1542567682,187,187
1542569536,189,189
1542571456,192,192
1542573378,196,196
1542575308,199,199
1542577223,195,195
1542579388,194,194
1542581299,194,194
1542583214,191,191
1542585145,196,196
1542587111,199,199
1542588986,199,199
1542590889,196,196
1542593783,195,195
1542595696,196,196
1542597623,200,200
1542599535,199,199
1542601490,202,202
1542603378,200,200
1542605288,200,200
1542607241,205,205
1542609138,207,207
1542611055,212,212
1542612998,214,214
1542614919,210,210
1542616829,213,213
1542618738,218,218
1542620673,219,219
1542622583,221,221
1542624510,222,222
1542626426,224,224
1542628593,222,222
1542630492,225,225
1542633409,230,230
1542635297,236,236
1542637240,239,239
1542639150,236,236
1542641068,229,229
1542642969,234,234
1542644917,229,229
1542646859,229,229
1542648915,230,230
1542650908,229,229
1542653078,231,231
1542654981,234,234
1542656898,234,234
1542658826,232,232
1542660738,226,226
1542662658,224,224
1542664591,227,227
1542666527,227,227
1542669400,230,230
1542671315,231,231
1542673257,230,230
1542675147,226,226
1542677063,222,222
1542678981,216,216
1542680895,215,215
1542682860,213,213
1542684742,210,210
1542686664,209,209
1542688577,210,210
1542690511,213,213
1542692417,211,211
1542694338,208,208
1542696260,203,203
1542698186,203,203
1542700098,203,203
1542702258,205,205
1542704170,205,205
1542706093,205,205
1542708047,207,207
1542709968,205,205
1542711879,207,207
1542713787,210,210
1542715911,209,209
1542717865,204,204
1542719776,202,202
1542721708,201,201
1542723622,200,200
1542725527,199,199
1542727449,203,203
1542729382,195,195
1542731293,195,195
1542733254,199,199
1542735133,203,203
1542737082,206,206
1542739520,204,204
1542741393,206,206
1542743291,205,205
1542745458,209,209
1542747366,208,208
1542749429,206,206
1542751484,204,204
1542753378,204,204
1542755336,202,202
1542757226,207,207
1542759162,207,207
1542761082,206,206
