DateTime,AddedIPs,RemovedIPs
1542008423,4,1
1542010370,7,2
1542012271,13,0
1542014194,0,1
1542016102,1,5
1542018020,8,1
1542019941,0,1
1542021882,0,6
1542023782,11,0
1542027684,0,10
1542031494,7,0
1542033385,0,2
1542037226,14,5
1542039146,4,18
1542042983,0,6
1542044917,13,0
1542046821,0,2
1542048744,0,3
1542050700,1,1
1542052589,11,9
1542056927,3,10
1542058838,6,2
1542060776,0,3
1542062677,0,9
1542064860,3,4
1542066744,0,3
1542068677,1,0
1542070596,3,6
1542072540,1,3
1542078262,3,0
1542080206,7,0
1542082134,0,1
1542084036,3,0
1542085964,0,4
1542087875,4,4
1542089825,1,0
1542091939,7,5
1542093875,5,0
1542096067,0,11
1542097945,0,13
1542103718,0,9
1542109460,0,11
1542113550,1,0
1542117397,1,7
1542123141,0,6
1542125063,0,12
1542131066,0,13
1542137071,0,1
1542139002,0,11
1542143796,0,8
1542145710,0,1
1542151466,0,3
1542155536,0,1
1542157477,0,4
1542159371,6,0
1542165387,0,3
1542167303,0,7
1542171177,0,3
1542174982,0,5
1542176899,1,0
1542178857,0,11
1542180772,0,1
1542182934,11,0
1542189146,21,0
1542193002,1,0
1542196892,22,0
1542198782,10,0
1542200671,4,1
1542204503,9,1
1542210263,9,0
1542212446,9,0
1542219391,20,0
1542223453,16,0
1542227555,3,0
1542229491,1,0
1542231405,9,0
1542233333,18,0
1542237658,5,0
1542239795,1,0
1542241700,17,0
1542243633,6,0
1542245551,0,5
1542247482,3,1
1542251555,20,0
1542253489,1,0
1542255621,2,0
1542259475,2,0
1542261378,14,0
1542263323,9,1
1542265260,1,0
1542267155,2,0
1542269098,0,11
1542271227,14,0
1542275065,0,18
1542277041,1,3
1542278910,4,1
1542280818,18,0
1542282736,0,8
1542284673,0,24
1542286573,2,4
1542288515,21,0
1542290473,4,6
1542292358,0,3
1542294532,6,0
1542296457,0,9
1542298655,6,9
1542302892,2,0
1542305081,6,20
1542306971,35,0
1542308928,4,7
1542310844,0,9
1542312763,0,3
1542314668,6,0
1542316853,10,1
1542318764,5,27
1542324990,8,6
1542326917,18,0
1542328832,3,22
1542330769,7,1
1542332658,1,0
1542334588,0,3
1542338439,4,20
1542340341,1,1
1542342261,20,2
1542346359,3,2
1542348288,0,21
1542350178,0,2
1542352209,0,1
1542354040,4,2
1542355959,2,0
1542357765,0,14
1542361702,2,0
1542363645,0,1
1542365545,8,10
1542367459,10,12
1542369391,18,0
1542371299,1,0
1542373277,0,2
1542375161,1,21
1542377062,4,4
1542380920,15,6
1542382818,17,0
1542385129,1,6
1542387394,10,0
1542389294,0,2
1542391294,16,1
1542393164,9,40
1542395077,0,4
1542396976,42,0
1542398925,21,0
1542400841,0,4
1542402748,0,9
1542404683,4,8
1542408501,1,0
1542410434,4,0
1542412378,0,26
1542416177,0,10
1542418112,46,1
1542420107,9,0
1542423878,0,4
1542425805,28,0
1542427704,1,1
1542429620,0,20
1542431542,16,3
1542433478,1,0
1542435389,2,0
1542437301,3,0
1542441139,4,4
1542443074,0,2
1542444993,1,0
1542446895,13,0
1542448889,2,2
1542450760,10,0
1542452665,0,17
1542454592,0,1
1542456502,0,19
1542460346,8,0
1542462272,4,5
1542466100,7,0
1542468018,0,21
1542469938,0,11
1542471875,2,1
1542473939,0,10
1542477890,0,20
1542479774,0,5
1542481718,5,5
1542483622,3,44
1542485541,0,14
1542487465,9,0
1542489637,12,2
1542491564,0,2
1542493488,18,0
1542495395,0,5
1542499461,15,0
1542501373,26,0
1542503313,2,16
1542505232,0,37
1542507156,3,2
1542511007,21,12
1542512911,13,16
1542514838,0,1
1542516759,16,0
1542518670,5,17
1542520894,26,0
1542523004,3,5
1542526839,21,4
1542528758,1,0
1542530665,0,1
1542532603,0,13
1542534500,24,2
1542536429,6,5
1542538368,20,5
1542540257,6,0
1542542197,10,0
1542544095,1,0
1542546102,2,8
1542547963,1,4
1542549867,20,0
1542551774,11,7
1542553742,11,0
1542557598,0,2
1542561550,5,0
1542563530,8,0
1542565469,22,0
1542567691,12,4
1542569537,0,4
1542571457,1,0
1542573380,1,0
1542575310,4,15
1542577224,15,6
1542579390,0,18
1542587113,0,41
1542588988,7,0
1542590895,3,2
1542593785,23,3
1542597625,2,27
1542599537,0,7
1542603380,7,20
1542605290,0,8
1542607303,0,19
1542609140,0,3
1542611056,7,0
1542612999,4,21
1542614922,3,1
1542618740,3,0
1542620685,1,23
1542622586,2,2
1542624512,0,25
1542626427,4,6
1542628595,6,10
1542630494,4,1
1542632486,2,2
1542634339,0,1
1542636278,0,20
1542638197,23,11
1542640181,12,11
1542642079,5,0
1542643978,9,0
1542647800,0,5
1542649935,3,8
1542651860,9,22
1542653783,3,12
1542657875,4,1
1542659780,3,1
1542661730,9,4
1542663632,10,15
1542669402,12,0
1542671317,2,0
1542673259,8,0
1542675149,8,7
1542677065,0,3
1542678983,1,20
1542680927,5,3
1542682917,9,0
1542684751,10,2
1542686666,1,0
1542688579,0,4
1542690513,0,3
1542694340,8,0
1542696261,3,4
1542698187,0,4
1542700100,0,6
1542702260,17,0
1542704187,5,0
1542706095,8,3
1542708097,0,2
1542709970,0,1
1542711881,12,0
1542713789,14,4
1542715914,9,6
1542717867,0,6
1542723624,0,15
1542725529,0,20
1542729384,0,14
1542731301,1,0
1542733285,1,0
1542735136,1,3
1542739523,0,12
1542741395,1,0
1542743292,1,0
1542745460,0,7
1542749431,2,19
1542755345,2,12
1542757228,0,2
1542759164,0,8
1542761086,1,8
1542766819,0,5
1542768750,0,10
1542770904,0,10
1542772889,1,1
1542774762,11,0
1542776665,2,0
1542780529,0,8
1542782439,0,3
1542784364,17,0
1542786386,13,0
1542788234,1,13
1542790157,0,9
1542792033,0,5
1542793950,10,3
1542795858,2,0
1542797793,1,5
1542799713,10,11
1542802601,2,19
1542804497,7,0
1542810272,9,0
1542814110,1,0
1542816057,4,0
1542817956,15,1
1542819882,4,1
1542821772,0,1
1542827774,3,1
1542829694,18,1
1542831885,3,0
1542833778,1,0
1542835704,0,2
1542837683,1,0
1542839543,27,0
1542841465,10,2
1542843388,7,0
1542847472,0,1
1542853230,9,0
1542855149,14,0
1542858974,0,1
1542860910,0,11
1542862861,11,2
1542866682,1,0
1542868830,1,0
1542870770,6,17
1542872673,3,13
1542874583,1,1
1542878432,1,0
1542880360,9,10
1542882258,16,2
1542884194,1,1
1542886351,1,10
1542888278,0,2
1542890177,6,7
1542892100,19,0
1542895944,0,5
1542897879,1,4
1542900064,18,1
1542901937,1,4
1542903923,0,11
1542905794,1,8
1542907689,13,0
1542913729,0,3
1542915639,7,17
1542917548,3,4
1542921394,0,1
1542923315,4,0
1542925218,7,23
1542927167,3,5
1542929061,0,17
1542935075,14,0
1542936971,8,0
1542938908,0,8
1542940819,1,15
1542942735,11,0
1542944674,9,0
1542946601,2,0
1542948736,1,6
1542950666,0,5
1542952891,20,1
1542954749,6,1
1542956679,4,6
1542958578,0,3
1542962417,0,1
1542964363,4,1
1542966268,16,1
1542968181,2,24
1542970100,0,1
1542972022,0,1
1542975883,0,1
1542977795,10,24
1542979701,6,0
1542984492,1,1
1542986699,2,18
1542988580,7,1
1542990505,11,0
1542992501,4,1
1542994364,0,13
1542998181,5,0
1543000121,7,0
1543002021,5,7
1543003953,0,3
1543005879,1,0
1543007794,1,0
1543009701,1,4
1543011630,11,7
1543013867,0,3
1543015970,3,0
1543019805,3,0
1543021727,0,14
1543023643,0,8
1543025571,3,0
1543027485,34,1
1543029403,0,11
1543031316,0,11
1543033245,0,1
1543037075,2,0
1543038977,0,12
1543040913,0,14
1543042892,0,4
1543050743,0,4
1543052667,7,16
1543054571,0,2
1543058899,6,0
1543062762,17,1
1543064668,0,12
1543066825,0,3
1543068746,3,0
1543070679,5,0
1543072581,1,2
1543074497,0,1
