DateTime,Entries,UniqueIPs
1542255622,1661,1661
1542257576,1664,1664
1542259476,1664,1664
1542261380,1792,1792
1542263324,1791,1791
1542265263,1787,1787
1542267156,1146,1146
1542269098,1228,1228
1542271228,1173,1173
1542273150,1174,1174
1542275066,1065,1065
1542277042,1068,1068
1542278911,1069,1069
1542280819,1185,1185
1542282737,1183,1183
1542284674,1180,1180
1542286574,1185,1185
1542288516,1189,1189
1542290475,1190,1190
1542292359,1185,1185
1542294533,1262,1262
1542296458,1470,1470
1542298656,1472,1472
1542300785,1314,1314
1542302893,1316,1316
1542305083,1323,1323
1542306972,1823,1823
1542308931,1831,1831
1542310845,1893,1893
1542312764,1899,1899
1542314678,1907,1907
1542316854,1907,1907
1542318765,1890,1890
1542320901,1902,1902
1542323087,1905,1905
1542324991,1912,1912
1542326918,2014,2014
1542328834,2015,2015
1542330771,2015,2015
1542332659,2063,2063
1542334589,2067,2067
1542336518,2071,2071
1542338440,2062,2062
1542340342,2065,2065
1542342262,2067,2067
1542344179,2070,2070
1542346360,2070,2070
1542348288,1945,1945
1542350179,1948,1948
1542352210,1948,1948
1542354041,1889,1889
1542355960,1891,1891
1542357766,1891,1891
1542359800,1893,1893
1542361703,1890,1890
1542363646,1890,1890
1542365546,1886,1886
1542367460,1779,1779
1542369392,1777,1777
1542371300,1777,1777
1542373279,1776,1776
1542375162,1775,1775
1542377063,1774,1774
1542378986,1727,1727
1542380932,1662,1662
1542382819,1362,1362
1542385130,1364,1364
1542387395,1355,1355
1542389294,1354,1354
1542391297,1347,1347
1542393165,1027,1027
1542395079,854,854
1542396977,787,787
1542398927,783,783
1542400842,777,777
1542402749,773,773
1542404684,767,767
1542406666,769,769
1542408502,767,767
1542410435,764,764
1542412379,763,763
1542414260,817,817
1542416178,895,895
1542418113,836,836
1542420108,1081,1081
1542421953,1111,1111
1542423879,1112,1112
1542425806,1110,1110
1542427705,1097,1097
1542429621,1094,1094
1542431543,1091,1091
1542433479,1088,1088
1542435390,1081,1081
1542437302,1052,1052
1542439220,1052,1052
1542441140,1054,1054
1542443075,1050,1050
1542444994,1047,1047
1542446896,1051,1051
1542448890,1061,1061
1542450761,1062,1062
1542452666,1058,1058
1542454593,1057,1057
1542456504,1052,1052
1542458419,1061,1061
1542460347,1061,1061
1542462273,1065,1065
1542464193,1087,1087
1542466101,1086,1086
1542468019,1087,1087
1542469939,1095,1095
1542471876,1096,1096
1542473940,1100,1100
1542475947,1103,1103
1542477891,1101,1101
1542479785,1127,1127
