DateTime,AddedIPs,RemovedIPs
1542255622,5,4
1542257576,8,8
1542259476,23,9
1542261380,23,6
1542263325,18,3
1542265264,8,6
1542267156,14,2
1542269099,6,5
1542271229,12,4
1542273150,8,4
1542275066,24,7
1542277042,18,3
1542278911,6,5
1542280819,2,1
1542282737,12,4
1542284675,6,4
1542286574,7,7
1542288516,1,4
1542290476,2,4
1542292359,1,5
1542294534,4,7
1542296458,2,11
1542298656,6,2
1542300785,2,6
1542302893,4,4
1542305083,4,14
1542306972,7,7
1542308932,15,6
1542310845,5,6
1542312764,3,5
1542314678,2,13
1542316855,12,10
1542318765,12,9
1542320901,6,10
1542323087,5,4
1542324991,4,2
1542326919,4,2
1542328834,1,3
1542330772,8,2
1542332660,11,2
1542334590,15,6
1542336518,5,8
1542338440,16,3
1542340343,14,0
1542342262,2,6
1542344180,6,8
1542346360,12,26
1542348289,20,23
1542350179,7,11
1542352211,3,13
1542354041,14,8
1542355961,5,9
1542357766,1,8
1542359801,6,10
1542361704,3,20
1542363647,2,19
1542365546,4,4
1542367461,4,3
1542369393,4,9
1542371300,3,8
1542373279,7,2
1542375163,4,1
1542377064,3,3
1542378987,2,3
1542380934,4,4
1542382819,8,2
1542385130,0,6
1542387396,4,1
1542389295,1,4
1542391297,3,3
1542393165,2,9
1542395079,0,15
1542396977,3,5
1542398927,3,5
1542400842,3,1
1542402749,8,12
1542404685,16,8
1542406666,10,11
1542408503,15,2
1542410436,11,4
1542412380,33,6
1542414260,12,3
1542416178,12,2
1542418114,12,9
1542420109,2,12
1542421953,3,9
1542423879,1,2
1542425806,1,25
1542427705,5,12
1542429621,9,3
1542431544,8,4
1542433479,2,17
1542435391,12,21
1542437302,1,2
1542439220,3,3
1542441140,0,13
1542443075,0,4
1542444994,0,5
1542446896,2,2
1542448890,1,2
1542450761,5,0
1542452667,5,3
1542454593,15,5
1542456504,2,1
1542458420,3,7
1542460347,5,6
1542462273,9,4
1542464194,12,3
1542466101,9,3
1542468019,3,4
1542469940,6,3
1542471876,6,1
1542473940,5,3
1542475947,7,1
1542477892,7,5
1542479785,7,1
1542481721,11,0
1542483623,9,6
1542485542,14,2
1542487466,16,2
1542489638,12,9
1542491565,7,15
1542493490,8,12
1542495396,0,15
1542497571,9,18
1542499462,13,34
1542501374,7,7
1542503315,2,17
1542505233,1,7
1542507158,2,3
1542509075,10,5
1542511009,4,2
1542512912,1,4
1542514839,4,4
1542516760,4,11
1542518673,1,3
1542520896,3,12
1542523006,3,4
1542524942,1,2
1542526840,4,1
1542528759,1,0
1542530666,2,0
1542532604,1,2
1542534501,5,4
1542536431,4,3
1542538369,1,9
1542540258,8,9
1542542198,3,8
1542544096,9,1
1542546103,5,4
