DateTime,AddedIPs,RemovedIPs
1542255624,9,10
1542257579,12,12
1542259478,28,11
1542261383,29,9
1542263327,25,5
1542265269,12,9
1542267159,19,6
1542269101,10,7
1542271231,17,6
1542273153,13,4
1542275068,31,8
1542277044,20,7
1542278914,9,11
1542280831,6,2
1542282740,16,11
1542284678,11,6
1542286577,12,7
1542288519,6,11
1542290479,8,4
1542292372,3,6
1542294539,12,9
1542296460,6,16
1542298659,10,7
1542300788,6,10
1542302896,9,10
1542305085,7,19
1542306986,14,12
1542308935,15,9
1542310847,11,11
1542312767,7,9
1542314680,7,17
1542316857,15,18
1542318768,15,10
1542320904,8,17
1542323089,9,9
1542324993,10,8
1542326921,6,8
1542328836,8,4
1542330775,9,7
1542332662,18,9
1542334593,16,8
1542336520,9,16
1542338442,18,12
1542340345,20,5
1542342265,4,9
1542344182,11,10
1542346363,14,34
1542348291,25,31
1542350181,9,16
1542352215,21,16
1542354043,24,12
1542355963,8,12
1542357770,9,13
1542359804,12,16
1542361706,8,26
1542363649,8,22
1542365556,10,7
1542367463,5,8
1542369396,8,13
1542371302,7,11
1542373283,11,6
1542375165,14,7
1542377066,11,9
1542378989,14,5
1542380939,16,12
1542382824,18,6
1542385133,16,10
1542387399,13,7
1542389297,15,8
1542391301,10,5
1542393168,16,13
1542395082,9,15
1542396980,14,11
1542398930,9,8
1542400845,8,6
1542402752,17,14
1542404689,24,12
1542406668,18,15
1542408505,20,6
1542410438,17,9
1542412382,47,10
1542414262,17,6
1542416181,18,6
1542418116,16,11
1542420112,10,16
1542421955,8,11
1542423881,7,5
1542425809,6,27
1542427708,8,21
1542429624,13,8
1542431546,14,7
1542433482,7,19
1542435393,15,24
1542437304,6,9
1542439225,10,16
1542441142,8,19
1542443077,2,6
1542444997,5,20
1542446899,3,4
1542448894,10,11
1542450763,15,5
1542452669,8,6
1542454596,21,7
1542456506,8,6
1542458424,10,12
1542460350,13,12
1542462275,14,12
1542464196,18,13
1542466103,16,16
1542468022,8,10
1542469942,14,13
1542471879,11,15
1542473942,9,11
1542475950,15,16
1542477894,13,12
1542479787,10,14
1542481724,15,11
1542483625,9,15
1542485544,17,7
1542487468,21,7
1542489641,19,20
1542491568,19,22
1542493492,11,18
1542495399,8,26
1542497573,13,25
1542499464,15,42
1542501376,12,15
1542503318,9,22
1542505235,10,10
1542507160,11,12
1542509077,13,8
1542511011,6,9
1542512918,5,7
1542514842,8,8
1542516762,7,13
1542518675,7,7
1542520900,9,17
1542523008,9,11
1542524946,7,5
1542526842,6,10
1542528761,9,3
1542530670,5,4
1542532607,2,6
1542534504,7,9
1542536433,10,11
1542538371,5,18
1542540260,10,14
1542542200,6,13
1542544098,17,8
1542546105,11,10
1542547966,16,12
1542549871,5,13
1542551778,12,20
1542553748,7,7
1542555638,14,12
1542557613,25,13
1542559477,7,8
1542561554,9,16
1542563534,7,12
1542565472,4,14
1542567696,10,19
1542569541,22,11
1542571460,41,16
1542573383,37,21
1542575321,41,14
1542577227,36,18
1542579393,35,13
1542581314,22,10
1542583218,22,13
1542585159,25,22
1542587116,25,11
1542588991,28,10
1542590898,21,9
1542592887,20,13
1542594755,20,13
1542596665,19,3
1542598588,21,9
1542600528,30,6
1542602433,13,3
1542604357,16,10
1542606264,12,4
1542608193,12,8
1542610115,10,9
1542612029,10,8
1542613958,9,7
1542615856,9,5
1542617772,11,2
1542619708,21,4
1542621693,8,10
1542623541,16,9
1542625471,7,5
1542627630,8,11
1542629562,8,5
1542631456,10,14
1542633414,18,16
1542635300,17,9
1542637244,11,10
1542639154,15,6
1542641073,4,11
1542642972,16,14
1542644920,6,18
1542646912,9,6
1542648918,13,6
1542650916,12,4
1542653081,8,6
1542654987,14,12
1542656903,6,34
1542658829,9,29
1542660742,27,34
1542662662,20,40
1542664606,35,27
1542666531,11,30
1542668493,13,23
1542670461,14,29
1542672308,14,24
1542674211,6,30
1542676119,8,28
1542678026,10,23
1542679943,11,19
1542681865,16,15
1542683791,10,20
1542685709,7,22
1542687629,16,23
1542689565,16,16
1542691463,13,12
1542693399,14,11
1542695301,10,9
1542698192,28,16
1542700103,15,7
1542702263,19,19
1542704191,12,15
1542706100,15,20
1542708106,12,10
1542709974,20,15
1542711889,8,8
1542713793,10,7
1542715919,8,9
1542717881,4,14
1542719808,8,17
1542721714,21,18
1542723628,14,14
1542725532,12,16
1542727455,14,3
1542729388,8,15
1542731306,5,3
1542733308,20,8
1542735140,29,8
1542737088,39,15
1542739539,41,11
1542741404,30,15
1542743296,33,8
1542745470,42,13
1542747372,39,30
1542749435,35,19
1542751252,10,32
1542753137,33,13
1542755071,13,11
1542756985,24,12
1542759168,30,14
1542761090,10,6
1542763015,22,9
1542764917,17,8
1542766824,15,11
1542768754,21,14
1542770908,9,9
1542772895,8,11
1542774766,18,16
1542776672,13,10
1542778599,7,12
1542780534,8,10
1542782443,10,17
1542784368,8,14
1542786390,10,12
1542788238,4,12
1542790160,9,13
1542792037,11,10
1542793954,5,15
1542795862,8,17
1542797798,7,12
1542799718,13,6
1542802605,9,14
1542804502,12,6
1542806435,14,10
1542808350,9,17
1542810275,9,12
1542812174,10,11
1542814123,15,12
1542816063,7,7
1542817967,12,7
1542819886,16,19
1542821776,14,31
1542823884,18,41
1542825859,18,29
1542827778,17,35
1542829698,24,34
1542831895,14,40
1542833782,11,36
1542835708,26,32
1542837694,17,20
1542839548,19,33
1542841469,32,19
1542843394,28,26
1542845570,31,32
1542847477,38,12
1542849410,43,24
1542851298,21,15
1542853240,21,20
1542855153,22,17
1542857078,22,5
1542858978,24,10
