DateTime,AddedIPs,RemovedIPs
1542259479,26,30
1542261383,42,37
1542263328,30,39
1542265271,20,37
1542267159,29,30
1542269102,20,44
1542271232,54,47
1542273153,35,42
1542275069,33,62
1542277045,31,34
1542278914,49,29
1542280831,67,47
1542282740,42,42
1542284679,31,53
1542286577,32,57
1542288519,69,50
1542290480,32,37
1542292372,31,34
1542294540,51,47
1542296461,34,51
1542298659,48,50
1542300788,42,41
1542302897,38,53
1542305086,39,59
1542306987,83,48
1542308936,41,50
1542310848,17,39
1542312768,33,34
1542314681,44,48
1542316858,79,38
1542318768,40,54
1542320904,46,45
1542323090,42,32
1542324994,42,27
1542326922,44,21
1542328837,43,43
1542330775,33,14
1542332663,55,29
1542334593,36,54
1542336521,37,26
1542338443,42,49
1542340345,50,26
1542342265,44,23
1542344183,45,19
1542346363,54,31
1542348292,28,46
1542350182,42,20
1542352217,33,35
1542354044,32,26
1542355964,39,14
1542357771,32,53
1542359804,42,32
1542361706,24,36
1542363650,29,33
1542365556,43,56
1542367463,43,58
1542369397,52,37
1542371303,31,30
1542373284,44,39
1542375176,299,62
1542377067,3386,33
1542378990,3317,34
1542380941,374,41
1542382824,44,30
1542385133,36,46
1542387400,64,43
1542389298,28,31
1542391302,48,19
1542393169,35,83
1542395083,28,35
1542396981,66,19
1542398931,50,30
1542400845,88,38
1542402753,37,70
1542404689,34,41
1542406669,27,29
1542408506,41,36
1542410439,41,25
1542412383,36,56
1542414263,35,30
1542416192,43,36
1542418117,81,35
1542420112,36,47
1542421956,26,22
1542423882,25,39
1542425809,60,42
1542427709,25,32
1542429625,46,54
1542431547,48,44
1542433483,28,33
1542435394,35,22
1542437305,38,38
1542439227,24,23
1542441143,21,37
1542443078,31,44
1542444998,36,40
1542446900,39,25
1542448895,31,24
1542450764,46,29
1542452670,31,43
1542454597,29,31
1542456507,47,46
1542458430,43,30
1542460351,78,47
1542462276,39,1544
1542464197,31,3253
1542466104,62,2456
1542468022,39,58
1542469943,26,39
1542471879,50,37
1542473943,35,62
1542475950,43,39
1542477895,37,58
1542479788,50,41
1542481725,21,43
1542483626,664,73
1542485545,418,48
1542487469,73,68
1542489642,51,41
1542491568,43,39
1542493493,48,31
1542495399,31,48
1542497574,30,38
1542499465,53,34
1542501377,54,53
1542503318,36,45
1542505236,42,79
1542507161,41,33
1542509078,36,21
1542511012,48,34
1542512918,45,41
1542514842,52,43
1542516763,59,48
1542518676,52,40
1542520912,94,37
1542523009,40,40
1542524947,44,32
1542526843,56,31
1542528762,33,21
1542530670,39,36
1542532607,34,48
1542534505,67,24
1542536433,46,39
1542538371,56,35
1542540261,40,32
1542542201,75,70
1542544099,34,36
1542546106,61,81
1542547967,33,47
1542549871,43,32
1542551778,29,42
1542553748,52,65
1542555638,36,23
1542557614,45,46
1542559478,34,31
1542561554,42,33
1542563534,61,36
1542565473,44,34
1542567697,81,36
1542569542,36,34
1542571461,44,37
1542573383,34,72
1542575323,38,53
1542577228,57,44
1542579394,33,299
1542581314,48,42
1542583219,55,25
1542585165,30,31
1542587117,25,76
1542588992,37,782
1542590898,35,38
1542592888,52,39
1542594756,35,45
1542596665,33,41
1542598588,62,56
1542600529,36,48
1542602433,40,34
1542604358,31,70
1542606264,43,69
1542608194,38,64
1542610116,26,41
1542612029,36,62
1542613959,40,44
1542615857,39,40
1542617773,64,41
1542619709,65,41
1542621694,32,60
1542623541,29,54
1542625472,37,34
1542627631,44,103
1542629563,56,31
1542631456,43,49
1542633414,13,62
1542635301,41,39
1542637245,96,35
1542639154,49,29
1542641073,30,51
1542642972,43,40
1542644921,37,41
1542646913,40,42
1542648919,36,56
1542650917,27,47
1542653081,53,79
1542654994,57,54
1542656903,40,29
1542658830,25,62
1542660742,3389,27
1542662662,2305,47
1542664607,440,33
1542666532,462,38
1542668501,491,35
1542670461,476,22
1542672309,466,21
1542674212,515,20
1542676120,439,29
1542678027,482,34
1542679944,437,24
1542681866,423,21
1542683792,362,31
1542685710,335,44
1542687630,233,21
1542689566,203,18
1542691463,162,23
1542693400,125,30
1542695302,115,11
1542697265,104,22
1542699193,67,20
1542701178,102,31
1542703286,70,35
1542705201,45,22
1542707060,64,29
1542708987,50,17
1542710895,50,28
1542712828,62,35
1542714753,48,31
1542716685,66,41
1542718589,31,27
1542720506,59,15
1542722479,41,58
1542724362,34,66
1542726268,40,27
1542728181,44,21
1542730181,32,34
1542732024,39,18
1542733959,40,27
1542735867,72,19
1542738019,71,22
1542739966,49,28
1542741863,136,41
1542743800,239,37
1542745704,181,432
1542747683,101,2977
1542749552,116,1681
1542751490,30,275
1542753383,28,310
1542755358,31,348
1542757232,31,354
1542759169,42,374
1542761091,27,405
1542763016,23,446
1542764918,38,409
1542766824,27,431
1542768755,58,426
1542770908,74,313
1542772896,169,264
1542774767,197,191
1542776678,148,179
1542778600,147,101
1542780535,128,104
1542782444,87,90
1542784369,88,60
1542786391,102,73
1542788239,52,89
1542790161,44,52
1542792038,70,64
1542793954,50,89
1542795863,72,76
1542797798,89,115
1542799718,115,100
1542802605,225,163
1542804503,110,94
1542806436,121,89
1542808351,105,104
1542810276,88,93
1542812174,115,71
1542814123,85,104
1542816064,93,74
1542817968,114,79
1542819887,102,83
1542821777,91,89
1542823885,104,81
1542825860,1865,65
1542827779,533,68
1542829699,328,194
1542831902,248,311
1542833783,146,109
1542835709,135,129
1542837695,85,34
1542839549,89,30
1542841470,71,35
1542843395,71,26
1542845571,62,50
1542847478,44,23
1542849411,40,16
1542851299,38,32
1542853241,41,21
1542855153,46,47
1542857079,34,159
1542858979,26,237
1542860915,35,267
1542862903,52,193
1542864761,21,167
1542866688,21,167
1542868834,36,127
1542870775,27,109
1542872678,30,118
1542874588,29,60
1542876503,29,55
1542878438,33,64
1542880365,33,57
1542882264,55,69
1542884219,28,72
1542886364,66,102
1542888283,38,128
1542890182,36,85
1542892108,57,52
1542894023,33,109
1542895949,48,69
1542897884,48,62
1542900079,95,92
1542901962,67,63
1542903938,78,63
1542905799,88,79
1542907694,75,78
1542909693,64,59
1542911817,70,1338
1542913740,768,411
1542915645,439,344
1542917553,394,221
1542919460,328,151
1542921399,209,148
1542923320,215,122
1542925224,166,112
1542927171,158,79
1542929067,110,86
1542930995,87,68
1542933151,104,76
1542935080,121,53
1542936983,77,53
1542938924,100,42
1542940824,71,55
1542942742,99,38
1542944679,67,37
1542946606,69,26
1542948742,57,56
1542950670,52,31
1542952905,82,35
1542954755,79,27
1542956684,73,31
1542958583,74,28
1542960555,67,30
1542962422,53,21
1542964369,72,46
1542966273,84,20
1542968197,73,59
1542970105,50,31
1542972030,49,57
1542973942,66,34
1542975889,47,28
1542977800,54,65
1542979706,74,26
1542982606,205,67
1542984497,131,42
1542986705,87,77
1542988595,73,45
1542990514,92,50
1542992510,69,81
1542994369,62,56
1542996383,76,46
1542998186,66,161
1543000126,77,601
1543002026,87,354
1543003957,96,299
1543005885,79,254
1543007799,76,177
1543009707,70,178
1543011635,107,155
1543013873,112,150
1543015975,77,125
1543017866,81,97
1543019811,85,96
1543021733,85,129
1543023660,173,99
1543025576,266,103
1543027489,220,93
1543029418,150,105
1543031320,134,84
1543033250,143,80
1543035170,225,65
1543037081,235,64
1543038991,60,86
1543040925,75,81
1543042897,52,84
1543044874,42,84
1543046687,38,81
1543048599,50,84
1543050756,55,97
1543052671,32,108
1543054576,40,85
1543056896,730,88
1543058904,44,76
1543060917,33,71
1543062767,46,62
1543064683,44,82
1543066830,43,83
1543068750,40,180
1543070684,92,156
1543072587,83,96
1543074502,48,104
1543076422,29,89
1543078346,52,119
1543080266,48,104
1543082180,40,107
1543084104,31,80
1543086193,47,110
1543088181,51,98
1543090122,48,109
1543092046,57,95
1543093951,58,84
1543095887,41,98
1543097784,57,97
1543099711,80,97
1543101630,83,77
1543103549,73,75
1543105463,93,94
1543107378,93,80
1543109319,308,71
1543111320,454,313
1543113396,459,278
1543115330,344,173
