DateTime,AddedIPs,RemovedIPs
1542259482,12,6
1542261385,10,8
1542263330,5,5
1542265280,7,11
1542267162,1,6
1542269104,1,10
1542271234,7,14
1542273156,2,12
1542275071,7,8
1542277047,3,6
1542278916,17,12
1542280834,25,8
1542282743,3,2
1542284681,7,4
1542286580,3,3
1542288522,13,19
1542290484,5,2
1542292374,6,5
1542294544,8,13
1542296464,6,7
1542298662,1,7
1542300791,7,8
1542302900,12,12
1542305089,9,8
1542306989,12,22
1542308956,9,4
1542310851,3,1
1542312770,2,2
1542314683,5,16
1542316861,34,13
1542318771,4,8
1542320907,10,9
1542323093,5,6
1542324997,9,2
1542326926,1,1
1542328840,4,5
1542330778,6,4
1542332666,15,3
1542334596,2,37
1542336523,3,3
1542338445,7,7
1542340348,7,4
1542342269,5,2
1542344186,4,5
1542346366,18,17
1542348294,6,4
1542350185,8,6
1542352224,6,9
1542354047,3,2
1542355967,6,0
1542357775,3,8
1542359807,19,3
1542361709,0,3
1542363652,6,5
1542365559,3,22
1542367466,8,23
1542369400,4,3
1542371306,4,6
1542373291,17,5
1542375179,7,12
1542377069,8,8
1542378993,5,10
1542380944,5,8
1542382827,2,6
1542385136,6,1
1542387403,10,9
1542389301,3,10
1542391305,6,6
1542393171,4,16
1542395086,2,9
1542396984,3,3
1542398935,7,1
1542400848,20,6
1542402756,15,24
1542404705,0,12
1542406672,11,10
1542408509,5,4
1542410441,1,6
1542412386,2,6
1542414266,10,3
1542416195,3,8
1542418119,3,10
1542420115,1,8
1542421959,1,3
1542423885,5,5
1542425823,1,7
1542427711,5,8
1542429628,22,6
1542431550,8,12
1542433485,2,11
1542435397,3,6
1542437308,2,7
1542439232,3,3
1542441146,2,6
1542443081,16,7
1542445000,9,9
1542446903,6,12
1542448901,3,4
1542450767,7,7
1542452683,0,4
1542454599,7,8
1542456510,5,1
1542458434,11,7
1542460357,21,16
1542462279,7,10
1542464199,3,2
1542466107,3,4
1542468025,8,4
1542469945,8,3
1542471882,9,4
1542473946,9,12
1542475954,6,3
1542477898,5,3
1542479791,4,8
1542481729,4,1
1542483628,7,4
1542485547,10,7
1542487471,17,22
1542489644,12,15
1542491571,3,2
1542493495,2,11
1542495402,7,3
1542497577,3,0
1542499478,13,5
1542501379,4,8
1542503321,4,0
1542505239,4,1
1542507163,12,4
1542509080,2,0
1542511014,6,2
1542512921,1,5
1542514845,15,13
1542516766,12,20
1542518679,17,1
1542520914,7,2
1542523012,3,2
1542524950,12,2
1542526846,6,3
1542528764,8,10
1542530674,9,14
1542532610,8,7
1542534508,8,4
1542536436,4,5
1542538374,9,5
1542540263,5,4
1542542203,10,8
1542544101,4,11
1542546109,21,18
1542547969,8,13
1542549874,1,1
1542551781,2,6
