DateTime,Entries,UniqueIPs
1542259485,2917,2917
1542261388,2913,2913
1542263332,2903,2903
1542265283,2911,2911
1542267164,2900,2900
1542269107,2897,2897
1542271237,2905,2905
1542273159,2907,2907
1542275074,2910,2910
1542277050,2907,2907
1542278919,2906,2906
1542280837,2909,2909
1542282745,2902,2902
1542284684,2894,2894
1542286582,2894,2894
1542288526,2896,2896
1542290487,2895,2895
1542292377,2895,2895
1542294546,2893,2893
1542296467,2890,2890
1542298666,2884,2884
1542300794,2934,2934
1542302902,2966,2966
1542305091,2994,2994
1542306992,3006,3006
1542308961,3026,3026
1542310865,3036,3036
1542312773,3056,3056
1542314686,3061,3061
1542316863,3071,3071
1542318780,3070,3070
1542320909,3073,3073
1542323095,3070,3070
1542324999,3069,3069
1542326928,3063,3063
1542328852,3064,3064
1542330780,3065,3065
1542332668,3062,3062
1542334598,3055,3055
1542336526,3048,3048
1542338448,3049,3049
1542340350,3036,3036
1542342271,3028,3028
1542344188,3010,3010
1542346368,3012,3012
1542348296,2996,2996
1542350187,3000,3000
1542352229,2989,2989
1542354049,2983,2983
1542355969,2980,2980
1542357777,2962,2962
1542359809,2950,2950
1542361711,2941,2941
1542363654,2942,2942
1542365561,2936,2936
1542367468,2926,2926
1542369402,2921,2921
1542371308,2911,2911
1542373293,2896,2896
1542375181,2911,2911
1542377071,2897,2897
1542378995,2885,2885
1542380946,2881,2881
1542382829,2871,2871
1542385138,1985,1985
1542387405,874,874
1542389303,866,866
1542391307,861,861
1542393173,852,852
1542395089,848,848
1542396986,842,842
1542398937,835,835
1542400850,838,838
1542402758,826,826
1542404708,819,819
1542406674,806,806
1542408511,813,813
1542410444,807,807
1542412388,816,816
1542414268,819,819
1542416197,806,806
1542418124,797,797
1542420118,791,791
1542421963,777,777
1542423888,766,766
1542425833,752,752
1542427715,740,740
1542429631,718,718
1542431552,702,702
1542433488,676,676
1542435400,642,642
1542437310,616,616
1542439236,603,603
1542441148,603,603
1542443083,598,598
1542445003,596,596
1542446905,606,606
1542448913,637,637
1542450769,665,665
1542452686,670,670
1542454602,664,664
1542456512,669,669
1542458437,686,686
1542460360,2383,2383
1542462282,3607,3607
1542464202,3624,3624
1542466111,3639,3639
1542468028,3657,3657
1542469948,3674,3674
1542471885,3694,3694
1542473948,3714,3714
1542475957,3731,3731
1542477911,3746,3746
1542479793,3752,3752
1542481732,3760,3760
1542483631,4203,4203
1542485550,5327,5327
1542487474,5335,5335
1542489647,5343,5343
1542491574,5347,5347
1542493498,5346,5346
1542495405,5347,5347
1542497580,5343,5343
1542499481,5369,5369
1542501382,5370,5370
1542503335,5368,5368
1542505242,5365,5365
1542507166,5363,5363
1542509083,5361,5361
1542511017,5364,5364
1542512924,5366,5366
1542514847,5372,5372
1542516768,5375,5375
1542518681,5376,5376
1542520917,5376,5376
1542523014,5378,5378
1542524954,5381,5381
1542526848,5386,5386
1542528767,5387,5387
1542530677,5389,5389
1542532613,5396,5396
1542534510,5388,5388
1542536439,5378,5378
1542538377,5380,5380
1542540266,5375,5375
1542542206,5378,5378
1542544104,5372,5372
1542546111,4495,4495
1542547972,3076,3076
1542549876,2901,2901
1542551783,2894,2894
1542553755,2943,2943
1542555643,2976,2976
1542557619,3017,3017
1542559483,3073,3073
1542561560,3091,3091
1542563539,3090,3090
1542565478,3097,3097
1542567709,3100,3100
1542569547,3104,3104
1542571466,3112,3112
1542573388,3112,3112
1542575331,3111,3111
1542577233,3113,3113
1542579399,2898,2898
1542581320,2887,2887
1542583224,2893,2893
1542585171,2873,2873
1542587122,2874,2874
1542588997,1175,1175
1542590904,1171,1171
1542592894,1178,1178
1542594761,1182,1182
1542596670,1186,1186
1542598613,1188,1188
1542600537,1181,1181
1542602439,1179,1179
1542604365,1168,1168
1542606269,1165,1165
1542608199,1169,1169
1542610121,1166,1166
1542612036,1158,1158
1542613964,1154,1154
1542615862,1155,1155
1542617778,1176,1176
1542619714,1170,1170
1542621701,1168,1168
