DateTime,Entries,UniqueIPs
1542255630,218,218
1542257586,220,220
1542259486,218,218
1542261389,217,217
1542263333,219,219
1542265284,220,220
1542267165,222,222
1542269108,217,217
1542271237,214,214
1542273160,215,215
1542275075,214,214
1542277050,207,207
1542278920,209,209
1542280837,208,208
1542282746,209,209
1542284684,207,207
1542286583,208,208
1542288527,213,213
1542290488,212,212
1542292378,207,207
1542294547,210,210
1542296468,209,209
1542298666,209,209
1542300794,209,209
1542302903,208,208
1542305092,209,209
1542306992,213,213
1542308962,214,214
1542310866,213,213
1542312773,218,218
1542314687,217,217
1542316863,219,219
1542318781,219,219
1542320910,212,212
1542323096,208,208
1542325000,206,206
1542326928,206,206
1542328853,233,233
1542330781,233,233
1542332668,232,232
1542334599,232,232
1542336526,227,227
1542338448,230,230
1542340351,232,232
1542342271,226,226
1542344188,224,224
1542346368,219,219
1542348297,222,222
1542350187,219,219
1542352231,214,214
1542354050,213,213
1542355969,215,215
1542357778,215,215
1542359810,213,213
1542361712,213,213
1542363655,213,213
1542365561,211,211
1542367469,213,213
1542369403,211,211
1542371308,212,212
1542373294,208,208
1542375182,204,204
1542377072,201,201
1542378996,202,202
1542380947,201,201
1542382830,201,201
1542385139,199,199
1542387406,198,198
1542389303,199,199
1542391307,194,194
1542393174,182,182
1542395089,181,181
1542396986,175,175
1542398938,165,165
1542400851,164,164
1542402759,160,160
1542404708,156,156
1542406676,155,155
1542408512,154,154
1542410445,150,150
1542412389,147,147
1542414269,143,143
1542416198,113,113
1542418124,111,111
1542420118,115,115
1542421964,111,111
1542423889,110,110
1542425834,106,106
1542427717,109,109
1542429631,102,102
1542431553,103,103
1542433488,100,100
1542435400,99,99
1542437311,125,125
1542439237,124,124
1542441149,124,124
1542443084,124,124
1542445003,125,125
1542446906,121,121
1542448913,126,126
1542450770,127,127
1542452687,129,129
1542454603,126,126
1542456513,124,124
1542458437,126,126
1542460360,125,125
1542462282,127,127
1542464203,128,128
1542466112,131,131
1542468028,136,136
1542469949,135,135
1542471885,140,140
1542473949,140,140
1542475957,141,141
1542477912,146,146
1542479794,147,147
1542481733,150,150
1542483632,151,151
1542485551,155,155
1542487475,158,158
1542489648,160,160
1542491574,161,161
1542493499,162,162
1542495415,160,160
1542497580,162,162
1542499481,163,163
1542501383,170,170
1542503350,168,168
1542505242,172,172
1542507167,169,169
1542509084,171,171
1542511018,174,174
1542512924,173,173
1542514849,171,171
1542516769,174,174
1542518682,177,177
1542520918,176,176
1542523015,151,151
1542524955,152,152
1542526849,152,152
1542528767,152,152
1542530677,154,154
1542532613,153,153
1542534511,152,152
1542536439,152,152
1542538377,151,151
1542540266,155,155
1542542207,156,156
1542544105,157,157
1542546112,158,158
1542547972,158,158
1542549877,158,158
1542551784,156,156
1542553756,149,149
1542555644,148,148
1542557619,142,142
1542559483,138,138
1542561561,140,140
1542563540,133,133
1542565479,132,132
1542567710,141,141
1542569547,148,148
1542571467,147,147
1542573389,147,147
1542575331,148,148
1542577234,149,149
1542579399,155,155
1542581320,158,158
1542583225,158,158
1542585172,159,159
1542587123,159,159
1542588997,161,161
1542590904,161,161
1542592895,159,159
1542594762,158,158
1542596671,158,158
1542598613,159,159
1542600538,163,163
1542602439,164,164
1542604365,167,167
1542606270,165,165
1542608200,163,163
1542610122,162,162
1542612036,161,161
1542613965,164,164
1542615863,170,170
1542617779,172,172
1542619715,176,176
1542621701,172,172
1542623547,172,172
1542625478,172,172
1542627637,171,171
1542629578,168,168
1542631473,169,169
1542633421,171,171
1542635307,171,171
1542637251,173,173
1542639160,170,170
1542641079,169,169
1542642989,170,170
1542644927,168,168
1542646920,166,166
1542648927,163,163
1542650927,163,163
1542653088,158,158
1542655005,145,145
1542656910,133,133
1542658854,131,131
1542660749,126,126
1542662680,120,120
1542664613,118,118
1542666592,116,116
1542668580,114,114
1542670468,112,112
1542672316,110,110
1542674229,104,104
1542676149,105,105
1542678060,103,103
1542679950,100,100
1542681880,100,100
1542683797,98,98
1542685723,95,95
1542687641,91,91
1542689571,98,98
1542691469,96,96
1542693405,94,94
1542695309,92,92
1542697315,92,92
1542699198,91,91
1542701212,91,91
1542703293,104,104
1542705207,102,102
1542707078,120,120
1542708993,122,122
1542710901,133,133
1542712834,143,143
1542714759,147,147
1542716691,150,150
1542718594,148,148
1542720512,146,146
1542722489,145,145
1542724368,144,144
1542728186,148,148
1542730192,150,150
1542732030,161,161
1542733966,174,174
1542735873,186,186
1542738026,201,201
1542739972,217,217
1542741871,226,226
1542743806,239,239
1542745710,251,251
1542747696,264,264
1542749558,271,271
1542751496,278,278
1542753389,287,287
1542755365,300,300
1542757238,309,309
1542759176,323,323
1542761097,335,335
1542763022,347,347
1542764924,363,363
1542766830,369,369
1542768761,378,378
1542770926,388,388
1542772905,404,404
1542774773,409,409
1542776685,406,406
1542778623,416,416
1542780541,423,423
1542782449,431,431
1542784375,438,438
1542786397,445,445
1542788246,449,449
1542790167,440,440
1542792044,439,439
1542793960,433,433
1542795868,438,438
1542797804,435,435
1542799724,461,461
1542801709,461,461
1542803566,467,467
1542805494,477,477
1542807408,485,485
1542809333,513,513
1542811242,517,517
1542813151,530,530
1542815061,534,534
1542817008,533,533
1542819067,528,528
1542821052,514,514
1542822988,498,498
1542824892,485,485
1542826898,477,477
1542828760,469,469
1542830666,457,457
1542832588,448,448
1542834754,434,434
1542836715,426,426
1542838595,416,416
1542840521,408,408
1542842448,398,398
1542844405,388,388
1542846518,380,380
1542848509,372,372
1542850358,356,356
1542852266,351,351
1542854207,344,344
1542856137,339,339
1542858039,325,325
1542859946,319,319
1542861877,310,310
1542863798,300,300
1542865705,291,291
1542867614,280,280
1542869550,270,270
1542871716,265,265
1542873696,260,260
1542875579,249,249
1542877473,250,250
1542879415,246,246
1542881316,239,239
1542883226,231,231
1542885167,200,200
1542887056,194,194
1542889007,186,186
1542890897,175,175
1542893090,168,168
1542894992,136,136
1542896898,135,135
1542898893,130,130
1542900759,121,121
1542902572,115,115
1542904609,116,116
1542906763,116,116
1542908665,123,123
1542910590,124,124
1542912761,124,124
1542914677,121,121
1542916582,127,127
1542918515,130,130
1542920518,131,131
1542922376,132,132
1542924267,132,132
1542926215,133,133
1542928116,130,130
1542930034,130,130
1542932072,127,127
1542934363,126,126
1542936267,123,123
1542938204,121,121
1542940103,118,118
1542942103,121,121
1542944199,123,123
1542946114,126,126
1542948027,128,128
1542949947,128,128
1542951879,130,130
1542953790,127,127
1542955704,125,125
1542957658,126,126
1542959544,127,127
1542961477,132,132
1542963379,131,131
1542965301,126,126
1542967320,133,133
1542969151,133,133
1542971075,132,132
1542972993,131,131
1542974907,139,139
1542976832,140,140
1542978750,139,139
1542980672,138,138
1542982610,137,137
1542984501,137,137
1542986710,138,138
1542988600,137,137
1542990519,138,138
1542992515,141,141
1542994374,136,136
1542998831,138,138
1543000832,139,139
1543002987,136,136
1543004901,133,133
1543006915,135,135
1543008749,136,136
1543010672,143,143
1543012718,150,150
1543014555,155,155
1543016417,157,157
1543018585,161,161
1543020779,161,161
1543022683,161,161
1543024599,162,162
1543026534,165,165
1543028546,165,165
1543030382,165,165
1543032292,168,168
1543034186,168,168
1543036123,167,167
1543038037,166,166
1543039947,168,168
1543041880,174,174
1543043806,174,174
1543045700,175,175
1543047630,172,172
1543049559,171,171
1543051481,172,172
1543053398,166,166
1543055308,167,167
1543057510,171,171
1543059412,171,171
1543061326,161,161
1543063229,157,157
1543065185,154,154
1543067334,154,154
1543069249,151,151
1543071138,157,157
1543073125,165,165
1543075001,173,173
1543076895,170,170
1543078899,167,167
1543080766,166,166
1543082668,168,168
1543084605,168,168
1543086522,170,170
1543088418,168,168
1543090590,173,173
1543092504,176,176
1543094465,178,178
1543096347,186,186
1543098278,185,185
1543100200,187,187
1543102129,181,181
1543104178,183,183
1543106527,180,180
1543108619,182,182
1543110510,182,182
1543112447,179,179
1543114359,176,176
1543116284,175,175
1543118198,173,173
1543120129,172,172
1543122127,175,175
1543123954,181,181
1543125886,185,185
1543128054,186,186
1543129977,188,188
1543131856,195,195
1543133796,197,197
1543135720,198,198
1543137647,199,199
1543139547,200,200
1543141498,201,201
1543143384,201,201
1543145566,202,202
1543147483,207,207
1543149381,211,211
1543151328,213,213
1543153225,211,211
1543155404,218,218
1543157313,213,213
1543159231,203,203
1543161178,201,201
1543163070,203,203
1543165007,209,209
1543166906,208,208
1543168916,207,207
1543170756,207,207
1543172696,209,209
1543174602,215,215
1543176527,220,220
1543178670,217,217
1543180594,221,221
1543182507,208,208
1543184429,208,208
1543186369,210,210
1543188259,216,216
1543190196,214,214
1543192096,215,215
1543193906,213,213
1543195724,213,213
1543197711,210,210
1543199588,212,212
1543201489,213,213
1543203395,215,215
1543205334,214,214
1543207293,215,215
1543209181,218,218
1543211086,214,214
1543213018,205,205
1543214910,206,206
1543217113,205,205
1543219004,202,202
1543221154,204,204
1543223072,204,204
1543224981,203,203
1543226920,202,202
1543228828,203,203
1543230655,209,209
