DateTime,AddedIPs,RemovedIPs
1542571171,96,8
1542572071,97,0
1542572918,173,1
1542574533,210,23
1542575673,226,8
1542577354,757,15
1542578737,328,21
1542580836,194,26
1542582866,40,21
1542584548,60,14
1542586481,17,6
1542588161,11,5
1542590069,292,4
1542591773,242,4
1542592956,99,3
1542594524,67,1
1542595371,21,1
1542596204,16,0
1542597348,2,4
1542598538,25,8
1542599700,22,5
1542600943,2,3
1542601728,21,1
1542603391,12,5
1542604477,2,9
1542606031,16,3
1542606990,4,2
1542608146,4,1
1542609651,10,8
1542611447,6,6
1542613360,12,9
1542614193,5,1
1542615289,2,6
1542616956,5,2
1542618646,10,9
1542620558,19,7
1542621389,7,3
1542622527,2,7
1542624159,16,7
1542626090,16,14
1542627756,15,9
1542628598,14,1
1542629734,20,5
1542630938,13,10
1542632137,11,3
1542633343,14,2
1542634121,5,0
1542635613,6,11
1542636873,8,4
1542638447,13,7
1542640191,11,14
1542641460,6,20
1542642946,13,6
1542644074,14,8
1542644914,6,1
1542646598,16,12
1542647665,9,9
1542648514,13,2
1542649346,12,10
1542651278,30,14
1542652112,7,0
1542653797,8,26
1542654868,2,15
1542656096,10,0
1542656548,2,0
1542657932,10,7
1542659730,10,8
1542660995,9,3
1542662143,6,5
1542662907,3,1
1542664598,12,11
1542665742,8,5
1542666509,3,0
1542667354,2,7
1542669045,3,12
1542670958,46,7
1542672338,36,10
1542673500,29,0
1542674786,27,7
1542676468,11,6
1542678162,7,19
1542680074,12,13
1542681757,33,11
1542683688,32,7
1542685071,19,8
1542686595,8,12
1542687268,9,1
1542688120,3,0
1542689731,4,4
1542690943,1,8
1542692549,1,6
1542693938,4,10
1542695317,6,0
1542696460,2,6
1542697747,2,7
1542698922,5,2
1542700591,5,13
1542701740,3,3
1542702925,4,3
1542704203,6,4
1542705343,7,2
1542706106,3,1
1542707428,6,14
1542708637,7,19
1542709717,7,1
1542712238,8,36
1542714149,7,22
1542714996,5,0
1542716079,6,15
1542718597,16,34
1542719685,13,12
1542721350,23,12
1542722753,18,10
1542723948,7,1
1542725796,9,4
1542726869,3,9
1542728555,13,7
1542730479,7,21
1542731319,6,0
1542732162,6,32
1542732985,2,0
1542734148,7,52
1542735336,10,73
1542736546,11,39
1542737742,13,13
1542739248,12,96
1542740186,9,96
1542741337,5,1
1542742954,15,210
1542744333,18,182
1542746135,9,398
1542747393,14,213
1542748544,7,432
1542749646,7,130
1542750984,3,0
1542752086,2,89
1542753752,5,38
1542754588,3,18
1542755741,10,17
1542757253,6,13
1542759273,5,4
1542760118,1,0
1542760946,0,814
1542762873,5,191
1542764548,8,92
1542765393,7,18
1542766483,10,30
1542767315,16,0
1542768989,14,42
1542770149,5,21
1542770907,4,0
1542771771,6,26
1542773680,6,14
1542774535,8,0
1542775986,13,18
1542777270,8,11
1542778108,3,0
1542778965,4,11
1542780872,3,10
1542782446,4,11
1542784253,4,6
1542785310,6,0
1542786529,4,10
1542787696,2,7
1542789346,2,20
1542790534,2,4
1542791676,1,10
1542792980,2,8
1542794131,4,2
1542795269,1,9
1542796117,2,0
1542797799,1,24
1542798890,1,10
1542799718,3,1
1542801399,6,29
1542802468,2,12
1542803318,3,0
1542804992,3,15
1542806084,4,8
1542807990,3,22
1542809136,1,5
1542810509,2,0
1542811835,2,10
1542813271,6,22
1542814454,4,14
1542815801,11,9
1542816877,4,11
1542818438,3,15
1542820242,4,24
1542821427,2,18
1542822637,2,5
1542823838,2,8
1542825616,7,4
1542826604,1,6
1542827686,3,10
1542828858,4,9
1542830741,2,13
1542832106,3,1
1542833793,4,5
1542834867,6,7
1542836135,2,2
1542837389,1,0
1542838478,8,4
1542839727,4,25
1542842102,11,53
1542842918,5,0
1542843749,3,43
1542844597,3,13
1542845744,3,13
1542846930,2,3
1542848137,3,0
1542849341,2,9
1542850948,5,23
1542852343,2,33
1542854558,0,22
1542855749,5,9
1542857464,12,11
1542858160,6,0
1542860068,8,2
1542861749,3,4
1542863679,2,5
1542865252,6,7
1542866746,5,5
1542868116,3,0
1542869800,16,8
1542870955,4,2
1542871712,1,0
1542873030,2,5
1542874496,2,8
1542875312,1,0
1542876171,1,8
1542877014,4,1
1542878079,1,7
1542879761,2,10
1542881143,3,9
1542882516,14,0
1542883362,8,2
1542884232,7,8
1542885340,11,6
1542886114,8,0
1542887730,4,11
1542888948,10,15
