DateTime,Entries,UniqueIPs
1542561061,875,875
1542562275,867,867
1542563650,870,870
1542564953,865,865
1542566157,857,857
1542566561,857,857
1542568490,853,853
1542569680,848,848
1542571185,846,846
1542572932,846,846
1542574552,845,845
1542575688,849,849
1542577368,840,840
1542578751,824,824
1542580851,804,804
1542582883,785,785
1542584563,774,774
1542586497,775,775
1542588175,770,770
1542590085,772,772
1542591859,776,776
1542593006,775,775
1542594540,777,777
1542595400,780,780
1542596218,781,781
1542597373,780,780
1542598561,774,774
1542599719,771,771
1542601807,771,771
1542603406,773,773
1542604493,770,770
1542606061,772,772
1542607005,773,773
1542608170,774,774
1542609676,770,770
1542611484,771,771
1542613375,774,774
1542615316,771,771
1542616972,773,773
1542618661,773,773
1542620573,775,775
1542621405,777,777
1542622564,772,772
1542624174,777,777
1542626105,777,777
1542627770,782,782
1542628613,794,794
1542629751,810,810
1542630957,814,814
1542632158,820,820
1542634136,829,829
1542635635,822,822
1542636896,825,825
1542638483,824,824
1542640220,821,821
1542641503,808,808
1542642961,808,808
1542644094,815,815
1542644929,817,817
1542646613,811,811
1542647680,811,811
1542648528,823,823
1542649360,821,821
1542651293,835,835
1542652127,838,838
1542653810,816,816
1542654887,802,802
1542656123,807,807
1542656562,809,809
1542657945,805,805
1542659744,805,805
1542661008,805,805
1542662922,808,808
1542664613,810,810
1542665758,811,811
1542666526,814,814
1542667367,807,807
1542669303,801,801
1542670973,842,842
1542672354,869,869
1542673518,898,898
1542674807,921,921
1542676483,923,923
1542678177,911,911
1542680089,910,910
1542681772,934,934
1542683704,960,960
1542685097,972,972
1542686639,969,969
1542687286,976,976
1542688135,979,979
1542689748,979,979
1542690960,972,972
1542692564,968,968
1542693954,962,962
1542695332,967,967
1542696477,966,966
1542697792,961,961
1542698939,964,964
1542700608,958,958
1542701765,958,958
1542703001,957,957
1542704220,959,959
1542705358,964,964
1542706121,966,966
1542707443,957,957
1542708658,945,945
1542709733,951,951
1542712254,924,924
1542714165,912,912
1542715011,916,916
1542716095,904,904
1542718612,886,886
1542719702,889,889
1542721365,904,904
1542722777,912,912
1542723963,918,918
1542725812,922,922
1542726886,918,918
1542728570,926,926
1542730494,924,924
1542731335,929,929
1542732176,928,928
1542733000,930,930
1542734188,931,931
1542735351,939,939
1542736560,950,950
1542737757,961,961
1542739264,968,968
1542740200,971,971
1542741356,975,975
1542742967,986,986
1542744348,999,999
1542746151,1001,1001
1542747407,1012,1012
1542748559,1018,1018
1542749664,1023,1023
1542750999,1026,1026
1542752101,1023,1023
1542753765,1027,1027
1542754602,1031,1031
1542755758,1039,1039
1542757267,1043,1043
1542758762,1044,1044
1542759288,1045,1045
1542760134,1046,1046
1542762888,1048,1048
1542764562,1052,1052
1542765407,1055,1055
1542766501,1063,1063
1542767331,1078,1078
1542769004,1089,1089
1542770176,1095,1095
1542770921,1098,1098
1542771787,1101,1101
1542773696,1104,1104
1542774602,1110,1110
1542776003,1121,1121
1542777287,1129,1129
1542778122,1132,1132
1542778980,1136,1136
1542780887,1138,1138
1542782462,1140,1140
1542784294,1142,1142
1542785326,1148,1148
1542786576,1148,1148
1542787725,1145,1145
1542789368,1137,1137
1542790553,1137,1137
1542791691,1133,1133
1542793016,1134,1134
1542794145,1138,1138
1542795284,1136,1136
1542796133,1137,1137
1542797849,1123,1123
1542798923,1113,1113
1542799734,1115,1115
1542801416,1095,1095
1542802484,1087,1087
1542803334,1089,1089
1542805009,1084,1084
1542806099,1082,1082
1542808005,1073,1073
1542809155,1069,1069
1542810526,1071,1071
1542811851,1067,1067
1542813286,1062,1062
1542814497,1055,1055
1542815816,1063,1063
1542816898,1060,1060
1542818456,1050,1050
1542820257,1038,1038
1542821461,1023,1023
1542822651,1023,1023
1542823853,1023,1023
1542825632,1027,1027
1542826617,1028,1028
1542827700,1025,1025
1542828881,1022,1022
1542830756,1019,1019
1542831296,1020,1020
1542832121,1020,1020
1542833808,1018,1018
1542834882,1017,1017
1542836149,1016,1016
1542837404,1017,1017
1542838493,1023,1023
1542839743,1003,1003
1542842152,963,963
1542842935,968,968
1542843765,928,928
1542844614,919,919
1542845761,910,910
1542846947,911,911
1542848153,914,914
1542849357,907,907
1542850964,890,890
1542852358,861,861
1542854573,839,839
1542855807,835,835
1542857515,838,838
1542858176,843,843
1542860084,850,850
1542861763,848,848
1542863697,847,847
1542865271,849,849
1542867282,851,851
1542868131,854,854
1542869818,851,851
1542871010,852,852
1542871730,853,853
1542873053,851,851
1542874512,847,847
1542876189,843,843
1542877031,845,845
1542878096,841,841
1542879776,836,836
1542881161,834,834
1542882531,847,847
1542883376,855,855
1542884246,858,858
1542885356,865,865
1542886130,873,873
1542887746,873,873
1542888970,870,870
1542890573,864,864
1542892484,849,849
1542893679,846,846
1542894820,852,852
1542896098,854,854
1542896932,859,859
1542897772,858,858
1542899686,867,867
1542900530,871,871
1542901771,868,868
1542903294,868,868
1542904971,871,871
1542906879,861,861
1542907729,865,865
1542909343,857,857
1542910521,846,846
1542912169,857,857
1542913006,865,865
1542914160,858,858
1542915342,863,863
1542917753,865,865
1542919255,863,863
1542921290,869,869
1542922129,870,870
1542922964,873,873
