DateTime,AddedIPs,RemovedIPs
1542562248,4,2
1542563641,7,3
1542564945,5,1
1542566149,4,1
1542566554,2,0
1542568482,7,5
1542569666,3,5
1542571178,8,2
1542572078,2,0
1542572924,3,0
1542574539,6,1
1542575680,4,3
1542577361,9,3
1542578744,7,4
1542580843,7,4
1542582874,5,1
1542584554,7,2
1542586489,11,4
1542588167,4,2
1542590077,7,3
1542591790,15,2
1542592967,11,7
1542594532,13,0
1542595386,4,4
1542596210,6,0
1542597356,3,6
1542598551,12,4
1542599710,11,0
1542600951,14,2
1542601735,5,0
1542603398,12,6
1542604484,8,3
1542606047,11,5
1542606997,3,2
1542608153,5,10
1542609657,13,4
1542611455,12,5
1542613367,4,6
1542614202,2,0
1542615298,7,3
1542616963,13,5
1542618653,13,0
1542620565,5,5
1542621396,7,3
1542622547,4,1
1542624165,6,3
1542626097,4,7
1542627762,11,2
1542628605,1,5
1542629744,3,1
1542630947,5,5
1542632149,1,3
1542633350,2,6
1542635626,4,5
1542636887,2,1
1542638455,5,5
1542640202,4,4
1542641471,4,9
1542642953,4,1
1542644086,0,2
1542644921,1,0
1542646605,10,2
1542647672,1,6
1542648520,0,4
1542649353,3,4
1542651284,0,99
1542653803,4,7
1542654873,1,8
1542656103,5,5
1542656554,1,0
1542657938,3,6
1542659736,2,6
1542661001,4,2
1542662149,1,0
1542662914,2,0
1542664605,0,6
1542665749,1,3
1542666518,5,0
1542667360,1,3
1542669053,3,3
1542670964,3,4
1542672344,2,2
1542673507,7,0
1542674798,5,9
1542676475,12,3
1542678170,11,7
1542680081,9,9
1542681763,14,15
1542683696,12,7
1542685078,11,6
1542686616,8,9
1542687278,7,1
1542688127,8,0
1542689739,10,7
1542690950,5,6
1542692556,10,5
1542693945,8,8
1542695324,7,0
1542696469,15,9
1542697768,9,3
1542698930,10,0
1542700599,13,7
1542701756,5,6
1542702979,6,4
1542704211,10,3
1542705350,9,7
1542706113,3,0
1542707435,6,9
1542708643,4,12
1542709724,7,0
1542712246,8,11
1542714157,2,6
1542715003,4,1
1542716086,3,5
1542718604,7,7
1542719693,5,1
1542721357,3,5
1542722759,5,5
1542723955,3,0
1542725803,6,3
1542726877,10,8
1542728562,14,4
1542730486,1,4
1542731326,1,0
1542732168,3,3
1542734156,0,8
1542735343,1,4
1542736552,2,5
1542737750,1,4
1542739257,2,6
1542740193,2,3
1542741347,4,6
1542742961,4,4
1542744340,3,4
1542746142,1,6
1542747399,2,3
1542748550,2,7
1542749653,3,7
1542750991,2,0
1542752093,1,3
1542753757,2,5
1542754594,2,1
1542755748,4,2
1542757259,2,2
1542759280,6,4
1542760126,7,0
1542760953,5,6
1542762880,9,11
1542764554,10,17
1542765400,4,2
1542766491,6,4
1542767323,5,0
1542768996,5,10
1542770157,16,8
1542770913,5,0
1542771778,1,10
1542773687,14,9
1542774541,5,0
1542775994,5,17
1542777279,8,6
1542778114,3,0
1542778972,3,11
1542780879,13,10
1542782453,11,9
1542784261,12,7
1542785318,6,1
1542786546,5,14
1542787717,4,12
1542789355,8,9
1542790543,6,2
1542791683,3,9
1542793004,5,5
1542794138,8,1
1542795276,5,4
1542796124,2,0
1542797842,4,8
1542798897,3,1
1542799726,3,0
1542801406,16,9
1542802475,1,3
1542803326,2,0
1542805000,6,4
1542806091,5,1
1542807996,4,7
1542809141,1,1
1542810517,6,0
1542811842,0,5
1542813278,1,5
1542814481,2,0
1542815808,4,0
1542816890,5,8
1542818448,3,0
1542820249,4,7
1542821441,3,0
1542822644,4,1
1542823845,5,4
1542825623,2,7
1542826610,1,1
1542827692,1,1
1542828871,1,2
1542830748,3,4
1542833800,5,3
1542834875,2,1
1542836141,0,5
1542838485,0,2
1542839734,2,1
1542842117,5,2
1542842926,2,0
1542843756,2,7
1542844604,3,2
1542845751,14,6
1542846938,5,10
1542848145,4,0
1542849347,6,7
1542850955,10,7
1542852350,4,8
1542854565,7,12
1542855764,2,9
1542857479,14,7
1542858168,3,0
1542860076,7,16
1542861755,6,11
1542863687,8,8
1542865259,7,9
1542866759,6,20
1542867274,3,0
1542868123,5,0
1542869808,11,14
1542870974,6,12
1542871721,4,0
1542873044,9,14
1542874504,8,10
1542875319,4,0
1542876180,6,12
1542877022,4,3
1542878087,2,7
1542879767,4,10
1542881150,6,8
1542882523,5,0
1542883368,2,4
1542884238,1,0
1542885347,2,4
1542886121,1,0
1542887737,7,8
1542888956,1,5
1542890564,3,4
1542892475,3,7
1542893663,1,2
1542894796,4,2
1542896078,4,3
1542896923,5,0
1542897764,1,23
1542899678,3,5
1542900522,2,0
1542901741,3,4
1542903287,1,2
1542904963,3,1
1542906872,6,5
1542907720,2,0
1542909335,0,2
1542910497,1,3
1542912161,6,2
1542914151,0,6
1542915334,1,1
1542917745,6,3
1542919247,2,6
1542921282,1,1
1542922121,2,0
1542922956,1,2
1542924347,1,2
1542927018,1,8
1542927392,1,0
1542928553,1,6
1542931017,4,7
1542932081,2,6
1542933641,7,4
1542934596,3,0
1542936518,7,11
1542937366,4,8
1542938753,13,9
1542940127,4,1
1542942335,12,22
1542943920,4,13
1542945240,17,0
1542947322,16,12
1542948177,5,10
1542948998,5,0
1542950095,3,10
1542951284,3,6
1542952555,4,3
1542954541,5,6
1542956157,7,5
1542957359,8,12
1542958684,9,10
1542959797,6,5
1542960956,9,7
1542962190,7,9
1542963343,11,1
1542964503,7,7
1542965750,10,6
1542966994,13,0
1542968153,12,5
1542969318,10,5
1542970546,7,12
1542971690,3,6
1542973355,5,4
1542974727,8,9
1542975936,4,1
1542977836,24,5
1542978876,4,4
1542979726,5,0
1542980562,0,2
1542981940,11,1
1542984156,5,2
1542985855,2,4
1542987059,3,3
1542989747,1,3
1542990936,1,2
1542991370,2,0
1542993285,5,3
1542994953,1,7
1542995809,1,0
1542996942,0,3
1542998573,13,1
1543000472,6,3
1543001927,5,0
1543003545,3,4
1543004911,3,0
1543006600,2,2
1543007745,3,4
1543008513,1,0
1543009833,5,3
1543011043,0,2
1543012444,1,2
1543012960,1,0
1543013794,1,0
1543014948,1,4
1543016915,5,16
1543018500,4,1
1543019735,7,6
1543020934,7,3
1543022145,7,2
1543022916,2,0
1543023762,7,6
1543025157,8,8
1543026335,4,0
1543027587,5,17
1543029064,11,4
1543030126,2,0
1543031817,8,8
1543032901,5,5
1543034460,6,10
1543036476,9,5
1543037334,5,0
1543038634,10,12
1543039804,5,16
1543043454,21,20
1543044659,7,10
1543045835,8,0
1543047055,9,11
1543048131,9,0
1543049737,11,9
1543050877,6,7
1543052557,7,9
1543053407,7,1
1543054485,13,1
1543055326,6,0
1543056650,4,4
1543058080,7,10
1543058913,1,0
1543060593,11,4
1543061671,5,4
1543062935,3,3
1543064133,6,2
1543065345,4,4
1543066118,2,0
1543066963,1,2
1543067793,3,1
1543068887,6,2
1543069719,1,0
1543071332,4,6
1543072546,1,0
1543073739,1,1
1543074842,0,1
1543076140,1,3
1543077580,2,3
1543078611,1,0
1543079749,2,1
1543080529,3,0
1543082132,5,1
1543083278,4,3
1543084124,2,0
1543085795,3,1
1543086958,1,5
1543088144,3,2
1543089944,1,1
1543092771,8,2
1543094146,2,0
1543095648,1,3
1543097146,1,3
1543101290,4,5
1543102556,4,7
1543103810,2,1
1543104884,3,3
1543106456,7,3
1543107416,4,0
1543108551,7,12
1543109331,3,0
1543110648,5,9
1543112074,4,7
1543112933,4,0
1543113753,2,5
1543114607,6,14
1543115755,3,4
1543117372,6,14
1543119292,7,10
1543120114,3,0
1543121798,6,10
1543122887,1,3
1543124555,7,8
1543125956,8,12
1543127328,7,0
1543128511,5,13
1543129738,4,10
1543131167,6,13
1543131759,5,0
1543133693,8,11
1543134523,6,0
1543135356,2,16
1543137334,7,17
1543138125,5,0
1543140122,11,29
1543141247,6,0
1543141730,1,0
1543142935,3,6
1543144250,3,6
1543145321,1,0
1543146160,3,6
1543146992,4,2
1543148145,3,7
1543149755,2,5
1543151440,1,9
1543152659,4,4
1543153841,0,1
1543155283,2,2
1543156969,4,3
1543158650,3,1
1543160553,1,3
1543161409,3,0
1543162480,1,1
1543164168,3,5
1543165844,3,2
1543167638,3,4
1543169670,4,35
1543170875,2,4
1543173042,14,6
1543174129,2,0
1543174960,0,6
1543175815,1,0
1543176947,1,3
1543178103,1,0
1543180236,3,5
1543181654,1,2
1543184145,1,1
1543185651,2,1
1543187699,2,4
1543188897,1,9
1543190205,5,6
1543191292,1,4
1543192854,2,13
1543194953,13,15
1543197783,19,13
1543200051,16,5
1543200997,8,3
1543202150,9,6
1543203612,18,7
1543204608,3,0
1543205758,7,11
1543206530,1,0
1543207835,11,11
1543209055,7,9
1543210136,8,0
1543211336,3,14
1543211802,4,0
1543213717,11,11
1543214590,4,14
1543215406,2,0
1543216486,6,9
1543218056,9,20
1543220099,10,12
1543220939,6,0
1543221767,8,7
1543223697,13,11
1543224537,3,0
1543225384,3,12
1543226753,7,8
1543228248,5,6
1543228971,2,0
1543229797,3,3
1543230896,4,6
