DateTime,Entries,UniqueIPs
1542591731,38686,38686
1542592899,38708,38708
1542594487,38863,38863
1542595331,38828,38828
1542596168,38884,38884
1542597317,38832,38832
1542598508,38800,38800
1542599680,38839,38839
1542600907,38836,38836
1542601688,38900,38900
1542603367,38971,38971
1542604447,38875,38875
1542605996,38830,38830
1542606967,38829,38829
1542608108,38782,38782
1542609616,38769,38769
1542611408,38778,38778
1542613327,38801,38801
1542614168,38872,38872
1542615247,38768,38768
1542616928,38758,38758
1542618607,38777,38777
1542620529,38771,38771
1542621368,38782,38782
1542622487,38794,38794
1542624128,38775,38775
1542626048,38779,38779
1542627729,38785,38785
1542628567,38792,38792
1542630008,38808,38808
1542631217,38777,38777
1542632588,38723,38723
1542634087,38810,38810
1542635581,38738,38738
1542636847,38750,38750
1542638416,38723,38723
1542640157,38712,38712
1542641424,38691,38691
1542642907,38797,38797
1542644047,38812,38812
1542644887,38849,38849
1542647647,38741,38741
1542648487,38804,38804
1542649327,38762,38762
1542651255,38179,38179
1542652087,38259,38259
1542653767,37583,37583
1542654846,37386,37386
1542656065,37356,37356
1542656527,37373,37373
1542657909,37333,37333
1542659709,37320,37320
1542660968,37331,37331
1542662108,37311,37311
1542662887,37354,37354
1542664566,37313,37313
1542665715,37295,37295
1542666487,37333,37333
1542667327,37307,37307
1542669015,37321,37321
1542670928,37229,37229
1542672310,37179,37179
1542673474,37248,37248
1542674708,37251,37251
1542676447,37254,37254
1542678128,37227,37227
1542680046,37191,37191
1542681727,37192,37192
1542683658,37186,37186
1542685048,37175,37175
1542686489,37135,37135
1542687247,37219,37219
1542688090,37270,37270
1542689708,37257,37257
1542690909,37200,37200
1542692527,37170,37170
1542693908,37158,37158
1542695287,37217,37217
1542696425,37147,37147
1542697698,37164,37164
1542698888,37245,37245
1542700567,37325,37325
1542701708,37412,37412
1542702898,37434,37434
1542704169,37492,37492
1542705308,37453,37453
1542706087,37508,37508
1542707407,37415,37415
1542708608,37068,37068
1542709687,37164,37164
1542712214,36838,36838
1542714127,36729,36729
1542714968,36789,36789
1542716048,36570,36570
1542718568,36325,36325
1542719657,36219,36219
1542721327,35987,35987
1542722713,35700,35700
1542723914,35760,35760
1542725768,35484,35484
1542726847,35172,35172
1542728528,35137,35137
1542730448,34669,34669
1542731287,34727,34727
1542732127,34229,34229
1542732967,34287,34287
1542734108,33694,33694
1542735315,33227,33227
1542736514,33222,33222
1542737714,33208,33208
1542739207,33080,33080
1542740167,32981,32981
1542741308,32963,32963
1542742927,32723,32723
1542744308,32539,32539
1542746107,32102,32102
1542747367,31937,31937
1542748514,31507,31507
1542749627,31368,31368
1542750966,31545,31545
1542752047,31393,31393
1542753727,31407,31407
1542754568,31417,31417
1542756017,31429,31429
1542757207,31320,31320
1542758707,31318,31318
1542759248,31331,31331
1542760087,31381,31381
1542760927,30537,30537
1542762847,30320,30320
1542764527,30254,30254
1542765367,30269,30269
1542766456,30287,30287
1542767287,30334,30334
