DateTime,AddedIPs,RemovedIPs
1542591782,11,72
1542592964,31,93
1542594530,26,11
1542595376,7,28
1542596209,19,8
1542597354,15,43
1542598549,21,68
1542599707,19,26
1542600949,25,28
1542601733,21,1
1542603396,77,38
1542604482,21,85
1542606043,16,82
1542606995,10,27
1542608152,7,33
1542609656,26,43
1542611454,49,33
1542613366,67,35
1542614200,35,2
1542615296,27,120
1542616961,45,45
1542618652,54,28
1542620564,37,22
1542621394,10,6
1542622542,19,14
1542624164,16,27
1542626096,39,42
1542627761,43,17
1542628604,15,17
1542629740,26,38
1542630945,17,23
1542632148,19,17
1542633349,9,47
1542634127,17,4
1542635624,29,66
1542636879,30,22
1542638453,14,26
1542640198,31,33
1542641467,22,17
1542642952,70,11
1542644080,18,23
1542644920,16,4
1542646603,19,49
1542647671,18,114
1542648519,28,0
1542649352,24,37
1542651283,42,53
1542652117,47,3
1542653801,52,60
1542654872,24,41
1542656101,23,50
1542656553,1,1
1542657937,14,40
1542659734,24,23
1542661000,24,39
1542662148,27,49
1542662913,26,4
1542664604,53,66
1542665747,16,34
1542666517,13,1
1542667358,16,16
1542669051,21,16
1542670963,14,122
1542672343,11,33
1542673506,12,3
1542674796,23,31
1542676474,18,22
1542678168,24,35
1542680080,16,66
1542681762,29,44
1542683694,24,45
1542685076,28,42
1542686607,32,22
1542687275,47,5
1542688125,10,6
1542689737,16,20
1542690949,20,39
1542692554,21,36
1542693943,44,37
1542695323,23,8
1542696466,23,43
1542697757,19,20
1542698928,22,8
1542700597,36,56
1542701754,59,10
1542702937,37,44
1542704209,33,12
1542705349,60,33
1542706111,16,2
1542707433,7,26
1542708642,25,86
1542709722,29,8
1542712244,73,59
1542714156,56,40
1542715002,25,1
1542716085,25,34
1542718603,63,33
1542719691,28,20
1542721355,35,29
1542722758,48,29
1542723953,18,5
1542725802,50,41
1542726876,30,32
1542728561,379,38
1542730484,54,33
1542731324,18,6
1542732167,23,24
1542732990,14,4
1542734154,17,54
1542735341,46,28
1542736551,19,22
1542737748,17,23
1542739253,22,47
1542740191,12,40
1542741345,16,37
1542742959,21,63
1542744337,18,58
1542746141,18,65
1542747398,30,17
1542748548,13,33
1542749652,13,37
1542750989,105,5
1542752091,39,71
1542753756,56,19
1542754592,27,13
1542755746,22,18
1542757258,17,88
1542759278,16,20
1542760124,24,3
1542760951,26,15
1542762879,20,41
1542764552,41,28
1542765398,34,4
1542766490,34,22
1542767321,8,5
1542768994,19,32
1542770155,22,20
1542770912,7,6
1542771776,15,37
1542773686,65,72
1542774540,2,2
1542775992,13,26
1542777275,30,18
1542778113,19,2
1542778971,14,15
1542780878,27,28
1542782452,20,59
1542784259,19,83
1542785316,17,1
1542786538,19,49
1542787710,23,50
1542789353,19,29
1542790541,14,11
1542791681,24,18
1542792995,27,14
1542794136,22,12
1542795275,28,18
1542796123,40,3
1542797805,118,65
1542798895,20,16
1542799724,10,5
1542801405,42,44
1542802474,40,17
1542803324,10,7
1542804998,40,41
1542806090,32,22
1542807994,34,29
1542809140,45,18
1542810515,20,5
1542811841,31,33
1542813277,19,59
1542814469,10,22
1542815807,16,10
1542816882,17,18
1542818447,82,37
1542820247,41,49
1542821438,17,51
1542822642,68,13
1542823844,25,56
1542825621,22,49
1542826609,17,4
1542827690,12,16
1542828868,24,30
1542830746,18,32
1542831281,13,1
1542832111,11,8
1542833799,29,70
1542834873,17,31
1542836140,11,25
1542837394,11,6
1542838483,8,35
1542839733,13,15
1542842122,35,9
1542842924,13,1
1542843755,5,19
1542844603,5,11
1542845749,20,20
1542846936,14,17
1542848143,28,7
1542849346,61,19
1542850954,39,30
1542852349,26,15
1542854564,62,49
1542855760,29,29
1542857476,11,56
1542858166,9,3
1542860074,62,20
1542861754,23,28
1542863685,20,30
1542865258,58,26
1542866758,35,39
1542867273,3,2
1542868121,23,4
1542869807,22,31
1542870962,34,35
1542871719,16,3
1542873036,59,65
1542874503,30,48
1542875318,7,5
1542876178,10,63
1542877021,18,5
1542878085,21,12
1542879765,21,40
1542881148,17,70
1542882521,22,8
1542883367,9,33
1542884237,10,23
1542885345,43,44
1542886120,26,5
1542887736,17,44
1542888954,13,48
1542890563,31,37
1542892474,26,60
1542893658,15,24
1542894786,11,26
1542896076,52,29
1542896921,4,5
1542897762,7,170
1542899676,60,133
1542900521,21,4
1542901734,15,62
1542903285,37,19
1542904962,23,57
1542906871,29,36
1542907719,16,3
1542909334,35,23
1542910496,21,33
1542912159,38,26
1542912998,30,8
1542914149,38,22
1542915333,21,18
1542917744,55,30
1542919245,18,20
1542921280,27,56
1542922120,8,7
1542922954,17,87
1542924345,12,59
1542925720,43,8
1542927016,16,34
1542927391,10,1
1542928552,24,15
1542929316,9,2
1542931015,31,39
1542932080,23,11
1542933639,20,37
1542934594,17,4
1542936517,81,67
1542937364,29,43
1542938752,49,27
1542940125,39,5
1542942333,20,43
1542943909,31,51
1542945238,24,4
1542947320,31,25
1542948176,9,56
1542948996,12,15
1542950093,10,17
1542951273,8,20
1542952554,16,7
1542954539,34,18
1542956155,18,30
1542957357,26,33
1542958680,19,28
1542959796,17,3
1542960954,29,29
1542962178,27,34
1542963340,19,12
1542964501,15,32
1542965748,15,46
1542966992,31,8
1542968151,48,92
1542969310,17,24
1542970544,54,14
1542971688,26,46
1542973354,26,43
1542974730,30,27
1542975934,28,11
1542977824,264,71
1542978875,167,53
1542979724,13,11
1542980560,17,42
1542981939,50,46
1542984154,24,37
1542985853,57,27
1542987056,15,47
1542987753,19,5
1542988602,37,7
1542989746,37,67
1542990935,37,32
1542991368,12,0
1542993284,53,90
1542994952,27,34
1542995807,27,7
1542996941,20,17
1542998571,58,26
1543000471,65,40
1543001925,38,29
1543003544,89,33
1543004910,15,10
1543006599,31,20
1543007744,19,16
1543008511,16,3
1543009831,22,18
1543011041,27,27
1543011281,7,1
1543012443,56,31
1543012958,7,2
1543013793,21,8
1543014946,8,13
1543015719,21,2
1543016900,13,30
1543018498,56,27
1543019733,42,61
1543020933,15,21
1543022144,14,25
1543022915,11,15
1543023761,34,56
1543025155,18,44
1543026334,18,11
1543027586,22,30
1543029062,20,28
