DateTime,AddedIPs,RemovedIPs
1542590067,44,82
1542591763,46,96
1542592950,36,134
1542594517,59,4
1542595362,13,59
1542596196,30,2
1542597343,28,76
1542598530,47,98
1542599698,41,35
1542600938,39,55
1542601725,31,0
1542603388,101,69
1542604475,30,113
1542606034,35,100
1542606987,22,32
1542608139,20,62
1542609648,60,89
1542611439,80,69
1542613357,93,81
1542614190,51,2
1542615287,53,153
1542616954,71,82
1542618643,89,74
1542620555,59,48
1542621386,25,16
1542622520,51,44
1542624156,44,69
1542626082,72,84
1542627753,82,81
1542628596,47,29
1542629729,58,67
1542630930,44,61
1542632130,41,24
1542633338,49,66
1542634118,39,2
1542635609,53,111
1542636867,52,43
1542638445,43,66
1542640186,61,71
1542641458,51,50
1542642936,100,18
1542644072,41,33
1542644912,25,2
1542646595,50,64
1542647663,45,153
1542648511,50,1
1542649343,37,74
1542651275,98,593
1542652105,66,0
1542653794,81,703
1542654865,48,226
1542656088,48,70
1542656545,9,1
1542657930,29,64
1542659727,50,56
1542660993,37,48
1542662136,44,65
1542662905,31,1
1542664596,76,106
1542665738,41,57
1542666504,25,0
1542667352,23,32
1542669043,58,40
1542670955,42,159
1542672335,28,98
1542673498,26,1
1542674779,37,75
1542676465,43,45
1542678159,45,56
1542680072,53,94
1542681754,51,71
1542683685,49,92
1542685068,50,72
1542686583,45,60
1542687265,64,3
1542688118,31,1
1542689728,31,50
1542690938,33,76
1542692546,32,65
1542693934,67,59
1542695314,37,2
1542696452,47,85
1542697742,41,39
1542698919,35,0
1542700588,66,113
1542701732,94,104
1542702922,59,133
1542704200,39,52
1542705336,84,147
1542706104,31,1
1542707425,49,134
1542708634,45,262
1542709713,64,1
1542712236,140,451
1542714146,105,209
1542714987,48,0
1542716077,72,271
1542718595,115,338
1542719683,58,177
1542721347,71,302
1542722751,72,378
1542723945,45,0
1542725793,78,380
1542726866,40,342
1542728553,416,450
1542730477,84,544
1542731316,29,3
1542732159,27,495
1542732983,34,2
1542734139,22,552
1542735333,67,457
1542736544,47,30
1542737740,35,44
1542739239,54,81
1542740183,36,55
1542741333,40,65
1542742952,53,99
1542744331,39,80
1542746132,46,95
1542747391,55,22
1542748541,45,53
1542749644,52,67
1542750981,153,4
1542752075,55,106
1542753749,89,45
1542754586,40,20
1542755733,43,39
1542757251,45,114
1542759271,48,40
1542760115,41,7
1542760944,36,53
1542762872,49,75
1542764545,80,60
1542765390,47,15
1542766481,50,43
1542767313,22,3
1542768986,48,66
1542770140,39,43
1542770905,15,1
1542771768,34,67
1542773677,113,103
1542774527,14,3
1542775983,33,49
1542777267,44,51
1542778105,28,2
1542778962,29,43
1542780870,54,59
1542782443,41,83
1542784250,49,123
1542785308,30,3
1542786526,47,94
1542787683,43,72
1542789342,74,56
1542790531,50,20
1542791673,46,35
1542792978,46,57
1542794128,39,20
1542795266,46,38
1542796107,48,0
1542797796,169,117
1542798887,40,49
1542799716,31,5
1542801396,80,101
1542802466,62,53
1542803315,34,4
1542804989,106,108
1542806082,66,52
1542807984,69,75
1542809133,55,46
1542810507,49,3
1542811832,49,71
1542813268,38,95
1542814451,22,63
1542815798,30,26
1542816875,37,35
1542818432,100,79
1542820240,67,109
1542821421,37,107
1542822634,74,35
1542823836,36,74
1542825614,55,100
1542826601,20,25
1542827678,35,35
1542828848,44,53
1542830738,45,59
1542831273,17,2
