DateTime,Entries,UniqueIPs
1542590067,30284,30284
1542591763,30234,30234
1542592950,30136,30136
1542594517,30191,30191
1542595362,30145,30145
1542596196,30173,30173
1542597343,30125,30125
1542598530,30074,30074
1542599698,30080,30080
1542600938,30064,30064
1542601725,30095,30095
1542603388,30127,30127
1542604475,30044,30044
1542606034,29979,29979
1542606987,29969,29969
1542608139,29927,29927
1542609648,29898,29898
1542611439,29909,29909
1542613357,29921,29921
1542614190,29970,29970
1542615287,29870,29870
1542616954,29859,29859
1542618643,29874,29874
1542620555,29885,29885
1542621386,29894,29894
1542622520,29901,29901
1542624156,29876,29876
1542626082,29864,29864
1542627753,29865,29865
1542628596,29883,29883
1542629729,29874,29874
1542630930,29857,29857
1542632130,29874,29874
1542633338,29857,29857
1542634118,29894,29894
1542635609,29836,29836
1542636867,29845,29845
1542638445,29822,29822
1542640186,29812,29812
1542641458,29813,29813
1542642936,29895,29895
1542644072,29903,29903
1542644912,29926,29926
1542646595,29912,29912
1542647663,29804,29804
1542648511,29853,29853
1542649343,29816,29816
1542651275,29321,29321
1542652105,29387,29387
1542653794,28765,28765
1542654865,28587,28587
1542656088,28565,28565
1542656545,28573,28573
1542657930,28538,28538
1542659727,28532,28532
1542660993,28521,28521
1542662136,28500,28500
1542662905,28530,28530
1542664596,28500,28500
1542665738,28484,28484
1542666504,28509,28509
1542667352,28500,28500
1542669043,28518,28518
1542670955,28401,28401
1542672335,28331,28331
1542673498,28356,28356
1542674779,28318,28318
1542676465,28316,28316
1542678159,28305,28305
1542680072,28264,28264
1542681754,28244,28244
1542683685,28201,28201
1542685068,28179,28179
1542686583,28164,28164
1542687265,28225,28225
1542688118,28255,28255
1542689728,28236,28236
1542690938,28193,28193
1542692546,28160,28160
1542693934,28168,28168
1542695314,28203,28203
1542696452,28165,28165
1542697742,28167,28167
1542698919,28202,28202
1542700588,28155,28155
1542701732,28145,28145
1542702922,28071,28071
1542704200,28058,28058
1542705336,27995,27995
1542706104,28025,28025
1542707425,27940,27940
1542708634,27723,27723
1542709713,27786,27786
1542712236,27475,27475
1542714146,27371,27371
1542714987,27419,27419
1542716077,27220,27220
1542718595,26997,26997
1542719683,26878,26878
1542721347,26647,26647
1542722751,26341,26341
1542723945,26386,26386
1542725793,26084,26084
1542726866,25782,25782
1542728553,25748,25748
1542730477,25288,25288
1542731316,25314,25314
1542732159,24846,24846
1542732983,24878,24878
1542734139,24348,24348
1542735333,23958,23958
1542736544,23975,23975
1542737740,23966,23966
1542739239,23939,23939
1542740183,23920,23920
1542741333,23895,23895
1542742952,23849,23849
1542744331,23808,23808
1542746132,23759,23759
1542747391,23792,23792
1542748541,23784,23784
1542749644,23769,23769
1542750981,23918,23918
1542752075,23867,23867
1542753749,23911,23911
1542754586,23931,23931
1542755733,23935,23935
1542757251,23866,23866
1542759271,23874,23874
1542760115,23908,23908
1542760944,23891,23891
1542762872,23865,23865
1542764545,23885,23885
1542765390,23917,23917
1542766481,23924,23924
1542767313,23943,23943
1542768986,23925,23925
1542770140,23921,23921
1542770905,23935,23935
1542771768,23902,23902
1542773677,23912,23912
1542774527,23923,23923
1542775983,23907,23907
1542777267,23900,23900
1542778105,23926,23926
1542778962,23912,23912
1542780870,23907,23907
1542782443,23865,23865
1542784250,23791,23791
1542785308,23818,23818
1542786526,23771,23771
1542787683,23742,23742
1542789342,23760,23760
1542790531,23790,23790
1542791673,23801,23801
1542792978,23790,23790
1542794128,23809,23809
1542795266,23817,23817
1542796107,23865,23865
1542797796,23917,23917
1542798887,23908,23908
1542799716,23934,23934
1542801396,23913,23913
1542802466,23922,23922
1542803315,23952,23952
1542804989,23950,23950
1542806082,23964,23964
1542807984,23958,23958
1542809133,23967,23967
1542810507,24013,24013
1542811832,23991,23991
1542813268,23934,23934
1542814451,23893,23893
1542815798,23897,23897
1542816875,23899,23899
1542818432,23920,23920
1542820240,23878,23878
1542821421,23808,23808
1542822634,23847,23847
