DateTime,Entries,UniqueIPs
1542590061,3534,3534
1542591747,3537,3537
1542592923,3561,3561
1542594503,3577,3577
1542595351,3569,3569
1542596183,3574,3574
1542597335,3575,3575
1542598523,3571,3571
1542599692,3576,3576
1542600922,3578,3578
1542601709,3585,3585
1542603382,3611,3611
1542604461,3600,3600
1542606018,3606,3606
1542606981,3609,3609
1542608123,3606,3606
1542609631,3610,3610
1542611423,3601,3601
1542613345,3614,3614
1542614184,3628,3628
1542615272,3624,3624
1542616944,3614,3614
1542618628,3604,3604
1542620541,3575,3575
1542621380,3570,3570
1542622513,3578,3578
1542624144,3572,3572
1542626068,3585,3585
1542627743,3572,3572
1542628585,3553,3553
1542629714,3543,3543
1542630915,3530,3530
1542632123,3531,3531
1542633322,3515,3515
1542634102,3520,3520
1542635594,3509,3509
1542636860,3507,3507
1542638432,3498,3498
1542640173,3498,3498
1542641445,3499,3499
1542642922,3511,3511
1542644061,3514,3514
1542644906,3521,3521
1542646583,3545,3545
1542647657,3535,3535
1542648501,3538,3538
1542649338,3533,3533
1542651269,3529,3529
1542652100,3535,3535
1542653781,3503,3503
1542654858,3496,3496
1542656077,3482,3482
1542656540,3488,3488
1542657924,3481,3481
1542659721,3476,3476
1542660982,3484,3484
1542662122,3483,3483
1542662899,3491,3491
1542664586,3488,3488
1542665730,3484,3484
1542666498,3486,3486
1542667342,3482,3482
1542669032,3489,3489
1542670944,3474,3474
1542672324,3463,3463
1542673492,3473,3473
1542674766,3471,3471
1542676459,3489,3489
1542678148,3483,3483
1542680060,3486,3486
1542681743,3488,3488
1542683674,3495,3495
1542685062,3489,3489
1542686549,3470,3470
1542687260,3478,3478
1542688105,3488,3488
1542689721,3492,3492
1542690925,3486,3486
1542692540,3489,3489
1542693923,3476,3476
1542695300,3488,3488
1542696439,3453,3453
1542697729,3472,3472
1542698905,3499,3499
1542700582,3629,3629
1542701726,3727,3727
1542702914,3820,3820
1542704187,3884,3884
1542705321,3899,3899
1542706098,3920,3920
1542707419,3923,3923
1542708624,3814,3814
1542709703,3832,3832
1542712230,3844,3844
1542714140,3858,3858
1542714980,3862,3862
1542716064,3856,3856
1542718584,3852,3852
1542719672,3857,3857
1542721341,3849,3849
1542722735,3862,3862
1542723934,3869,3869
1542725783,3883,3883
1542726860,3879,3879
1542728543,3871,3871
1542730463,3882,3882
1542731307,3907,3907
1542732148,3902,3902
1542732978,3925,3925
1542734124,3916,3916
1542735328,3908,3908
1542736534,3917,3917
1542737728,3913,3913
1542739225,3902,3902
1542740178,3909,3909
1542741322,3914,3914
1542742941,3918,3918
1542744321,3934,3934
1542746122,3939,3939
1542747380,3939,3939
1542748529,3946,3946
1542749637,3944,3944
1542750977,3969,3969
1542752061,3956,3956
1542753739,3957,3957
1542754581,3959,3959
1542755717,3958,3958
1542757228,3940,3940
1542759262,3940,3940
1542760104,3949,3949
1542760938,3936,3936
1542762862,3932,3932
1542764539,3933,3933
1542765380,3926,3926
1542766471,3956,3956
1542767303,3961,3961
1542768980,3946,3946
1542770124,3961,3961
1542770900,3966,3966
1542771761,3950,3950
1542773664,3933,3933
1542774511,3943,3943
1542775977,3938,3938
1542777261,3936,3936
1542778099,3944,3944
1542778947,3932,3932
1542780859,3934,3934
1542782433,3931,3931
1542784236,3914,3914
1542785302,3923,3923
1542786509,3901,3901
1542787677,3906,3906
1542789335,3896,3896
1542790524,3894,3894
1542791663,3892,3892
1542792966,3865,3865
1542794121,3870,3870
1542795260,3866,3866
1542796101,3869,3869
1542797784,3853,3853
1542798866,3850,3850
1542799705,3856,3856
1542801385,3837,3837
1542802459,3824,3824
1542803301,3830,3830
1542804984,3813,3813
1542806069,3807,3807
1542807973,3803,3803
1542809121,3803,3803
1542810500,3818,3818
1542811827,3814,3814
1542813263,3807,3807
1542814435,3810,3810
1542815783,3815,3815
1542816863,3784,3784
1542818427,3788,3788
1542820230,3799,3799
1542821415,3795,3795
1542822624,3797,3797
1542823826,3791,3791
1542825609,3821,3821
1542826595,3846,3846
1542827665,3884,3884
1542828853,3895,3895
1542830724,3915,3915
1542831262,3948,3948
1542832098,4045,4045
1542833784,4089,4089
1542834860,4089,4089
1542836122,4087,4087
1542837381,4110,4110
1542838469,4097,4097
1542839720,4095,4095
1542842093,4109,4109
1542842904,4117,4117
1542843740,4100,4100
1542844583,4105,4105
1542845727,4089,4089
1542846922,4085,4085
1542848124,4096,4096
1542849323,4097,4097
1542850940,4086,4086
1542852323,4086,4086
1542854549,4101,4101
1542855727,4106,4106
1542857444,4103,4103
1542858151,4108,4108
1542860058,4104,4104
1542861739,4113,4113
1542863664,4119,4119
1542865235,4111,4111
1542866727,4091,4091
1542867260,4095,4095
1542868103,4099,4099
1542869782,4061,4061
1542870942,4061,4061
1542871703,4068,4068
1542873021,4049,4049
1542874471,4043,4043
1542875303,4054,4054
1542876152,4043,4043
1542876996,4045,4045
1542878071,4046,4046
1542879743,4050,4050
1542881125,4036,4036
1542882502,4074,4074
1542883346,4058,4058
1542884183,4059,4059
1542885322,4051,4051
1542886099,4060,4060
1542887721,4051,4051
1542888934,4053,4053
1542890541,4046,4046
1542892460,3967,3967
1542893634,3974,3974
1542894772,3989,3989
1542896059,3985,3985
1542896901,3996,3996
1542897743,3995,3995
1542899662,3992,3992
1542900501,4002,4002
1542901708,3991,3991
1542903262,3998,3998
1542904942,3994,3994
1542906858,4110,4110
1542907701,4208,4208
1542909320,4257,4257
1542910482,4260,4260
1542912145,4254,4254
1542912981,4263,4263
1542914132,4259,4259
1542915319,4263,4263
1542917721,4274,4274
1542919226,4266,4266
1542921268,4268,4268
1542922101,4269,4269
1542922941,4260,4260
1542924322,4257,4257
1542925700,4279,4279
1542927002,4286,4286
1542927378,4289,4289
1542928532,4286,4286
1542929302,4295,4295
1542930985,4295,4295
1542932061,4295,4295
1542933622,4291,4291
1542934581,4303,4303
1542936500,4306,4306
1542937345,4271,4271
1542938732,4269,4269
1542940111,4284,4284
1542942287,4259,4259
1542943877,4281,4281
1542945223,4302,4302
1542946523,4297,4297
1542947300,4311,4311
1542948144,4301,4301
1542948981,4298,4298
1542950069,4302,4302
1542951245,4290,4290
1542952531,4298,4298
1542953735,4292,4292
1542954524,4296,4296
1542956140,4297,4297
1542957334,4292,4292
1542958645,4298,4298
1542959781,4343,4343
1542960926,4397,4397
1542962150,4403,4403
1542963324,4408,4408
1542964471,4401,4401
