DateTime,Entries,UniqueIPs
1542157467,6331,6438
1542159367,6340,6447
1542161305,6332,6438
1542163455,6328,6434
1542165376,6331,6437
1542167292,6332,6439
1542169208,6323,6430
1542171160,6324,6431
1542173052,6321,6429
1542174973,6317,6424
1542176890,6322,6429
1542178817,6320,6426
1542180750,6339,6445
1542182917,6331,6435
1542185057,6337,6441
1542186985,6338,6443
1542189132,6327,6431
1542191067,6324,6428
1542192987,6333,6437
1542194888,6338,6442
1542196850,6338,6442
1542198766,6334,6437
1542200653,6338,6441
1542202569,6336,6439
1542204493,6354,6457
1542206413,6361,6464
1542208341,6363,6466
1542210254,6368,6470
1542212434,6376,6478
1542214369,6382,6484
1542216507,6391,6493
1542218438,6389,6493
1542220337,6387,6492
1542222273,6385,6490
1542224192,6386,6492
1542226118,6388,6492
1542228029,6386,6490
1542229940,6397,6501
1542233785,6385,6488
1542235971,6381,6484
1542238356,6364,6467
1542240261,6372,6475
1542242198,6372,6475
1542244117,6369,6472
1542246027,6360,6464
1542247939,6362,6466
1542250112,6361,6465
1542252030,6361,6464
1542254192,6354,6457
1542256105,6370,6473
1542258038,6373,6476
1542259943,6365,6468
1542261877,6361,6464
1542263783,6348,6451
1542265718,6340,6443
1542269542,6305,6409
1542271713,6305,6409
1542273634,6292,6396
1542275546,6297,6401
1542277451,6286,6390
1542279414,6299,6404
1542281288,6327,6432
1542283271,6322,6428
1542285140,6331,6438
1542287073,6333,6440
1542288970,6357,6464
1542291151,6354,6461
1542293066,6362,6469
1542294983,6376,6483
1542296920,6349,6455
1542299230,6356,6463
1542301251,6366,6473
1542303398,6357,6465
1542305539,6359,6467
1542307491,6370,6479
1542309382,6371,6480
1542311298,6385,6494
1542313208,6386,6495
1542315148,6387,6496
1542317049,6391,6497
1542318983,6384,6491
1542320896,6394,6500
1542323074,6405,6511
1542324980,6404,6511
1542326911,6409,6515
1542328827,6405,6511
1542330756,6406,6515
1542334584,6396,6506
1542336512,6406,6516
1542338433,6420,6530
1542340336,6416,6527
1542342256,6421,6532
1542344174,6421,6532
1542346355,6420,6532
1542348280,6419,6531
1542350173,6409,6524
1542352182,6397,6511
1542354035,6391,6505
1542355942,6383,6497
1542358097,6373,6488
1542360271,6367,6482
1542362188,6376,6491
1542364112,6381,6496
1542366036,6383,6498
1542367954,6380,6495
1542369880,6362,6477
1542371787,6361,6476
1542373714,6352,6467
1542375612,6350,6465
1542377555,6350,6467
1542379473,6343,6461
1542381382,6345,6463
1542383534,6349,6467
1542385470,6352,6470
1542387389,6346,6465
1542389289,6343,6462
1542391241,6339,6458
1542393159,6341,6460
1542395072,6345,6465
1542396971,6368,6489
1542400836,6344,6464
1542402741,6350,6473
1542404677,6350,6474
1542406660,6355,6479
1542408495,6357,6481
1542410429,6349,6472
1542412841,6352,6475
1542414780,6349,6472
1542416681,6349,6471
1542418587,6355,6477
1542420517,6342,6464
1542422439,6365,6488
1542424343,6361,6484
1542426258,6352,6474
1542428199,6348,6470
1542430107,6344,6465
1542432029,6344,6465
1542433938,6345,6466
1542437795,6329,6449
1542439711,6337,6457
1542441619,6340,6460
1542443552,6336,6456
1542445464,6332,6452
1542447370,6341,6461
1542449306,6346,6467
1542451213,6346,6466
1542453159,6353,6472
1542455071,6363,6482
1542457003,6354,6474
1542458911,6385,6505
1542460832,6395,6515
1542462782,6384,6504
1542464670,6387,6508
1542466592,6389,6510
1542468492,6397,6519
1542470429,6395,6517
1542472348,6388,6510
1542474524,6396,6518
1542476440,6402,6525
1542478338,6399,6522
1542480273,6399,6522
1542482182,6402,6525
1542484116,6402,6524
1542486010,6401,6525
1542487958,6395,6519
1542490119,6397,6522
1542492053,6384,6510
1542493936,6386,6512
1542498012,6363,6490
1542499944,6357,6486
1542501872,6351,6478
1542503773,6353,6480
1542505692,6369,6496
1542507624,6380,6508
1542509531,6382,6510
1542511474,6374,6502
1542513370,6366,6493
1542515294,6373,6502
1542517232,6385,6514
1542519206,6374,6503
1542521075,6381,6510
1542522999,6388,6516
1542524917,6394,6522
1542526833,6383,6511
1542528754,6383,6511
1542530660,6405,6534
1542532598,6394,6523
1542534495,6400,6528
1542536424,6409,6537
1542538361,6412,6539
1542540251,6440,6568
1542542189,6431,6557
1542544090,6453,6579
1542546034,6452,6578
1542547957,6471,6597
1542549863,6474,6601
1542551770,6487,6614
1542553724,6490,6617
1542555629,6497,6624
1542557594,6496,6623
