DateTime,AddedIPs,RemovedIPs
1542744735,230,293
1542745698,255,257
1542746655,243,256
1542747630,237,278
1542748583,236,270
1542749540,228,277
1542750496,220,276
1542751480,229,303
1542752428,244,17
1542753374,283,317
1542754332,254,289
1542755327,258,507
1542756271,287,291
1542757214,216,23
1542758683,281,587
1542759615,232,288
1542760587,232,17
1542761531,242,342
1542762496,236,307
1542763469,285,592
1542764414,204,16
1542765370,54,299
1542766356,60,595
1542767289,44,21
1542768319,59,659
1542769224,50,288
1542770429,43,297
1542771397,62,316
1542772331,431,359
1542773313,449,345
1542774275,360,328
1542775212,290,337
1542776186,283,347
1542777157,346,339
1542778090,321,371
1542779057,269,362
1542780042,297,374
1542780979,301,401
1542781938,298,403
1542782893,290,392
1542783873,315,346
1542784829,228,335
1542785771,295,374
1542786736,277,420
1542787712,288,402
1542788671,282,412
1542789613,294,11
1542790569,275,358
1542791537,249,354
1542792492,292,377
1542793469,272,342
1542794413,264,362
1542795372,360,332
1542796353,351,325
1542797291,305,363
1542798257,353,376
1542799216,310,305
1542800181,304,332
1542801142,340,319
1542802098,336,342
1542803062,365,333
1542804028,305,308
1542804974,324,309
1542805940,269,291
1542806893,271,307
1542807868,280,311
1542808820,313,304
1542809780,307,340
1542810743,287,319
1542811692,257,311
1542812673,371,319
1542813610,307,276
1542814572,279,311
1542815549,283,291
1542816537,244,275
1542817471,334,285
1542818417,270,363
1542819372,284,285
1542820343,278,310
1542821291,295,316
1542822272,300,307
1542823219,310,324
1542824187,323,283
1542825136,291,303
1542826095,290,19
1542827057,921,310
1542828027,298,262
1542828970,295,246
1542829933,302,259
1542830915,299,237
1542831871,287,223
1542832811,288,262
1542833772,310,239
1542834744,277,253
1542835695,259,282
1542836697,287,249
1542837622,292,233
1542838585,265,223
1542839537,282,270
1542840496,293,247
1542841456,268,244
1542842437,271,252
1542843382,308,262
1542844936,271,262
1542846037,351,504
1542846970,337,23
1542847938,297,563
1542848897,294,253
1542849860,306,33
1542850811,270,275
1542851789,265,166
1542852735,257,18
1542853697,276,122
1542854658,301,30
1542855648,326,105
1542856582,259,13
1542857541,288,56
1542858493,301,243
1542859476,326,387
1542860432,285,377
1542861387,325,346
1542862361,259,315
1542863302,306,271
1542864253,282,309
1542865321,261,324
1542866411,295,290
1542867370,295,311
1542868342,344,630
1542869291,279,13
1542870274,313,590
1542871248,278,264
1542872666,354,281
1542873621,276,234
1542874576,285,313
1542875558,312,294
1542876492,274,313
1542877463,289,285
1542878426,313,243
1542879396,340,267
1542880354,301,262
1542881297,304,272
1542882252,252,331
1542883215,290,316
1542884187,279,243
1542885156,327,281
1542886340,315,266
1542887292,295,276
1542888271,273,325
1542889221,308,292
1542890171,297,298
1542891147,287,252
1542892093,297,282
1542893068,243,238
1542894011,275,261
1542894971,287,251
1542895938,282,245
1542896888,257,270
1542897873,260,223
1542898823,254,242
1542900057,318,610
1542900971,250,19
1542901931,330,289
1542902962,283,400
1542903916,279,266
1542905139,290,261
1542906255,289,281
1542907219,261,240
1542908193,288,267
1542909132,283,270
1542910112,278,268
1542911211,283,268
1542912255,251,251
1542913225,276,276
1542914184,264,918
1542915137,251,222
1542916094,253,268
1542917073,268,246
1542918010,261,216
1542918971,277,283
1542919953,256,232
1542920897,266,232
1542921872,223,247
1542922829,284,252
1542923769,269,247
1542924755,267,247
1542925694,302,237
1542926658,247,280
1542927616,267,234
1542928591,309,253
1542929575,238,245
1542930493,260,270
1542931457,316,256
1542932414,212,17
1542933386,327,614
1542934353,261,264
1542935293,243,25
1542936253,292,295
1542937213,294,541
1542938192,301,244
1542939135,276,19
1542940090,321,239
1542941070,309,515
1542942012,268,40
1542943233,304,537
1542944191,261,344
1542945135,260,329
1542946100,275,322
1542947057,282,246
1542948011,268,325
1542948983,259,300
1542949933,280,280
1542950888,252,283
1542951870,287,250
1542952839,254,245
1542953782,257,287
1542954743,283,293
1542955694,254,310
1542956673,272,34
1542957633,254,291
1542958571,268,284
1542959535,255,276
1542960513,233,271
1542961468,267,303
1542962410,269,306
1542963371,248,299
1542964352,258,310
1542965293,292,300
1542966253,262,320
1542967238,300,340
1542968175,280,332
1542969143,236,293
1542970095,259,347
1542971059,245,265
1542972017,255,325
1542972984,296,291
1542973931,290,290
1542974896,275,297
1542975877,284,324
1542976823,270,260
1542977789,241,292
1542978734,290,296
1542979695,225,264
1542980663,281,286
1542981633,308,305
1542982588,291,245
1542983782,302,237
1542984734,293,266
1542985714,276,267
1542986692,279,303
1542987612,299,262
1542988573,291,307
1542989580,251,274
1542990498,261,269
1542991457,268,15
1542992433,256,267
1542993380,275,269
1542994357,270,258
1542995297,268,282
1542996259,264,243
1542997208,310,264
1542998175,254,261
1542999136,266,274
1543000114,291,276
1543001052,288,290
1543002015,303,307
1543002978,242,273
1543003946,273,268
1543004891,336,244
1543005872,264,271
1543006834,310,267
1543007787,264,259
1543008739,267,247
1543009695,292,251
1543010659,282,229
1543011623,295,251
1543012709,295,285
1543013860,267,233
1543014994,284,517
1543015963,241,14
1543017142,282,502
1543018109,292,286
1543019171,306,267
1543020254,286,325
1543021223,281,290
1543022185,272,295
1543023141,276,267
1543024098,307,296
1543025058,318,277
1543026020,275,273
1543026981,296,246
1543027937,277,281
1543028900,287,274
1543029856,300,263
1543030814,250,254
1543031772,292,270
1543032743,283,254
1543033710,318,233
1543034653,278,269
1543035623,282,254
1543036585,244,289
1543037540,286,245
1543038491,299,250
1543039475,282,255
1543040413,291,266
1543041373,292,288
1543042331,327,269
1543043311,288,277
1543044256,258,264
1543045213,263,287
1543046186,302,266
1543047160,286,257
1543048094,281,251
1543049057,319,268
1543050017,276,262
1543050990,293,266
1543051958,271,281
1543052895,297,311
1543053858,296,279
1543054814,295,275
1543055796,297,241
1543056884,312,245
1543057942,280,230
1543058893,280,289
1543059859,293,281
1543060860,319,304
1543061787,275,310
1543062757,322,276
1543063698,272,252
1543064661,277,278
1543065632,307,269
1543066819,300,209
1543067775,251,261
1543068740,255,281
1543069690,258,257
1543070673,281,268
1543071624,269,274
1543072576,279,247
1543073541,279,271
1543074492,268,300
1543075465,247,264
1543076412,255,245
1543077387,256,292
1543078334,243,308
1543079314,282,268
1543080256,309,276
1543081213,250,256
1543082170,272,278
1543083155,259,251
1543084093,288,288
1543085060,255,265
1543086180,1414,248
1543087223,276,249
1543088171,312,214
1543089137,272,279
1543090112,259,229
1543091074,251,264
1543092035,325,302
1543092971,247,257
1543093938,265,293
1543094892,276,255
1543095874,283,268
1543096815,291,245
1543097774,277,233
1543098739,263,253
1543099700,289,287
1543100658,268,312
1543101617,269,275
1543102574,293,281
1543103537,282,26
1543104526,275,530
1543105452,234,17
1543106515,278,269
1543107632,289,571
1543108599,255,268
1543109537,247,18
1543110491,283,268
1543111455,263,269
1543112416,242,281
1543113385,268,552
1543114338,290,274
1543115315,305,305
1543116272,256,291
1543117213,237,21
1543118186,252,550
1543119141,256,17
1543120106,238,294
1543121076,285,545
1543122019,264,17
1543122985,258,253
1543123941,272,475
1543124898,281,302
1543125856,237,12
1543126813,287,329
1543128041,341,592
1543128991,271,295
1543129958,282,288
1543131141,230,279
1543132166,252,290
1543133309,267,322
1543134272,261,305
1543135211,264,268
1543136170,221,287
1543137143,269,295
1543138091,269,323
1543139070,255,324
1543140022,263,312
1543140984,289,327
1543141938,252,312
1543142891,217,292
1543143876,230,324
1543144817,248,283
1543145769,267,314
1543146733,255,333
1543147711,294,319
1543148654,265,297
1543149610,252,322
1543150588,233,299
1543151536,250,318
1543152493,240,314
1543153472,251,284
1543154422,239,295
1543155382,220,281
1543156346,285,290
1543157296,250,295
1543158264,258,286
1543159217,276,298
1543160191,268,297
1543161152,296,296
1543162138,258,284
1543163054,260,281
1543164017,260,299
1543164987,277,285
1543165937,275,323
1543166892,235,314
1543167862,281,279
1543168824,228,348
1543169785,210,268
1543170737,268,314
1543171697,250,307
1543172674,823,1416
1543173855,213,263
1543174810,269,304
1543175789,253,258
1543176735,260,280
1543177690,269,292
1543178655,252,345
1543179622,253,280
1543180579,289,262
1543181538,259,342
1543182495,238,336
1543183473,251,304
1543184416,259,329
1543185372,240,308
1543186357,261,330
1543187544,257,340
1543188489,236,304
1543189470,267,347
1543190420,262,354
1543191375,223,305
1543192336,272,330
1543193294,251,343
1543194263,266,303
1543195210,298,328
1543196193,298,318
1543197130,270,344
1543198114,258,344
1543199054,242,288
1543200021,261,307
1543200971,274,351
1543201937,248,329
1543202891,285,278
1543203870,283,340
1543204817,248,345
1543205787,249,341
1543206740,236,330
1543207711,263,359
1543208656,214,353
1543209623,283,338
1543210590,287,367
1543211570,241,385
1543212497,211,368
1543213454,237,404
1543214439,251,21
1543215623,278,496
1543216583,261,276
1543217552,277,250
1543218503,192,14
1543219460,255,259
1543220421,212,260
1543221388,217,271
1543222331,220,255
1543223314,229,236
1543224252,233,251
1543225217,212,281
1543226192,220,267
1543227136,244,281
1543228092,230,319
1543229073,202,267
1543230027,227,208
1543231019,288,220
