DateTime,Entries,UniqueIPs
1542744735,94180,94180
1542745698,94185,94185
1542746655,94183,94183
1542747630,94197,94197
1542748583,94170,94170
1542749540,94160,94160
1542750496,94161,94161
1542751480,94170,94170
1542752428,94167,94167
1542753374,94190,94190
1542754332,94204,94204
1542755327,94223,94223
1542756271,94250,94250
1542757214,94248,94248
1542758683,94187,94187
1542759615,94171,94171
1542760587,94241,94241
1542761531,94237,94237
1542762496,94154,94154
1542763469,94127,94127
1542764414,94106,94106
1542765370,94115,94115
1542766356,94031,94031
1542767289,94040,94040
1542768319,93942,93942
1542769224,93884,93884
1542770429,93843,93843
1542771397,93761,93761
1542772331,93775,93775
1542773313,93848,93848
1542774275,93873,93873
1542775212,93892,93892
1542776186,93903,93903
1542777157,93946,93946
1542778090,93962,93962
1542779057,93986,93986
1542780042,93987,93987
1542780979,93982,93982
1542781938,94013,94013
1542782893,94007,94007
1542783873,94015,94015
1542784829,94022,94022
1542785771,94029,94029
1542786736,94055,94055
1542787712,94126,94126
1542788671,94146,94146
1542789613,94171,94171
1542790569,94192,94192
1542791537,94199,94199
1542792492,94196,94196
1542793469,94200,94200
1542794413,94207,94207
1542795372,94194,94194
1542796353,94233,94233
1542797291,94243,94243
1542798257,94266,94266
1542799216,94271,94271
1542800181,94289,94289
1542801142,94325,94325
1542802098,94334,94334
1542803062,94360,94360
1542804028,94353,94353
1542804974,94380,94380
1542805940,94389,94389
1542806893,94380,94380
1542807868,94368,94368
1542808820,94355,94355
1542809780,94362,94362
1542810743,94367,94367
1542811692,94362,94362
1542812673,94389,94389
1542813610,94384,94384
1542814572,94371,94371
1542815549,94354,94354
1542816537,94323,94323
1542817471,94325,94325
1542818417,94319,94319
1542819372,94313,94313
1542820343,94373,94373
1542821291,94377,94377
1542822272,94380,94380
1542823219,94387,94387
1542824187,94394,94394
1542825136,94395,94395
1542826095,94406,94406
1542827057,95145,95145
1542828027,95170,95170
1542828970,95147,95147
1542829933,95164,95164
1542830915,95172,95172
1542831871,95165,95165
1542832811,95159,95159
1542833772,95156,95156
1542834744,95140,95140
1542835695,95129,95129
1542836697,95141,95141
1542837622,95153,95153
1542838585,95169,95169
1542839537,95160,95160
1542840496,95168,95168
1542841456,95169,95169
1542842437,95230,95230
1542843382,95222,95222
1542844936,95176,95176
1542846037,95188,95188
1542846970,95211,95211
1542847938,95207,95207
1542848897,95215,95215
1542849860,95221,95221
1542850811,95225,95225
1542851789,95245,95245
1542852735,95257,95257
1542853697,95268,95268
1542854658,95274,95274
1542855648,95279,95279
1542856582,95292,95292
1542857541,95288,95288
1542858493,95292,95292
1542859476,95290,95290
1542860432,95297,95297
1542861387,95366,95366
1542862361,95367,95367
1542863302,95379,95379
1542864253,95358,95358
1542865321,95315,95315
1542866411,95339,95339
1542867370,95344,95344
1542868342,95361,95361
1542869291,95370,95370
1542870274,95360,95360
1542871248,95345,95345
1542872666,95380,95380
1542873621,95378,95378
1542874576,95381,95381
1542875558,95391,95391
1542876492,95398,95398
1542877463,95357,95357
1542878426,95359,95359
1542879396,95368,95368
1542880354,95353,95353
1542881297,95369,95369
1542882252,95362,95362
1542883215,95385,95385
1542884187,95380,95380
1542885156,95410,95410
1542886340,95419,95419
1542887292,95418,95418
1542888271,95417,95417
1542889221,95424,95424
1542890171,95438,95438
1542891147,95440,95440
1542892093,95441,95441
1542893068,95433,95433
1542894011,95436,95436
1542894971,95409,95409
1542895938,95468,95468
1542896888,95461,95461
1542897873,95433,95433
1542898823,95366,95366
1542900057,95367,95367
1542900971,95356,95356
1542901931,95355,95355
1542902962,95343,95343
1542903916,95400,95400
1542905139,95356,95356
1542906255,95372,95372
1542907219,95377,95377
1542908193,95447,95447
1542909132,95457,95457
1542910112,95463,95463
1542911211,95468,95468
1542912255,95482,95482
1542913225,93690,93690
1542914184,93742,93742
1542915137,93758,93758
1542916094,93744,93744
1542917073,93702,93702
1542918010,93751,93751
1542918971,93765,93765
1542919953,93782,93782
1542920897,93763,93763
1542921872,93750,93750
1542922829,93747,93747
1542923769,93758,93758
1542924755,93770,93770
1542925694,93803,93803
1542926658,93840,93840
1542927616,93854,93854
1542928591,93879,93879
1542929575,93877,93877
1542930493,93863,93863
1542931457,93870,93870
1542932414,93844,93844
1542933386,93821,93821
1542934353,93808,93808
1542935293,93808,93808
1542936253,93808,93808
1542937213,93807,93807
1542938192,93834,93834
1542939135,93842,93842
1542940090,93867,93867
1542941070,93896,93896
1542942012,93916,93916
1542943233,93949,93949
1542944191,93932,93932
1542945135,93926,93926
1542946100,93915,93915
1542947057,93924,93924
1542948011,93941,93941
1542948983,93918,93918
1542949933,93907,93907
1542950888,93894,93894
1542951870,93913,93913
1542952839,93937,93937
1542953782,93943,93943
1542954743,93928,93928
1542955694,93942,93942
1542956673,93930,93930
1542957633,93918,93918
1542958571,93897,93897
1542959535,93887,93887
1542960513,93866,93866
1542961468,93864,93864
1542962410,93889,93889
1542963371,93941,93941
1542964352,93934,93934
1542965293,93957,93957
1542966253,93944,93944
1542967238,93946,93946
1542968175,93962,93962
1542969143,93965,93965
1542970095,93958,93958
1542971059,93922,93922
1542972017,93924,93924
1542972984,93974,93974
1542973931,93969,93969
1542974896,93967,93967
1542975877,93987,93987
1542976823,94004,94004
1542977789,93988,93988
1542978734,94009,94009
1542979695,94006,94006
1542980663,94009,94009
1542981633,94025,94025
1542982588,94042,94042
1542983782,93984,93984
1542984734,94046,94046
1542985714,94032,94032
1542986692,94040,94040
1542987612,94053,94053
1542988573,94100,94100
1542989580,94117,94117
1542990498,94125,94125
1542991457,94140,94140
1542992433,94151,94151
1542993380,94165,94165
1542994357,94180,94180
1542995297,94215,94215
1542996259,94232,94232
1542997208,94263,94263
1542998175,94261,94261
1542999136,94246,94246
1543000114,94284,94284
1543001052,94308,94308
1543002015,94330,94330
1543002978,94324,94324
1543003946,94333,94333
1543004891,94365,94365
1543005872,94384,94384
1543006834,94382,94382
1543007787,94395,94395
1543008739,94373,94373
1543009695,94367,94367
1543010659,94357,94357
1543011623,94361,94361
1543012709,94325,94325
1543013860,94213,94213
1543014994,94200,94200
1543015963,94149,94149
1543017142,94147,94147
1543018109,94203,94203
1543019171,94132,94132
1543020254,94109,94109
1543021223,94118,94118
1543022185,94126,94126
1543023141,94134,94134
1543024098,94168,94168
1543025058,94199,94199
1543026020,94213,94213
1543026981,94209,94209
1543027937,94208,94208
1543028900,94209,94209
1543029856,94207,94207
1543030814,94224,94224
1543031772,94250,94250
1543032743,94257,94257
1543033710,94276,94276
1543034653,94313,94313
1543035623,94315,94315
1543036585,94295,94295
1543037540,94305,94305
1543038491,94329,94329
1543039475,94333,94333
1543040413,94350,94350
1543041373,94355,94355
1543042331,94373,94373
1543043311,94400,94400
1543044256,94416,94416
1543045213,94436,94436
1543046186,94460,94460
1543047160,94495,94495
1543048094,94511,94511
1543049057,94547,94547
1543050017,94565,94565
1543050990,94575,94575
1543051958,94580,94580
1543052895,94616,94616
1543053858,94637,94637
1543054814,94649,94649
1543055796,94664,94664
1543056884,94674,94674
1543057942,94681,94681
1543058893,94675,94675
1543059859,94703,94703
1543060860,94741,94741
1543061787,94744,94744
1543062757,94771,94771
1543063698,94820,94820
1543064661,94836,94836
1543065632,94863,94863
1543066819,94874,94874
1543067775,94894,94894
1543068740,94903,94903
1543069690,94892,94892
1543070673,94930,94930
1543071624,94947,94947
1543072576,94960,94960
1543073541,94973,94973
1543074492,94999,94999
1543075465,95010,95010
1543076412,95014,95014
1543077387,95016,95016
1543078334,95041,95041
1543079314,95062,95062
1543080256,95065,95065
1543081213,95063,95063
1543082170,95093,95093
1543083155,95108,95108
1543084093,95129,95129
1543085060,95136,95136
1543086180,96367,96367
1543087223,96396,96396
1543088171,96412,96412
1543089137,96405,96405
1543090112,96421,96421
1543091074,96425,96425
1543092035,96438,96438
1543092971,96440,96440
1543093938,96482,96482
1543094892,96529,96529
1543095874,96494,96494
1543096815,96565,96565
1543097774,96602,96602
1543098739,96595,96595
1543099700,96613,96613
1543100658,96639,96639
1543101617,96657,96657
1543102574,96673,96673
1543103537,96676,96676
1543104526,96689,96689
1543105452,96680,96680
1543106515,96677,96677
1543107632,96627,96627
1543108599,96601,96601
1543109537,96658,96658
1543110491,96660,96660
1543111455,96662,96662
1543112416,96648,96648
1543113385,96597,96597
1543114338,96610,96610
1543115315,96635,96635
1543116272,96679,96679
1543117213,96619,96619
1543118186,96618,96618
1543119141,96666,96666
1543120106,96602,96602
1543121076,96628,96628
1543122019,96690,96690
1543122985,96635,96635
1543123941,96701,96701
1543124898,96710,96710
1543125856,96733,96733
1543126813,96774,96774
1543128041,96816,96816
1543128991,96835,96835
1543129958,96858,96858
1543131141,96818,96818
1543132166,96827,96827
1543133309,96836,96836
1543134272,96842,96842
1543135211,96838,96838
1543136170,96840,96840
1543137143,96845,96845
1543138091,96848,96848
1543139070,96860,96860
1543140022,96861,96861
