DateTime,Entries,UniqueIPs
1542744735,3159,3159
1542745698,3171,3171
1542746655,3152,3152
1542747630,3153,3153
1542748583,3145,3145
1542749540,3148,3148
1542750496,3148,3148
1542751480,3138,3138
1542752428,3142,3142
1542753374,3140,3140
1542754332,3139,3139
1542755327,3142,3142
1542756271,3150,3150
1542757214,3138,3138
1542758683,3141,3141
1542759615,3113,3113
1542760587,3122,3122
1542761531,3134,3134
1542762496,3122,3122
1542763469,3077,3077
1542764414,3080,3080
1542765370,3071,3071
1542766356,3058,3058
1542767289,3045,3045
1542768319,3022,3022
1542769224,3014,3014
1542770429,2993,2993
1542771397,2973,2973
1542772331,2936,2936
1542773313,2974,2974
1542774275,2967,2967
1542775212,2993,2993
1542776186,3011,3011
1542777157,3032,3032
1542778090,3044,3044
1542779057,3004,3004
1542780042,3006,3006
1542780979,3006,3006
1542781938,2990,2990
1542782893,2972,2972
1542783873,2977,2977
1542784829,2955,2955
1542785771,2951,2951
1542786736,2955,2955
1542787712,2967,2967
1542788671,2964,2964
1542789613,2958,2958
1542790569,2971,2971
1542791537,2972,2972
1542792492,2966,2966
1542793469,2983,2983
1542794413,2979,2979
1542795372,2984,2984
1542796353,3001,3001
1542797291,2975,2975
1542798257,3017,3017
1542799216,3036,3036
1542800181,3020,3020
1542801142,3046,3046
1542802098,3049,3049
1542803062,3043,3043
1542804028,3037,3037
1542804974,3044,3044
1542805940,3050,3050
1542806893,3040,3040
1542807868,3053,3053
1542808820,3056,3056
1542809780,3075,3075
1542810743,3050,3050
1542811692,3057,3057
1542812673,3058,3058
1542813610,3054,3054
1542814572,3064,3064
1542815549,3077,3077
1542816537,3070,3070
1542817471,3095,3095
1542818417,3072,3072
1542819372,3093,3093
1542820343,3065,3065
1542821291,3098,3098
1542822272,3088,3088
1542823219,3079,3079
1542824187,3082,3082
1542825136,3101,3101
1542826095,3092,3092
1542827057,3119,3119
1542828027,3102,3102
1542828970,3104,3104
1542829933,3085,3085
1542830915,3094,3094
1542831871,3121,3121
1542832811,3096,3096
1542833772,3111,3111
1542834744,3096,3096
1542835695,3109,3109
1542836697,3102,3102
1542837622,3116,3116
1542838585,3105,3105
1542839537,3101,3101
1542840496,3112,3112
1542841456,3109,3109
1542842437,3121,3121
1542843382,3116,3116
1542844936,3110,3110
1542846037,3112,3112
1542846970,3102,3102
1542847938,3123,3123
1542848897,3126,3126
1542849860,3118,3118
1542850811,3126,3126
1542851789,3135,3135
1542852735,3176,3176
1542853697,3178,3178
1542854658,3225,3225
1542855648,3251,3251
1542856582,3257,3257
1542857541,3294,3294
1542858493,3286,3286
1542859476,3237,3237
1542860432,3234,3234
1542861387,3228,3228
1542862361,3215,3215
1542863302,3214,3214
1542864253,3200,3200
1542865321,3214,3214
1542866411,3214,3214
1542867370,3210,3210
1542868342,3224,3224
1542869291,3238,3238
1542870274,3250,3250
1542871248,3248,3248
1542872666,3251,3251
1542873621,3251,3251
1542874576,3256,3256
1542875558,3258,3258
1542876492,3260,3260
1542877463,3252,3252
1542878426,3254,3254
1542879396,3255,3255
1542880354,3283,3283
1542881297,3277,3277
1542882252,3286,3286
1542883215,3272,3272
1542884187,3285,3285
1542885156,3262,3262
1542886340,3258,3258
1542887292,3252,3252
1542888271,3255,3255
1542889221,3240,3240
1542890171,3238,3238
1542891147,3232,3232
1542892093,3216,3216
1542893068,3227,3227
1542894011,3232,3232
1542894971,3238,3238
1542895938,3231,3231
1542896888,3227,3227
1542897873,3232,3232
1542898823,3237,3237
1542900057,3212,3212
1542900971,3197,3197
1542901931,3177,3177
1542902962,3193,3193
1542903916,3182,3182
1542905139,3172,3172
1542906255,3186,3186
1542907219,3178,3178
1542908193,3161,3161
1542909132,3165,3165
1542910112,3168,3168
1542911211,3159,3159
1542912255,3164,3164
1542913225,3168,3168
