DateTime,AddedIPs,RemovedIPs
1542744732,15,13
1542745696,8,10
1542746654,13,15
1542747628,14,13
1542748581,16,18
1542749539,11,15
1542750493,8,13
1542751478,14,21
1542752427,10,8
1542753372,9,14
1542754331,19,13
1542755325,20,13
1542756268,15,19
1542757212,7,5
1542758682,23,27
1542759614,13,28
1542760585,17,19
1542761529,14,19
1542762495,9,29
1542763468,11,28
1542764411,13,35
1542765368,0,24
1542766353,0,22
1542767288,0,17
1542768316,0,27
1542769223,0,11
1542770428,0,19
1542771396,0,21
1542772330,34,23
1542773311,39,18
1542774273,32,9
1542775210,43,17
1542776184,20,15
1542777154,32,10
1542778089,13,11
1542779055,17,29
1542780040,12,27
1542780977,11,11
1542781935,12,32
1542782892,13,24
1542783871,9,19
1542784826,20,30
1542785769,12,14
1542786734,29,22
1542787710,13,14
1542788669,12,17
1542789610,30,20
1542790568,34,19
1542791535,16,13
1542792491,15,14
1542793468,16,13
1542794411,22,17
1542795370,27,16
1542796351,29,7
1542797289,27,15
1542798254,16,14
1542799214,26,11
1542800179,19,23
1542801140,21,17
1542802096,21,12
1542803061,9,16
1542804026,19,23
1542804972,22,15
1542805938,23,13
1542806891,5,11
1542807866,9,16
1542808817,13,11
1542809778,21,16
1542810741,11,18
1542811689,10,8
1542812671,23,18
1542813608,24,14
1542814571,15,15
1542815547,18,13
1542816535,18,19
1542817469,10,8
1542818414,16,16
1542819371,22,13
1542820340,13,19
1542821289,19,9
1542822270,12,16
1542823217,15,10
1542824185,9,9
1542825134,18,10
1542826092,12,14
1542827056,7,12
1542828025,20,15
1542828968,14,15
1542829931,20,17
1542830913,10,6
1542831869,11,5
1542832809,11,23
1542833769,20,13
1542834742,12,12
1542835694,11,11
1542836696,14,19
1542837620,21,18
1542838583,14,21
1542839535,8,13
1542840493,12,7
1542841454,13,8
1542842435,23,17
1542843380,17,18
1542844934,33,34
1542846035,21,31
1542846969,23,23
1542847935,19,16
1542848895,30,18
1542849858,19,21
1542850810,28,26
1542851788,18,0
1542852732,32,0
1542853695,23,0
1542854656,28,0
1542855647,31,0
1542856580,12,1
1542857539,19,0
1542858492,17,26
1542859475,10,49
1542860430,24,34
1542861385,32,34
1542862359,21,37
1542863299,19,23
1542864252,17,22
1542865320,35,23
1542866408,24,17
1542867368,26,10
1542868340,15,16
1542869289,18,13
1542870271,19,16
1542871246,23,24
1542872664,39,21
1542873618,18,14
1542874575,23,22
1542875556,17,16
1542876489,23,24
1542877461,16,14
1542878424,14,12
1542879394,38,27
1542880352,26,11
1542881295,23,21
1542882251,20,21
1542883213,24,29
1542884185,18,25
1542885155,21,40
1542886339,16,19
1542887289,13,22
1542888270,15,23
1542889219,17,27
1542890169,27,21
1542891145,15,20
1542892091,18,13
1542893067,18,15
1542894009,18,18
1542894969,17,22
1542895935,18,17
1542896886,11,12
1542897872,11,10
1542898822,6,20
1542900056,18,32
1542900970,14,27
1542901929,16,17
1542902960,12,14
1542903915,13,24
1542905138,17,17
1542906253,16,23
1542907217,17,18
1542908192,15,21
1542909130,15,15
1542910111,14,20
1542911209,14,19
1542912252,13,14
1542913224,21,13
1542914182,13,15
1542915136,12,16
1542916092,9,16
1542917071,10,14
1542918008,18,14
1542918970,19,28
1542919951,13,14
1542920895,15,17
1542921870,11,15
1542922827,15,13
1542923767,10,16
1542924752,14,9
1542925692,14,12
1542926656,17,16
1542927613,16,13
1542928589,22,23
1542929573,17,15
1542930491,13,23
1542931455,13,14
1542932413,13,26
1542933385,20,33
1542934351,19,34
1542935292,27,36
1542936251,19,21
1542937211,28,33
1542938191,27,28
1542939132,20,23
1542940088,14,17
1542941068,20,12
1542942011,24,19
1542943230,37,30
1542944189,15,24
1542945134,19,17
1542946098,27,25
1542947055,24,22
1542948008,14,8
1542948982,23,23
1542949931,14,13
1542950887,13,10
1542951867,38,21
1542952836,30,16
1542953780,21,18
1542954741,17,23
1542955693,31,17
1542956672,20,12
1542957632,16,14
1542958569,36,26
1542959534,31,19
1542960510,12,15
1542961466,16,10
1542962409,16,14
1542963369,19,24
1542964351,13,11
1542965291,22,29
1542966251,17,24
1542967236,21,25
1542968173,15,14
1542969140,13,15
1542970092,11,13
1542971057,16,17
1542972015,13,21
1542972982,23,19
1542973930,27,11
1542974893,19,17
1542975875,18,15
1542976822,28,17
1542977787,19,17
1542978731,26,20
1542979693,20,17
1542980660,14,10
1542981631,18,22
1542982586,20,10
1542983781,18,15
1542984732,17,14
1542985712,17,15
1542986691,15,9
