DateTime,AddedIPs,RemovedIPs
1542744735,33,35
1542745698,40,26
1542746655,32,38
1542747630,50,31
1542748583,38,45
1542749540,41,33
1542750496,29,36
1542751480,34,36
1542752428,33,34
1542753374,42,27
1542754332,50,34
1542755327,40,27
1542756271,48,37
1542757214,43,45
1542758683,34,71
1542759615,34,0
1542760587,50,74
1542761531,32,0
1542762496,27,57
1542763469,29,82
1542764414,29,0
1542765370,7,46
1542766356,1,81
1542767289,8,0
1542768319,8,84
1542769224,5,0
1542770429,3,65
1542771397,26,50
1542772331,83,49
1542773313,47,48
1542774275,59,40
1542775212,38,44
1542776186,38,49
1542777157,61,35
1542778090,55,42
1542779057,66,93
1542780042,56,66
1542780979,53,53
1542781938,49,55
1542782893,52,57
1542783873,58,63
1542784829,32,47
1542785771,63,61
1542786736,49,51
1542787712,55,69
1542788671,44,74
1542789613,59,95
1542790569,47,98
1542791537,47,0
1542792492,45,47
1542793469,51,50
1542794413,57,38
1542795372,67,53
1542796353,56,42
1542797291,71,44
1542798257,61,41
1542799216,41,34
1542800181,46,34
1542801142,65,35
1542802098,44,40
1542803062,60,36
1542804028,40,43
1542804974,55,37
1542805940,38,52
1542806893,41,37
1542807868,30,40
1542808820,29,62
1542809780,41,36
1542810743,57,36
1542811692,34,38
1542812673,51,28
1542813610,38,46
1542814572,39,35
1542815549,36,43
1542816537,37,41
1542817471,45,39
1542818417,40,30
1542819372,38,43
1542820343,52,29
1542821291,36,36
1542822272,43,45
1542823219,41,45
1542824187,52,43
1542825136,40,57
1542826095,34,28
1542827057,77,40
1542828027,46,46
1542828970,40,28
1542829933,39,33
1542830915,38,38
1542831871,41,36
1542832811,43,37
1542833772,40,25
1542834744,36,36
1542835695,42,38
1542836697,48,41
1542837622,30,95
1542838585,61,36
1542839537,37,50
1542840496,46,36
1542841456,43,120
1542842437,45,42
1542843382,42,51
1542844936,37,55
1542846037,50,107
1542846970,42,0
1542847938,38,93
1542848897,48,0
1542849860,42,79
1542850811,33,45
1542851789,45,0
1542852735,41,88
1542853697,54,42
1542854658,48,55
1542855648,53,52
1542856582,39,0
1542857541,43,56
1542858493,39,114
1542859476,50,60
1542860432,34,53
1542861387,38,0
1542862361,40,88
1542863302,42,0
1542864253,39,39
1542865321,55,85
1542866411,61,42
1542867370,53,51
1542868342,48,44
1542869291,52,53
1542870274,50,0
1542871248,30,41
1542872666,70,78
1542873621,49,48
1542874576,51,0
1542875558,60,51
1542876492,40,48
1542877463,46,48
1542878426,65,103
1542879396,50,42
1542880354,38,53
1542881297,58,0
1542882252,31,49
1542883215,49,93
1542884187,43,39
1542885156,71,48
1542886340,52,52
1542887292,50,55
1542888271,44,55
1542889221,37,42
1542890171,52,45
1542891147,32,43
1542892093,57,43
1542893068,50,43
1542894011,44,39
1542894971,49,47
1542895938,46,53
1542896888,42,46
1542897873,48,43
1542898823,28,42
1542900057,38,39
1542900971,33,43
1542901931,52,56
1542902962,36,68
1542903916,44,47
1542905139,36,37
1542906255,45,38
1542907219,37,27
1542908193,59,62
1542909132,43,48
1542910112,38,49
1542911211,28,47
1542912255,41,38
1542913225,39,42
1542914184,45,1673
1542915137,42,34
1542916094,33,29
1542917073,45,32
1542918010,36,20
1542918971,42,30
1542919953,44,32
1542920897,38,72
1542921872,30,28
1542922829,33,33
1542923769,48,0
1542924755,42,79
1542925694,49,43
1542926658,32,0
1542927616,34,36
1542928591,60,48
1542929575,25,78
1542930493,31,33
1542931457,45,0
1542932414,31,36
1542933386,41,32
1542934353,38,44
1542935293,48,43
1542936253,54,36
1542937213,39,36
1542938192,57,41
1542939135,61,29
1542940090,53,48
1542941070,56,47
1542942012,76,35
1542943233,55,66
1542944191,46,0
1542945135,46,75
1542946100,53,0
1542947057,56,42
1542948011,49,68
1542948983,40,32
1542949933,41,45
1542950888,35,48
1542951870,54,52
1542952839,48,46
1542953782,53,40
1542954743,42,47
1542955694,51,58
1542956673,55,57
1542957633,46,43
1542958571,57,44
