DateTime,Entries,UniqueIPs
1542744735,185508,206701
1542745698,185524,206715
1542746655,185519,206709
1542747630,185539,206728
1542748583,185536,206721
1542749540,185543,206729
1542750496,185533,206722
1542751480,185530,206720
1542752428,185527,206719
1542753374,185547,206734
1542754332,185568,206750
1542755327,185580,206763
1542756271,185585,206774
1542757214,185580,206772
1542758683,185548,206735
1542759615,185580,206769
1542760587,185558,206745
1542761531,185589,206777
1542762496,185558,206747
1542763469,185514,206694
1542764414,185538,206723
1542765370,185500,206684
1542766356,185433,206604
1542767289,185436,206612
1542768319,185368,206536
1542769224,185372,206541
1542770429,185318,206479
1542771397,185288,206455
1542772331,185321,206489
1542773313,185322,206488
1542774275,185336,206507
1542775212,185325,206501
1542776186,185326,206490
1542777157,185351,206516
1542778090,185348,206529
1542779057,185317,206502
1542780042,185313,206492
1542780979,185307,206492
1542781938,185296,206486
1542782893,185286,206481
1542783873,185286,206476
1542784829,185281,206461
1542785771,185279,206463
1542786736,185274,206461
1542787712,185265,206447
1542788671,185231,206417
1542789613,185209,206381
1542790569,185163,206330
1542791537,185203,206377
1542792492,185201,206375
1542793469,185205,206376
1542794413,185218,206395
1542795372,185232,206409
1542796353,185248,206423
1542797291,185278,206450
1542798257,185308,206470
1542799216,185308,206477
1542800181,185315,206489
1542801142,185342,206519
1542802098,185343,206523
1542803062,185356,206547
1542804028,185351,206544
1542804974,185375,206562
1542805940,185361,206548
1542806893,185357,206552
1542807868,185352,206542
1542808820,185328,206509
1542809780,185333,206514
1542810743,185358,206535
1542811692,185359,206531
1542812673,185387,206554
1542813610,185382,206546
1542814572,185388,206550
1542815549,185386,206543
1542816537,185380,206539
1542817471,185386,206545
1542818417,185396,206555
1542819372,185397,206550
1542820343,185418,206573
1542821291,185423,206573
1542822272,185422,206571
1542823219,185428,206567
1542824187,185440,206576
1542825136,185422,206559
1542826095,185424,206565
1542827057,185468,206602
1542828027,185461,206602
1542828970,185469,206614
1542829933,185483,206620
1542830915,185489,206620
1542831871,185489,206625
1542832811,185493,206631
1542833772,185510,206646
1542834744,185509,206646
1542835695,185509,206650
1542836697,185518,206657
1542837622,185519,206592
1542838585,185535,206617
1542839537,185518,206604
1542840496,185530,206614
1542841456,185533,206537
1542842437,185536,206540
1542843382,185521,206531
1542844936,185508,206513
1542846037,185467,206456
1542846970,185509,206498
1542847938,185477,206443
1542848897,185517,206491
1542849860,185498,206454
1542850811,185488,206442
1542851789,185526,206487
1542852735,185497,206440
1542853697,185515,206452
1542854658,185504,206445
1542855648,185502,206446
1542856582,185533,206485
1542857541,185520,206472
1542858493,185469,206397
1542859476,185456,206387
1542860432,185441,206368
1542861387,185476,206406
1542862361,185420,206358
1542863302,185460,206400
1542864253,185463,206400
1542865321,185445,206370
1542866411,185465,206389
1542867370,185464,206391
1542868342,185469,206395
1542869291,185464,206394
1542870274,185509,206444
1542871248,185501,206433
1542872666,185499,206425
1542873621,185508,206426
1542874576,185547,206477
1542875558,185551,206486
1542876492,185546,206478
1542877463,185549,206476
1542878426,185517,206438
1542879396,185525,206446
1542880354,185510,206431
1542881297,185563,206489
1542882252,185539,206471
1542883215,185509,206427
1542884187,185511,206431
1542885156,185537,206454
1542886340,185532,206454
1542887292,185529,206449
1542888271,185519,206438
1542889221,185511,206433
1542890171,185508,206440
1542891147,185506,206429
1542892093,185526,206443
1542893068,185531,206450
1542894011,185541,206455
1542894971,185542,206457
1542895938,185545,206450
1542896888,185538,206446
1542897873,185540,206451
1542898823,185524,206437
1542900057,185520,206436
1542900971,185511,206426
1542901931,185521,206422
1542902962,185493,206390
1542903916,185483,206387
1542905139,185481,206386
1542906255,185480,206393
1542907219,185487,206403
1542908193,185486,206400
1542909132,185480,206395
1542910112,185483,206384
1542911211,185461,206365
1542912255,185465,206368
1542913225,185464,206365
1542914184,183905,204737
