DateTime,AddedIPs,RemovedIPs
1542744735,1241,1241
1542745698,1283,1283
1542746655,1248,1248
1542747630,1206,1206
1542748583,1222,1222
1542749540,1213,1213
1542750496,1177,1177
1542751480,1201,1201
1542752428,1221,1221
1542753374,1286,1286
1542754332,1270,1270
1542755327,1244,1244
1542756271,1247,1247
1542757214,1270,1270
1542758683,1284,1284
1542759615,1315,1315
1542760587,1266,1266
1542761531,1281,1281
1542762496,1296,1296
1542763469,1276,1276
1542764414,1262,1262
1542765370,415,415
1542766356,306,306
1542767289,226,226
1542768319,232,232
1542769224,180,180
1542770429,165,165
1542771397,143,143
1542772331,1613,1613
1542773313,1708,1708
1542774275,1677,1677
1542775212,1497,1497
1542776186,1440,1440
1542777157,1510,1510
1542778090,1393,1393
1542779057,1361,1361
1542780042,1369,1369
1542780979,1372,1372
1542781938,1330,1330
1542782893,1373,1373
1542783873,1376,1376
1542784829,1347,1347
1542785771,1321,1321
1542786736,1327,1327
1542787712,1326,1326
1542788671,1348,1348
1542789613,1330,1330
1542790569,1283,1283
1542791537,1233,1233
1542792492,1252,1252
1542793469,1298,1298
1542794413,1299,1299
1542795372,1396,1396
1542796353,1443,1443
1542797291,1399,1399
1542798257,1388,1388
1542799216,1353,1353
1542800181,1362,1362
1542801142,1372,1372
1542802098,1402,1402
1542803062,1411,1411
1542804028,1400,1400
1542804974,1348,1348
1542805940,1359,1359
1542806893,1334,1334
1542807868,1326,1326
1542808820,1370,1370
1542809780,1367,1367
1542810743,1330,1330
1542811692,1262,1262
1542812673,1496,1496
1542813610,1571,1571
1542814572,1452,1452
1542815549,1341,1341
1542816537,1293,1293
1542817471,1403,1403
1542818417,1444,1444
1542819372,1345,1345
1542820343,1349,1349
1542821291,1254,1254
1542822272,1326,1326
1542823219,1365,1365
1542824187,1315,1315
1542825136,1284,1284
1542826095,1270,1270
1542827057,1480,1480
1542828027,1490,1490
1542828970,1300,1300
1542829933,1314,1314
1542830915,1282,1282
1542831871,1297,1297
1542832811,1324,1324
1542833772,1294,1294
1542834744,1319,1319
1542835695,1327,1327
1542836697,1323,1323
1542837622,1278,1278
1542838585,1306,1306
1542839537,1350,1350
1542840496,1303,1303
1542841456,1269,1269
1542842437,1290,1290
1542843382,1305,1305
1542844936,1301,1301
1542846037,1382,1382
1542846970,1475,1475
1542847938,1386,1386
1542848897,1365,1365
1542849860,1408,1408
1542850811,1419,1419
1542851789,1315,1315
1542852735,1288,1288
1542853697,1320,1320
1542854658,1351,1351
1542855648,1392,1392
1542856582,1346,1346
1542857541,1375,1375
1542858493,1363,1363
1542859476,1371,1371
1542860432,1326,1326
1542861387,1370,1370
1542862361,1387,1387
1542863302,1373,1373
1542864253,1380,1380
1542865321,1343,1343
1542866411,1350,1350
1542867370,1383,1383
1542868342,1404,1404
1542869291,1374,1374
1542870274,1366,1366
1542871248,1360,1360
1542872666,1362,1362
1542873621,1340,1340
1542874576,1349,1349
1542875558,1353,1353
1542876492,1356,1356
1542877463,1349,1349
1542878426,1410,1410
1542879396,1395,1395
