DateTime,AddedIPs,RemovedIPs
1542367234,3,0
1542368133,10,0
1542369330,1,0
1542370838,2,0
1542371733,4,0
1542374436,5,0
1542375339,4,0
1542376533,4,0
1542377436,11,0
1542378333,7,0
1542379232,7,0
1542379835,383,0
1542380434,14,2
1542381333,55,0
1542382838,2,0
1542383434,2,0
1542384035,0,12
1542384332,2,0
1542385235,1,0
1542388230,6,0
1542390033,6,0
1542390634,4,0
1542391537,1,0
1542393029,1,0
1542393627,25,0
1542394231,18,0
1542396929,2,0
1542400833,5,0
1542401733,0,5
1542402634,1,0
1542403236,2,0
1542404137,1,0
1542405035,1,0
1542405934,11,0
1542406535,86,0
1542406839,137,0
1542407736,5,0
1542411634,5,0
1542412834,4,0
1542414031,1,0
1542415235,3,0
1542415835,1,0
1542416737,1,0
1542418837,2,0
1542419736,1,0
1542420338,10,0
1542422437,1,0
1542424236,1,0
1542425132,2,0
1542426037,6,0
1542427537,1,0
1542428437,5,0
1542429330,9,0
1542431431,11,0
1542432031,16,0
1542432928,15,0
1542434129,1,0
1542436827,33,0
1542437734,1,0
1542439230,2,0
1542440127,2,0
1542441336,1,0
1542442834,1,0
1542443729,5,0
1542445830,10,0
1542446432,5,0
1542447337,8,0
1542447635,0,1
1542448234,4,0
1542449729,15,0
1542450029,1,0
1542450935,5,0
1542453637,9,0
1542454832,1,0
1542458433,3,0
1542460837,3,0
1542462036,6,0
1542463536,1,0
1542465037,276,0
1542468337,0,2
1542468636,0,7
1542468936,0,6
1542469235,0,5
1542469537,0,2
1542469834,0,4
1542470438,0,11
1542470733,0,7
1542471334,0,16
1542472531,2,0
1542473737,122,0
1542476435,13,0
1542477333,5,0
1542478234,2,0
1542478837,30,0
1542479437,18,0
1542479734,15,0
1542480632,8,0
1542483331,7,0
1542484537,15,0
1542486036,1,0
1542486936,4,0
1542487836,4,0
1542488437,0,5
1542489637,1,0
1542490837,264,0
1542492336,1,0
1542493233,1,0
1542494132,5,0
1542495336,9,0
1542497737,5,0
1542498638,4,0
1542499537,2,0
1542500429,9,0
1542501334,2,0
1542502231,1,0
1542504636,78,0
1542505237,3,0
1542506136,1,0
