DateTime,AddedIPs,RemovedIPs
1543028434,6,0
1543028737,1,0
1543029334,4,0
1543030238,5,0
1543030537,1,0
1543031138,3,0
1543031734,6,0
1543032033,2,0
1543032637,3,0
1543033236,5,0
1543033534,6,0
1543034133,3,0
1543034433,3,0
1543035030,3,0
1543035635,6,0
1543035929,5,0
1543036534,3,0
1543036829,3,0
1543037433,20,0
1543038030,3,0
1543038329,7,0
1543038630,1,0
1543038935,3,0
1543039230,1,0
1543039829,8,0
1543040132,4,0
1543040432,4,0
1543040732,3,0
1543041034,1,0
1543041338,3,0
1543041928,4,0
1543042230,1,0
1543042828,5,0
1543043130,2,0
1543043729,4,0
1543044028,3,0
1543044629,7,0
1543044935,2,0
1543045233,1,0
1543045531,4,0
1543045830,2,0
1543046432,4,0
1543047036,6,0
1543047633,3,0
1543047935,1,0
1543048533,1,0
1543048831,2,0
1543049437,5,0
1543049732,1,0
1543050039,4,0
1543050628,7,0
1543050932,2,0
1543051233,1,0
1543051834,4,0
1543052129,2,0
1543052437,3,0
1543052733,5,0
1543053336,9,0
1543053632,6,0
1543054232,7,0
1543054537,1,0
1543054836,3,0
1543055133,5,0
1543055436,5,0
1543055737,9,0
1543056036,1,0
1543056638,6,0
1543057237,4,0
1543057836,5,0
1543058436,5,0
1543058732,2,0
1543059328,4,0
1543059630,3,0
1543060229,8,0
1543060531,6,0
1543060832,4,0
1543061133,6,0
1543061733,6,0
1543062040,2,0
1543062638,4,0
1543062939,5,0
1543063537,1,0
1543063836,4,0
1543064137,5,0
1543064431,1,0
1543065035,4,0
1543065638,9,0
1543066233,5,0
1543066835,7,0
1543067137,2,0
1543067733,7,0
1543068039,4,0
1543068337,5,0
1543068637,2,0
1543069231,8,0
1543069538,3,0
1543069838,4,0
1543070137,5,0
1543070437,4,0
1543071037,8,0
1543071337,4,0
1543071639,6,0
1543071937,4,0
1543072238,4,0
1543072537,6,0
1543072838,4,0
1543073439,7,0
1543074038,4,0
1543074338,1,0
1543074938,10,0
1543075238,4,1
1543075833,11,0
1543076137,2,0
1543076435,2,0
1543076738,4,0
1543077039,2,0
1543077337,4,0
