DateTime,AddedIPs,RemovedIPs
1542768747,10,15
1542768967,63,130
1542770900,80,87
1542771030,28,0
1542771739,40,116
1542772840,17,15
1542773706,153,161
1542774760,37,12
1542776662,59,108
1542777247,72,76
1542778087,38,0
1542778592,23,32
1542778927,41,77
1542780519,29,23
1542780902,80,89
1542782436,18,16
1542782704,61,112
1542784344,361,167
1542786384,95,35
1542786488,57,139
1542788232,16,27
1542789121,61,99
1542790153,108,123
1542790509,57,29
1542792031,25,35
1542793036,51,56
1542793938,70,132
1542794108,54,24
1542795854,15,28
1542796087,114,59
1542797788,22,21
1542798032,183,168
1542799709,63,1134
1542799831,39,0
1542801672,504,161
1542802506,71,82
1542803558,63,21
1542805481,146,172
1542806819,78,76
1542807373,19,12
1542807906,87,93
1542809324,18,26
1542809704,61,82
1542811234,96,21
1542811813,66,102
1542813144,24,9
1542814778,59,138
1542815053,24,6
1542816020,42,98
1542816999,126,645
1542818917,148,118
1542820835,469,164
1542822740,4168,167
1542824672,393,102
1542825644,1384,119
1542826592,24,15
1542827646,1118,74
1542828490,20,10
1542829503,464,67
1542830440,23,16
1542830711,529,90
1542832342,522,18
1542834282,367,148
1542836197,433,180
1542838125,254,24
1542838503,183,85
1542840032,19,32
1542840304,212,83
1542841960,21,25
1542842103,278,94
1542842888,122,1
1542843884,321,161
1542844568,100,36
1542846034,386,0
1542846634,354,74
1542847510,175,67
1542847934,14,15
1542848108,119,0
1542849308,156,79
1542849857,15,8
1542850928,154,103
1542851787,21,27
1542852307,122,88
1542853694,18,23
1542854536,204,120
1542855646,29,13
1542856504,150,87
1542856808,84,1
1542857539,18,3
1542858304,107,129
1542859474,16,8
1542860104,291,68
1542861384,12,15
1542861904,183,67
1542863298,8,13
1542863648,143,80
1542865319,11,16
1542865504,159,90
1542867155,180,140
1542867688,101,0
1542868209,91,1
1542869056,18,9
1542869768,88,144
1542871246,25,17
1542871803,111,80
1542873154,17,10
1542873652,105,156
1542875058,86,117
1542875403,40,2
1542876128,32,134
1542877020,26,16
1542877257,48,32
1542878906,81,90
1542879728,70,125
1542880852,25,29
1542881703,55,139
1542882753,23,26
1542883329,134,95
1542884667,53,1032
1542885307,75,94
1542886087,68,0
1542886832,32,19
1542887708,80,133
1542888744,411,0
1542889358,59,135
1542890651,18,11
1542890703,84,107
1542892602,120,173
1542894512,73,107
1542896436,212,144
