DateTime,AddedIPs,RemovedIPs
1542235973,29,37
1542238358,23,41
1542240262,659,0
1542242199,24,28
1542244119,24,12
1542246029,15,15
1542247941,16,20
1542250113,19,27
1542252032,16,28
1542254194,20,36
1542256107,17,34
1542258039,4,25
1542261879,7,49
1542263785,41,29
1542265757,31,28
1542268571,57,56
1542270759,56,28
1542272675,43,38
1542274607,31,47
1542276742,25,46
1542301251,54,1289
1542303398,44,33
1542305540,35,24
1542307491,34,35
1542309382,31,26
1542311298,54,38
1542313209,46,48
1542315148,44,29
1542317050,25,28
1542318983,43,55
1542320896,35,21
1542323075,47,46
1542324981,39,22
1542326912,688,0
1542328828,21,40
1542330757,22,20
1542332654,16,36
1542334585,49,30
1542336513,25,20
1542338434,41,33
1542340336,18,16
1542342255,50,35
1542344173,27,37
1542346354,19,32
1542348280,6,18
1542350173,24,38
1542352182,29,22
1542354035,34,39
1542355942,22,40
1542358097,24,37
1542360271,39,31
1542362188,44,52
1542364112,26,20
1542366037,28,1383
1542367954,45,0
1542369880,543,0
1542371787,54,32
1542373715,43,33
1542375613,36,17
1542377556,42,22
1542379474,26,18
1542381383,40,13
1542383535,38,20
1542385471,26,19
1542387390,32,9
1542389290,32,2
1542391242,44,3
1542393160,34,34
1542395073,18,28
1542396972,35,31
1542398918,39,42
1542400837,91,58
1542402742,55,31
1542404679,47,29
1542406661,30,29
1542408496,49,16
1542410430,36,0
1542412842,496,0
1542414781,31,26
1542416682,32,27
1542418589,40,13
1542420519,18,22
1542422440,15,17
1542424345,17,12
1542426259,14,13
1542428201,18,17
1542430109,11,11
1542432030,14,2
1542433940,10,0
1542435870,16,24
1542437797,11,28
1542439713,43,24
1542441621,26,38
1542443554,17,52
1542445466,19,35
1542447372,29,30
1542449308,32,23
1542451212,27,23
1542453158,28,1158
1542455071,39,42
1542457002,674,0
1542458911,56,28
1542460832,36,27
1542462782,30,20
1542464669,31,27
1542466592,28,33
1542468491,26,30
1542470429,32,25
1542472348,23,43
1542474524,34,28
1542476440,42,10
1542478338,21,11
1542480273,24,16
1542482182,27,26
1542484117,27,31
1542486010,25,27
1542487959,20,26
1542490119,26,33
1542492053,23,35
1542493937,29,25
1542495869,43,30
1542498012,30,57
1542499944,582,0
1542501873,28,21
1542503773,25,24
1542505693,18,22
1542507625,21,25
1542509531,12,22
1542511474,17,30
1542513370,22,17
1542515295,23,38
1542517232,19,25
1542519207,25,17
1542521076,19,4
1542523000,21,20
1542524919,6,14
1542526834,27,39
1542528755,12,19
1542530661,26,25
1542532600,23,21
1542534496,25,42
1542536425,35,31
1542538362,27,16
1542540252,12,1431
1542542189,26,45
1542544091,509,0
1542546035,30,36
1542547957,19,24
1542549863,14,21
1542551771,33,16
1542553724,23,17
1542555630,43,19
1542557594,32,14
1542559469,40,12
1542561545,50,18
1542563526,37,13
1542565464,70,17
1542567638,61,21
