DateTime,AddedIPs,RemovedIPs
1542732305,569,651
1542733204,455,487
1542734105,553,585
1542735004,569,627
1542735904,467,692
1542736805,431,506
1542737704,586,658
1542739505,505,883
1542740404,118,110
1542741305,211,225
1542742204,146,138
1542743104,203,197
1542744004,193,182
1542744904,823,675
1542746704,1033,789
1542747605,346,209
1542748504,193,119
1542749404,234,172
1542750304,254,150
1542751204,206,142
1542752104,242,169
1542753004,250,229
1542753904,243,158
1542754804,187,108
1542755704,224,127
1542756604,217,134
1542757504,170,106
1542758404,149,117
1542759303,241,154
1542761104,391,833
1542762004,128,671
1542762904,191,580
1542763803,175,730
1542764703,188,716
1542765603,151,835
1542766503,262,644
1542767403,282,1334
1542768303,251,1326
1542769203,199,2875
1542770102,264,847
1542771902,761,1550
1542772802,261,1445
1542773702,366,1048
1542774602,446,847
1542775502,362,721
1542776401,256,744
1542777302,230,569
1542778201,296,715
1542780002,336,1264
1542780902,491,499
1542781801,496,710
1542782702,392,542
1542783601,276,180
1542784502,354,131
1542785402,394,194
1542786302,320,195
1542787201,220,225
1542788101,285,177
1542789001,332,275
1542789902,253,323
1542790801,446,265
1542791702,2661,122
1542792602,1480,115
1542794402,1383,437
1542795303,826,136
1542796203,1015,137
1542797103,563,206
1542798003,512,187
1542798903,706,124
1542800703,911,320
1542801603,586,133
1542802503,749,79
1542803403,654,172
1542804303,770,227
1542805203,666,233
1542806103,785,139
1542807003,725,148
1542808803,1237,303
1542809703,735,122
1542810604,690,119
1542811504,501,142
1542812403,609,177
1542813304,791,130
1542814204,458,99
1542815104,499,78
1542816004,413,82
1542816903,713,58
1542817804,126,103
1542818704,64,234
1542819604,100,94
1542820504,80,100
1542821404,92,63
1542823203,159,144
1542824104,97,65
1542825004,97,59
1542825903,95,75
1542826804,69,62
1542827704,93,87
1542828604,84,56
1542829504,95,68
1542830404,74,73
1542831303,91,71
1542832203,63,77
1542833103,88,82
1542834003,82,97
1542835803,192,2883
1542837603,310,2475
1542838503,305,689
1542839403,344,1036
1542840303,289,1050
1542841203,218,780
1542842104,318,711
1542843903,1442,1334
1542844803,912,426
1542845704,1517,580
1542846603,1079,715
1542847503,783,737
1542848403,696,906
1542849304,822,669
1542850203,816,739
1542851104,768,718
1542852003,674,710
1542852903,838,640
1542854703,1370,1233
1542855603,562,549
1542856503,623,611
1542857404,1376,608
1542858304,934,511
1542859203,598,576
1542860103,736,472
1542861903,1271,803
1542862804,676,187
1542863704,677,171
1542864603,631,239
1542865504,669,292
1542866403,744,185
1542867304,1023,64
1542868204,976,61
1542869104,634,41
1542870004,598,792
1542870904,676,824
1542871804,667,738
1542873604,1425,1594
1542874504,672,709
1542875404,709,635
1542876304,708,720
1542877204,624,734
1542878105,568,759
1542879904,1112,1744
1542880804,708,962
1542881705,748,857
1542882604,620,773
1542883504,554,703
1542884404,539,669
1542885305,542,647
1542886205,613,779
1542887105,1692,1491
1542888005,796,797
1542888904,1019,1067
1542889805,1388,2628
1542890704,1043,1129
1542891604,728,847
1542892505,983,1078
1542893405,1091,1354
1542894304,1154,1194
1542895205,858,1158
1542896104,1749,1378
1542897006,1249,1307
1542898805,1955,1860
1542899705,972,996
1542900605,953,784
1542901505,972,703
1542902405,821,648
1542903305,918,681
1542905105,1704,1399
1542906005,827,618
1542906905,828,686
1542907806,738,655
1542908705,772,630
1542909605,906,1187
1542910505,1046,975
1542912305,1946,2062
1542913206,833,321
1542914106,1625,1098
1542915005,529,668
1542915905,462,589
1542916805,504,650
1542917705,524,619
1542918605,531,690
1542920406,975,1306
1542921304,516,615
1542922205,502,513
1542923105,506,416
1542924005,462,429
1542924904,473,498
1542926705,1095,1167
1542927605,487,454
1542928504,445,502
1542929405,507,543
1542930305,517,570
1542931204,537,541
1542932105,687,759
1542933005,998,1230
1542934805,2010,1790
1542935705,1062,1038
1542936604,842,1197
1542937505,828,886
