DateTime,Entries,UniqueIPs
1542732305,22453,22453
1542733204,22421,22421
1542734105,22389,22389
1542735004,22331,22331
1542735904,22106,22106
1542736805,22031,22031
1542737704,21959,21959
1542739505,21581,21581
1542740404,21589,21589
1542741305,21575,21575
1542742204,21583,21583
1542743104,21589,21589
1542744004,21600,21600
1542744904,21748,21748
1542746704,21992,21992
1542747605,22129,22129
1542748504,22203,22203
1542749404,22265,22265
1542750304,22369,22369
1542751204,22433,22433
1542752104,22506,22506
1542753004,22527,22527
1542753904,22612,22612
1542754804,22691,22691
1542755704,22788,22788
1542756604,22871,22871
1542757504,22935,22935
1542758404,22967,22967
1542759303,23054,23054
1542761104,22612,22612
1542762004,22069,22069
1542762904,21680,21680
1542763803,21125,21125
1542764703,20597,20597
1542765603,19913,19913
1542766503,19531,19531
1542767403,18479,18479
1542768303,17404,17404
1542769203,14728,14728
1542770102,14145,14145
1542771902,13356,13356
1542772802,12172,12172
1542773702,11490,11490
1542774602,11089,11089
1542775502,10730,10730
1542776401,10242,10242
1542777302,9903,9903
1542778201,9484,9484
1542780002,8556,8556
1542780902,8548,8548
1542781801,8334,8334
1542782702,8184,8184
1542783601,8280,8280
1542784502,8503,8503
1542785402,8703,8703
1542786302,8828,8828
1542787201,8823,8823
1542788101,8931,8931
1542789001,8988,8988
1542789902,8918,8918
1542790801,9099,9099
1542791702,11638,11638
1542792602,13003,13003
1542794402,13949,13949
1542795303,14639,14639
1542796203,15517,15517
1542797103,15874,15874
1542798003,16199,16199
1542798903,16781,16781
1542800703,17372,17372
1542801603,17825,17825
1542802503,18495,18495
1542803403,18977,18977
1542804303,19520,19520
1542805203,19953,19953
1542806103,20599,20599
1542807003,21176,21176
1542808803,22110,22110
1542809703,22723,22723
1542810604,23294,23294
1542811504,23653,23653
1542812403,24085,24085
1542813304,24746,24746
1542814204,25105,25105
1542815104,25526,25526
1542816004,25857,25857
1542816903,26512,26512
1542817804,26535,26535
1542818704,26365,26365
1542819604,26371,26371
1542820504,26351,26351
1542821404,26380,26380
1542823203,26395,26395
1542824104,26427,26427
1542825004,26465,26465
1542825903,26485,26485
1542826804,26492,26492
1542827704,26498,26498
1542828604,26526,26526
1542829504,26553,26553
1542830404,26554,26554
1542831303,26574,26574
1542832203,26560,26560
1542833103,26566,26566
1542834003,26551,26551
1542835803,23860,23860
1542837603,21695,21695
1542838503,21311,21311
1542839403,20619,20619
1542840303,19858,19858
1542841203,19296,19296
1542842104,18903,18903
1542843903,19011,19011
1542844803,19497,19497
1542845704,20434,20434
1542846603,20798,20798
1542847503,20844,20844
1542848403,20634,20634
1542849304,20787,20787
1542850203,20864,20864
1542851104,20914,20914
1542852003,20878,20878
1542852903,21076,21076
1542854703,21213,21213
1542855603,21226,21226
1542856503,21238,21238
1542857404,22006,22006
1542858304,22429,22429
1542859203,22451,22451
1542860103,22715,22715
1542861903,23183,23183
1542862804,23672,23672
1542863704,24178,24178
1542864603,24570,24570
1542865504,24947,24947
1542866403,25506,25506
1542867304,26465,26465
1542868204,27380,27380
1542869104,27973,27973
1542870004,27779,27779
1542870904,27631,27631
1542871804,27560,27560
1542873604,27391,27391
1542874504,27354,27354
1542875404,27428,27428
1542876304,27416,27416
1542877204,27306,27306
1542878105,27115,27115
1542879904,26483,26483
1542880804,26229,26229
1542881705,26120,26120
1542882604,25967,25967
1542883504,25818,25818
1542884404,25688,25688
1542885305,25583,25583
1542886205,25417,25417
1542887105,25618,25618
1542888005,25617,25617
1542888904,25569,25569
1542889805,24329,24329
1542890704,24243,24243
1542891604,24124,24124
1542892505,24029,24029
1542893405,23766,23766
1542894304,23726,23726
1542895205,23426,23426
1542896104,23797,23797
1542897006,23739,23739
1542898805,23834,23834
1542899705,23810,23810
1542900605,23979,23979
1542901505,24248,24248
1542902405,24421,24421
1542903305,24658,24658
1542905105,24963,24963
1542906005,25172,25172
1542906905,25314,25314
1542907806,25397,25397
1542908705,25539,25539
1542909605,25258,25258
1542910505,25329,25329
1542912305,25213,25213
1542913206,25725,25725
1542914106,26252,26252
1542915005,26113,26113
1542915905,25986,25986
1542916805,25840,25840
1542917705,25745,25745
1542918605,25586,25586
1542920406,25255,25255
1542921304,25156,25156
1542922205,25145,25145
1542923105,25235,25235
1542924005,25268,25268
1542924904,25243,25243
1542926705,25171,25171
1542927605,25204,25204
1542928504,25147,25147
1542929405,25111,25111
1542930305,25058,25058
1542931204,25054,25054
1542932105,24982,24982
1542933005,24750,24750
1542934805,24970,24970
1542935705,24994,24994
1542936604,24639,24639
1542937505,24581,24581
1542938405,24494,24494
1542939305,24545,24545
1542940205,24570,24570
1542942005,24508,24508
1542942905,24451,24451
1542944706,24514,24514
