DateTime,Entries,UniqueIPs
1542602885,4857,4857
1542603366,4853,4853
1542603847,4855,4855
1542604325,4851,4851
1542604808,4853,4853
1542605285,4854,4854
1542605765,4851,4851
1542606245,4854,4854
1542606729,4856,4856
1542607223,4857,4857
1542607687,4855,4855
1542608169,4855,4855
1542608644,4859,4859
1542609129,4859,4859
1542609605,4858,4858
1542610090,4857,4857
1542610566,4857,4857
1542611046,4857,4857
1542611528,4855,4855
1542612007,4858,4858
1542612487,4856,4856
1542612965,4852,4852
1542613449,4855,4855
1542613935,4853,4853
1542614412,4853,4853
1542614888,4854,4854
1542615364,4851,4851
1542615846,4853,4853
1542616326,4856,4856
1542624965,4855,4855
1542627129,4856,4856
1542636249,4855,4855
1542637209,4856,4856
1542645370,4855,4855
1542645847,4856,4856
1542654964,4855,4855
1542655930,4856,4856
1542675125,4855,4855
1542675611,4854,4854
1542676086,4846,4846
1542676564,4846,4846
1542677048,4849,4849
1542677527,4846,4846
1542678006,4844,4844
1542678489,4848,4848
1542678965,4848,4848
1542679447,4852,4852
1542679925,4849,4849
1542680407,4854,4854
1542680884,4855,4855
1542681368,4851,4851
1542681846,4850,4850
1542682328,4849,4849
1542682811,4849,4849
1542683286,4850,4850
1542683769,4848,4848
1542684244,4849,4849
1542684727,4851,4851
1542685205,4853,4853
1542685689,4853,4853
1542686165,4853,4853
1542686646,4848,4848
1542687129,4849,4849
1542687611,4849,4849
1542688084,4846,4846
1542688564,4849,4849
1542689046,4850,4850
1542689526,4849,4849
1542690015,4850,4850
1542690485,4850,4850
1542690968,4847,4847
1542691446,4844,4844
1542691927,4844,4844
1542692405,4842,4842
1542692888,4845,4845
1542693366,4845,4845
1542693847,4844,4844
1542694324,4847,4847
1542694808,4849,4849
1542695285,4846,4846
1542695767,4850,4850
1542696245,4833,4833
1542696726,4847,4847
1542697220,4853,4853
1542697688,4851,4851
1542698166,4852,4852
1542698648,4851,4851
1542699125,4851,4851
1542699605,4852,4852
1542700086,4849,4849
1542700566,4848,4848
1542701052,4845,4845
1542701767,4848,4848
1542702245,4847,4847
1542702729,4856,4856
1542703267,4856,4856
1542703689,4857,4857
1542704165,4856,4856
1542705605,4857,4857
1542716168,4856,4856
1542717127,4857,4857
1542736568,4856,4856
1542737525,4857,4857
1542748568,4856,4856
1542749527,4857,4857
1542750006,4856,4856
1542750488,4857,4857
1542762486,4849,4849
1542762971,4852,4852
1542763446,4851,4851
1542763927,4849,4849
1542764407,4847,4847
1542764888,4851,4851
1542765365,4848,4848
1542765846,4851,4851
1542766328,4850,4850
1542766805,4847,4847
1542767285,4847,4847
1542767765,4853,4853
1542768308,4847,4847
1542768724,4850,4850
