DateTime,AddedIPs,RemovedIPs
1542850923,6,0
1542852124,3,12
1542853324,4,11
1542853923,6,33
1542854523,4,9
1542855123,5,0
1542855723,8,0
1542856324,5,14
1542856924,3,7
1542857523,8,13
1542858123,33,5
1542858724,9,0
1542859323,6,12
1542860523,2,58
1542861124,4,14
1542861724,1,12
1542862322,1,23
1542862923,5,0
1542864123,2,74
1542864724,2,0
1542865323,3,34
1542866523,3,24
1542867723,5,35
1542868323,5,0
1542868923,2,8
1542870123,2,24
1542870723,21,5
1542871323,19,5
1542871923,18,0
1542872523,4,13
1542873123,2,0
1542873723,3,7
1542874924,4,13
1542875523,5,0
1542876123,2,3
1542876723,7,0
1542877323,4,22
1542878523,1,27
1542879123,3,16
1542879725,3,0
1542880923,2,11
1542881525,3,13
1542882123,7,0
1542883323,6,9
1542884523,1,7
1542885723,4,10
1542886923,1,11
1542888123,7,20
1542889323,1,10
1542890523,5,7
1542891724,2,16
1542892324,4,9
1542892923,8,7
1542894123,7,0
1542895323,5,19
1542896523,2,6
1542897123,8,21
1542897723,7,0
1542898323,2,5
1542898924,1,33
1542899523,5,8
1542900124,5,0
1542901324,3,24
1542902523,6,6
1542903124,7,4
1542903723,8,11
1542904323,4,0
1542904924,4,0
1542905523,0,3
1542906123,6,5
1542906723,5,6
1542907323,7,9
1542907924,2,4
1542908523,0,4
1542909723,3,12
1542910323,1,5
1542910923,6,38
1542911524,6,19
1542912124,3,0
1542912723,7,8
1542913323,7,16
1542913924,3,55
1542914524,4,4
1542915124,3,0
1542915723,6,0
1542916323,3,5
1542916923,2,7
1542917523,0,13
1542918123,2,0
1542919325,3,13
1542920523,27,23
1542921723,5,21
1542922923,4,21
1542924123,2,5
1542925323,3,7
1542925924,5,7
1542926524,1,6
1542927724,4,0
1542928324,3,8
1542928924,3,13
1542929523,1,0
1542930124,3,58
1542930723,4,0
1542931324,5,8
1542931923,6,16
1542932523,2,0
1542933123,2,9
1542933723,10,4
1542934923,4,6
1542935525,2,10
1542936123,0,2
1542936723,2,14
1542937323,4,5
1542937923,9,8
1542938523,3,0
1542939723,5,27
1542940323,4,23
1542940923,4,20
1542942123,1,31
1542942724,5,0
1542943323,3,11
1542943923,5,13
1542944522,1,0
1542945123,3,13
1542945723,5,0
1542946326,5,5
1542946923,1,14
1542948123,6,49
1542948723,4,28
1542949323,2,13
1542949925,2,15
1542950524,6,0
1542951725,4,15
1542952923,0,30
1542953524,4,0
1542954123,7,0
1542954723,1,10
1542955323,2,6
1542955923,0,2
1542956523,3,4
1542957124,15,8
1542957723,13,5
1542958923,5,4
1542959524,3,8
1542960123,2,0
1542960724,1,14
1542961324,3,0
1542962523,3,37
1542963723,3,0
1542964323,0,3
1542964923,3,5
1542965523,4,13
1542966123,5,8
1542967324,0,2
1542968523,1,5
1542969123,1,0
1542969724,3,8
1542970323,5,10
1542970923,5,0
1542972123,7,19
1542973323,0,8
1542974523,3,21
1542975122,0,6
1542975723,4,7
1542976924,6,10
1542977523,3,8
1542978123,2,21
1542979323,2,7
1542979923,6,21
1542980523,4,10
1542981723,4,12
1542982323,8,6
1542982923,2,1
1542983523,6,0
1542984126,5,9
1542985323,2,0
1542985923,4,17
1542986524,9,0
1542987723,3,6
1542988924,4,9
1542989525,3,7
1542990123,6,7
1542990723,3,4
1542991323,1,4
1542992523,7,8
1542993124,3,0
1542993723,3,3
1542994923,5,10
1542996123,4,15
1542996724,1,0
1542997323,1,19
1542998523,6,0
1542999723,9,17
1543000324,2,3
1543000923,5,5
1543001523,3,0
1543002123,1,19
1543002723,1,0
1543003323,2,0
1543003923,4,10
1543004523,1,6
1543005724,6,29
1543006324,4,0
1543006923,13,13
1543007523,5,0
1543008123,3,0
1543009323,9,16
1543009923,9,13
1543010523,1,3
1543011125,1,0
1543011724,4,37
1543012323,2,35
1543012923,5,26
1543013523,3,23
1543014123,4,0
1543014723,2,20
1543015323,5,0
1543015923,3,5
1543016524,4,0
1543017724,2,33
1543018323,5,2
1543018923,7,0
1543019523,4,5
1543020123,0,4
1543020723,3,0
1543021323,5,45
1543021925,1,0
1543022524,0,3
1543023123,3,0
1543023723,2,6
1543024323,0,8
1543024923,3,0
1543026123,2,15
1543026723,1,0
1543027323,2,0
1543027924,1,0
1543028524,3,8
1543029124,1,11
1543029723,3,0
1543030324,0,16
1543030923,3,5
1543031523,3,4
1543032122,1,0
1543033323,4,13
1543033924,3,16
1543034524,2,10
1543035723,4,11
1543036323,4,8
1543036923,4,0
1543038123,4,20
1543038723,5,18
