DateTime,Entries,UniqueIPs
1542855723,21149,21938
1542856324,21163,21952
1542856924,21166,21955
1542857523,21170,21959
1542858123,21213,22003
1542858724,21224,22015
1542859323,21226,22015
1542860523,21198,21986
1542861124,21195,21984
1542861724,21181,21970
1542862322,21160,21948
1542862923,21153,21941
1542864123,21141,21929
1542864724,21147,21935
1542865323,21149,21937
1542866523,21144,21934
1542867723,21125,21915
1542868323,21135,21925
1542868923,21122,21913
1542870123,21112,21902
1542870723,21131,21921
1542871323,21138,21928
1542871923,21160,21951
1542872523,21142,21933
1542873123,21150,21941
1542873723,21139,21929
1542874924,21140,21929
1542875523,21118,21905
1542876123,21125,21912
1542876723,21099,21884
1542877323,21023,21809
1542878523,20994,21779
1542879123,21001,21786
1542879725,20994,21779
1542880923,20982,21764
1542881525,20990,21773
1542882123,21011,21795
1542883323,20990,21774
1542884523,20977,21760
1542885723,20988,21771
1542886923,20963,21745
1542888123,20948,21728
1542889323,20928,21708
1542890523,20918,21698
1542891724,20913,21694
1542892324,20915,21698
1542892923,20915,21699
1542894123,20925,21709
1542895323,20920,21701
1542896523,20924,21705
1542897123,20920,21702
1542897723,20924,21706
1542898323,20929,21711
1542898924,20937,21720
1542899523,20942,21725
1542900124,20946,21729
1542901324,20952,21735
1542902523,20921,21705
1542903124,20943,21727
1542903723,20948,21730
1542904323,20961,21743
1542904924,20944,21725
1542905523,20947,21728
1542906123,20960,21742
1542906723,20957,21740
1542907323,20967,21749
1542907924,20961,21743
1542908523,20953,21734
1542909723,20936,21717
1542910323,20930,21710
1542910923,20931,21711
1542911524,20941,21723
1542912124,20963,21745
1542912723,20934,21716
1542913323,20936,21721
1542913924,20923,21708
1542914524,20935,21720
1542915124,20937,21722
1542915723,20932,21716
1542916323,20940,21722
1542916923,20936,21719
1542917523,20934,21716
1542918123,20935,21718
1542919325,20946,21729
1542920523,20952,21734
1542921723,20939,21722
1542922923,20936,21720
1542924123,20879,21665
1542925323,20885,21671
1542925924,20885,21671
1542926524,20882,21668
1542927724,20872,21659
1542928324,20878,21665
1542928924,20866,21653
1542929523,20875,21662
1542930124,20875,21662
1542930723,20877,21662
1542931324,20885,21669
1542931923,20898,21683
1542932523,20909,21695
1542933123,20896,21682
1542933723,20902,21688
1542934923,20913,21698
