DateTime,AddedIPs,RemovedIPs
1542784323,0,14
1542784923,5,29
1542786123,3,6
1542787323,0,1
1542787924,0,20
1542788523,0,8
1542789723,1,1
1542790924,4,10
1542792123,7,2
1542793323,2,30
1542794523,6,24
1542795723,3,9
1542796923,0,12
1542798123,5,6
1542799323,2,8
1542799923,1,0
1542800523,0,11
1542802323,1,2
1542802922,1,3
1542804123,1,0
1542805322,1,10
1542806524,1,5
1542807723,9,6
1542808923,9,10
1542809524,1,0
1542810123,0,2
1542810723,0,4
1542811323,4,0
1542811923,2,8
1542812523,0,12
1542813723,0,12
1542814923,0,2
1542815523,5,10
1542816123,1,8
1542816724,1,8
1542817323,0,6
1542818524,1,15
1542819725,0,14
1542820323,2,40
1542820924,3,0
1542822122,2,34
1542822723,3,0
1542823322,3,13
1542824523,1,5
1542825723,3,23
1542828123,0,17
1542829322,0,7
1542829923,2,6
1542830524,4,0
1542831123,4,1
1542831723,0,17
1542832323,10,0
1542832923,5,11
1542834123,1,32
1542835323,1,0
1542835923,1,21
1542836522,0,18
1542837723,2,8
1542838324,2,8
1542840123,0,12
1542840723,0,8
1542841323,0,7
1542841923,2,8
1542842523,0,19
1542843122,3,0
1542843722,3,6
1542844323,0,1
1542845522,1,12
1542846123,7,1
1542847324,11,32
1542848524,1,13
1542849124,1,14
1542849723,1,21
1542850923,1,0
1542852124,0,16
1542853324,3,10
1542853923,2,11
1542854523,4,9
1542855723,5,1
1542856324,2,12
1542856923,8,7
1542858123,1,25
1542859323,2,3
1542859923,1,5
1542860523,2,6
1542861123,3,6
1542861724,6,0
1542862322,3,15
1542862923,2,0
1542864123,1,24
1542864724,1,0
1542865323,0,13
1542866523,3,6
1542867723,2,9
1542868922,2,26
1542870123,7,20
1542871323,3,25
1542871923,2,0
1542872523,1,10
1542873723,1,9
1542874924,3,67
1542876123,2,6
1542876723,1,0
1542877323,2,5
1542877924,1,0
1542878523,1,2
1542879123,0,9
1542880323,1,18
1542880922,2,0
1542881525,1,28
1542882123,2,0
1542883323,2,12
1542884523,5,1
1542885723,5,1
1542886923,3,16
1542888122,7,7
1542889323,0,5
1542890523,1,2
1542891723,0,18
1542892323,2,13
1542892923,6,14
1542894123,6,0
1542895323,1,23
1542897123,6,44
1542898923,0,30
1542899523,1,0
1542900723,1,9
1542901324,2,31
1542903124,2,11
1542903723,1,21
1542904924,1,0
1542905522,0,4
1542906123,0,3
1542907323,0,4
1542907923,5,3
1542908523,0,13
1542909723,4,15
1542910323,1,8
1542910923,0,12
1542911523,2,11
1542912123,3,0
1542913323,1,17
1542913924,0,9
1542914524,2,7
1542916923,4,6
1542917523,3,5
1542918123,7,0
1542918724,1,12
1542919325,0,12
1542920523,5,21
1542921723,0,1
1542922923,0,19
1542924123,0,4
1542925323,0,21
1542925924,0,1
1542926523,0,10
1542927724,3,0
1542928923,2,12
1542929522,9,4
1542930124,1,10
1542930723,10,0
1542931324,3,2
1542932523,2,3
1542933123,1,1
1542933723,0,2
1542934923,0,4
1542936123,2,17
1542936723,1,4
1542937323,1,5
1542938523,1,8
1542939124,7,2
1542939723,5,5
1542940923,3,6
1542942123,1,15
1542943323,3,10
1542943923,2,5
1542944522,2,0
1542945122,0,6
1542945723,2,0
1542946326,7,0
1542946923,1,6
1542948123,1,4
1542949323,0,2
1542950523,0,1
1542951724,4,11
1542952323,6,9
1542952923,2,23
1542953524,8,4
1542954123,2,0
1542954723,1,2
1542955323,0,1
1542956523,0,13
1542957723,0,10
1542958322,0,2
1542960123,1,2
1542960724,1,5
1542961923,1,6
1542962523,4,16
1542963123,4,0
1542963723,5,0
1542964923,2,6
1542965522,0,6
1542966123,1,2
1542966723,2,0
1542967324,1,9
1542968522,2,5
1542969123,6,0
1542969724,7,3
1542970323,5,8
1542972123,1,3
1542973322,0,3
1542973923,0,10
1542975122,1,3
1542975723,0,2
1542976923,1,5
1542978122,1,13
1542979323,2,9
1542979923,1,3
1542980523,8,7
1542981123,2,0
1542981723,5,3
1542982323,5,12
1542982922,7,1
1542983523,2,0
1542984125,1,10
1542985323,2,0
1542985923,1,7
1542987723,1,4
1542988924,2,15
1542990123,2,9
1542990723,0,4
1542991323,0,5
1542992523,0,2
1542993723,1,1
1542994923,3,10
1542996123,1,13
1542997322,0,18
1542998523,1,12
1542999723,0,10
1543000324,0,9
1543000923,0,3
1543001523,2,0
1543002123,1,3
1543002722,0,3
1543003323,4,0
1543004523,7,14
1543005724,2,11
1543006923,3,2
1543008123,5,0
1543008723,0,1
1543009923,0,2
1543010523,6,4
1543011723,5,13
1543012323,2,0
1543012923,0,5
1543013523,1,1
1543014123,0,1
1543015323,1,0
1543015923,2,7
1543016524,0,1
1543017124,9,0
1543017724,16,0
1543018323,10,2
1543018922,10,0
1543019523,12,2
1543020123,1,20
1543021323,6,9
1543022524,0,2
1543023723,0,3
1543024923,0,4
1543025523,13,0
1543026123,0,9
1543027323,0,6
1543028524,3,2
1543029124,4,3
1543030324,1,4
1543030923,0,7
1543031523,1,0
1543032122,5,0
1543033323,7,16
1543033923,1,10
1543034524,1,10
1543035123,1,0
1543035723,0,1
1543037523,1,8
1543038123,1,0
1543038722,0,7
1543040523,1,9
1543041123,8,3
1543041723,4,9
1543042923,6,30
1543043523,1,20
1543044123,2,0
1543044722,0,11
1543046523,1,11
1543047123,0,4
1543048323,0,2
1543048923,0,10
1543049523,1,0
1543050123,1,2
1543051323,2,5
1543051923,2,16
1543052523,1,8
1543053123,1,0
1543053723,1,10
1543054923,0,15
1543055523,0,3
1543056123,0,1
1543056724,7,4
1543057322,8,8
1543058523,2,4
1543059123,0,11
1543060923,0,4
1543061523,0,4
1543062123,0,2
1543064524,0,16
1543065123,0,3
1543065723,1,16
1543066323,1,0
1543066923,2,10
1543067523,1,0
1543068124,1,7
1543069324,4,3
1543069923,1,3
1543070523,1,12
1543071724,2,5
1543074123,2,5
1543074723,2,3
1543075323,2,0
1543076523,0,7
1543077723,1,13
1543079524,0,20
1543080123,2,0
1543080723,3,4
1543081323,8,3
1543082523,0,9
1543083123,0,1
1543083723,1,2
1543084923,0,2
1543086123,0,9
1543086723,1,0
1543087323,2,0
1543087923,1,5
1543088524,1,7
1543089724,7,18
1543090323,14,8
1543090924,3,7
1543092122,7,10
1543093324,1,15
1543094523,3,3
1543095723,1,11
1543096924,1,0
1543097523,2,4
1543098124,0,14
1543098723,1,0
1543099323,3,7
1543099923,2,0
1543101123,0,6
1543101723,0,5
1543102323,0,6
1543102923,1,10
1543104125,8,20
1543105322,11,0
1543105923,2,1
1543106523,4,0
1543107723,6,10
1543110124,1,4
1543110722,0,7
1543111923,2,5
1543112523,2,13
1543113723,1,0
1543114323,3,0
1543114923,1,2
1543115525,0,5
1543116123,0,20
1543117322,3,0
1543118524,0,4
1543119723,4,12
1543120323,2,9
1543122124,3,24
1543122724,1,0
1543123323,2,2
1543123922,11,0
1543124524,7,7
1543125123,2,5
1543125723,1,0
1543126923,6,16
1543128123,6,11
1543128723,3,0
1543129323,5,0
1543130523,0,10
1543131123,0,5
1543132323,1,4
1543132924,0,8
1543133524,0,12
1543134123,4,0
1543134723,0,3
1543135323,2,2
1543136525,2,1
1543137723,2,2
1543138323,0,7
1543138923,0,6
1543140123,3,7
1543141323,0,8
1543141923,5,0
1543142524,6,7
1543143124,8,0
1543143723,3,7
1543144323,1,2
1543144923,3,2
1543146122,1,1
1543147323,0,5
1543147924,0,2
1543148523,1,0
1543149723,0,10
1543150923,8,6
1543152123,0,8
1543153323,2,6
1543153923,3,9
1543154523,0,21
1543155123,3,0
1543155722,4,4
1543156924,0,4
