DateTime,Entries,UniqueIPs
1542823322,12491,12760
1542823923,12492,12761
1542824523,12469,12740
1542825723,12470,12741
1542826322,12458,12729
1542826924,12461,12732
1542828123,12450,12721
1542829322,12444,12714
1542829923,12454,12724
1542830524,12473,12743
1542831123,12487,12757
1542831723,12465,12735
1542832323,12477,12747
1542832923,12490,12760
1542834123,12491,12762
1542835323,12500,12771
1542835923,12489,12760
1542836522,12490,12762
1542837723,12489,12761
1542838324,12498,12770
1542838922,12492,12763
1542840123,12487,12758
1542840723,12486,12757
1542841323,12494,12765
1542841923,12495,12766
1542842523,12494,12765
1542843122,12495,12765
1542843722,12501,12771
1542844323,12493,12762
1542845522,12467,12736
1542846123,12479,12748
1542847324,12492,12761
1542848524,12494,12763
1542849124,12491,12760
1542849723,12495,12764
1542850923,12497,12766
1542852124,12495,12763
1542853324,12491,12756
1542853923,12467,12731
1542854523,12480,12744
1542855723,12474,12738
1542856324,12486,12751
1542856923,12491,12755
1542858123,12489,12753
1542859323,12493,12757
1542859923,12485,12749
1542860523,12490,12754
1542861123,12493,12757
1542861724,12487,12753
1542862322,12481,12747
1542862923,12479,12745
1542864123,12471,12737
1542864724,12474,12740
1542865323,12472,12738
1542866523,12485,12752
1542867723,12481,12747
1542868922,12482,12749
1542870123,12488,12755
1542871323,12486,12752
1542871923,12489,12755
1542872523,12488,12754
1542873723,12487,12753
1542874924,12486,12752
1542875523,12484,12750
1542876123,12493,12759
1542876723,12505,12771
1542877323,12477,12741
1542877924,12481,12745
1542878523,12471,12735
1542879123,12473,12737
1542879725,12476,12740
1542880323,12467,12731
1542880922,12469,12733
1542881525,12468,12732
1542882123,12476,12742
1542883323,12474,12740
1542884523,12479,12745
1542885723,12470,12736
1542886923,12480,12746
1542888122,12482,12748
1542889323,12474,12739
1542890523,12470,12734
1542891723,12466,12730
1542892323,12463,12727
1542892923,12469,12734
1542894123,12483,12748
1542895323,12465,12730
1542896523,12461,12727
1542897123,12479,12745
1542897722,12480,12746
1542898923,12485,12751
1542899523,12472,12738
1542900124,12475,12741
1542900723,12481,12747
1542901324,12484,12751
1542902523,12477,12744
1542903124,12482,12750
1542903723,12486,12753
1542904924,12464,12730
1542907323,12463,12729
1542907923,12469,12735
1542908523,12469,12734
1542909723,12462,12728
1542910323,12462,12729
1542910923,12457,12724
1542911523,12460,12727
1542912123,12463,12730
1542913323,12451,12717
1542913924,12452,12718
1542914524,12458,12724
1542915723,12455,12722
1542916923,12447,12714
1542917523,12447,12714
1542918123,12459,12727
1542918724,12463,12731
1542919325,12460,12727
1542920523,12463,12730
1542921723,12441,12707
1542922923,12431,12696
1542924123,12432,12697
1542925323,12422,12687
1542925924,12422,12687
1542926523,12417,12682
1542927724,12414,12679
1542928923,12407,12673
1542929522,12421,12688
1542930124,12421,12688
1542930723,12431,12698
1542931324,12444,12711
1542932523,12441,12709
1542933123,12440,12708
1542934923,12437,12705
1542936123,12435,12703
1542936723,12438,12706
1542937323,12443,12711
1542938523,12418,12686
1542939124,12435,12703
1542939723,12440,12708
1542940923,12440,12708
1542942123,12421,12688
1542943323,12416,12684
1542943923,12420,12688
1542944522,12402,12670
1542945122,12404,12672
1542945723,12407,12675
1542946326,12419,12687
1542946923,12421,12689
1542948123,12415,12682
1542949323,12417,12685
1542950523,12406,12674
1542951724,12413,12683
1542952323,12408,12677
1542952923,12411,12680
1542953524,12427,12697
1542954123,12420,12691
1542954723,12423,12694
1542956523,12413,12683
1542957723,12409,12679
1542958322,12410,12680
1542958923,12404,12674
1542960123,12409,12679
1542960724,12397,12668
1542961323,12388,12658
1542961923,12398,12668
1542962523,12409,12679
1542963123,12412,12682
1542963723,12423,12693
1542964923,12405,12675
1542965522,12404,12674
1542966123,12400,12670
1542966723,12405,12675
1542967324,12393,12662
1542968522,12398,12668
1542969123,12408,12678
1542969724,12430,12700
1542970323,12432,12702
1542970923,12435,12705
1542972123,12423,12691
1542973322,12408,12676
1542974523,12410,12678
1542975122,12405,12673
1542975723,12396,12664
1542976322,12398,12667
1542976923,12402,12671
1542977523,12398,12666
1542978122,12400,12668
1542979323,12400,12670
1542979923,12393,12661
1542980523,12397,12667
1542981123,12412,12682
1542981723,12414,12683
1542982323,12424,12694
1542982922,12433,12703
1542983523,12428,12699
1542984125,12435,12706
1542985323,12434,12705
1542985923,12423,12694
1542986523,12425,12696
1542987723,12428,12699
1542988924,12430,12701
1542990123,12429,12700
1542990723,12427,12698
1542991323,12429,12700
1542992523,12407,12677
1542993723,12410,12680
1542994923,12418,12688
1542996123,12392,12662
1542996724,12382,12652
1542998523,12377,12647
1542999723,12370,12640
1543000324,12367,12638
1543000923,12361,12632
1543001523,12365,12636
1543002123,12362,12633
1543002722,12360,12631
1543003323,12378,12649
1543004523,12368,12639
1543005724,12361,12632
