DateTime,AddedIPs,RemovedIPs
1542838922,31,31
1542840123,38,38
1542840723,22,22
1542841323,45,45
1542841923,52,52
1542842523,32,32
1542843122,37,37
1542843722,46,46
1542844323,53,53
1542845522,100,100
1542846123,99,99
1542847324,98,98
1542848524,68,68
1542849124,22,22
1542849723,56,56
1542850923,100,100
1542852124,51,51
1542853324,98,98
1542853923,90,90
1542854523,74,74
1542855723,100,100
1542856324,99,99
1542856923,87,87
1542858123,58,58
1542859323,100,100
1542859923,94,94
1542860523,47,47
1542861123,88,88
1542861724,89,89
1542862322,49,49
1542862923,29,29
1542864123,98,98
1542864724,38,38
1542865323,70,70
1542866523,61,61
1542867723,98,98
1542868922,78,78
1542870123,100,100
1542871323,50,50
1542871923,18,18
1542872523,80,80
1542873723,62,62
1542874924,62,62
1542875523,46,46
1542876123,58,58
1542876723,75,75
1542877323,36,36
1542877924,99,99
1542878523,92,92
1542879123,83,83
1542879725,59,59
1542880323,44,44
1542880922,62,62
1542881525,45,45
1542882123,61,61
1542883323,96,96
1542884523,72,72
1542885723,100,100
1542886923,100,100
1542888122,84,84
1542889323,49,49
1542890523,56,56
1542891723,100,100
1542892323,84,84
1542892923,73,73
1542894123,98,98
1542895323,100,100
1542896523,100,100
1542897123,99,99
1542897722,91,91
1542898923,70,70
1542899523,64,64
1542900124,58,58
1542900723,60,60
1542901324,74,74
1542902523,98,98
1542903124,60,60
1542903723,70,70
1542904323,5,5
1542904924,80,80
1542905522,67,67
1542906123,12,12
1542907323,40,40
1542907923,85,85
1542908523,51,51
1542909723,98,98
1542910323,33,33
1542910923,38,38
1542911523,73,73
1542912123,81,81
1542913323,69,69
1542913924,61,61
1542914524,72,72
1542915723,91,91
1542916923,100,100
1542917523,100,100
1542918123,97,97
1542918724,95,95
1542919325,63,63
1542920523,60,60
1542921723,46,46
1542922923,84,84
1542924123,40,40
1542925323,26,26
1542925924,12,12
1542926523,35,35
1542927724,40,40
1542928923,86,86
1542929522,74,74
1542930124,74,74
1542930723,99,99
1542931324,75,75
1542932523,94,94
1542933123,29,29
1542933723,6,6
1542934923,17,17
1542936123,40,40
1542936723,41,41
1542937323,56,56
1542938523,96,96
1542939124,97,97
1542939723,85,85
1542940923,86,86
1542942123,24,24
1542943323,95,95
1542943923,73,73
1542944522,64,64
1542945122,35,35
1542945723,36,36
1542946326,65,65
1542946923,11,11
1542948123,71,71
1542949323,51,51
1542950523,38,38
1542951724,96,96
1542952323,82,82
1542952923,81,81
1542953524,76,76
1542954123,70,70
1542954723,34,34
1542955323,35,35
1542956523,31,31
1542957723,39,39
1542958322,14,14
1542958923,15,15
1542960123,60,60
1542960724,59,59
1542961323,70,70
1542961923,33,33
1542962523,96,96
1542963123,77,77
1542963723,83,83
1542964923,47,47
1542965522,14,14
1542966123,42,42
1542966723,77,77
1542967324,69,69
1542968522,67,67
1542969123,66,66
1542969724,86,86
1542970323,55,55
1542970923,23,23
1542972123,97,97
